N,X,Y,Slice
1,1460,41,1
2,1537,128,1
3,1049,155,1
4,1343,210,1
5,1973,230,1
6,916,283,1
7,1706,308,1
8,1268,313,1
9,1078,323,1
10,997,329,1
11,1380,332,1
12,1083,358,1
13,592,389,1
14,1809,402,1
15,996,405,1
16,2359,408,1
17,579,409,1
18,1165,425,1
19,749,455,1
20,2415,469,1
21,2458,529,1
22,2399,544,1
23,1129,550,1
24,1172,551,1
25,606,563,1
26,505,615,1
27,1499,615,1
28,1669,637,1
29,2507,665,1
30,640,672,1
31,1417,716,1
32,1094,724,1
33,827,755,1
34,1276,756,1
35,2192,793,1
36,1200,812,1
37,2311,879,1
38,1813,889,1
39,575,920,1
40,413,936,1
41,1125,939,1
42,1467,940,1
43,2415,951,1
44,982,953,1
45,1472,957,1
46,486,972,1
47,1947,1029,1
48,763,1054,1
49,2152,1094,1
50,616,1120,1
51,2140,1143,1
52,2212,1162,1
53,903,1176,1
54,978,1240,1
55,1126,1250,1
56,1580,1263,1
57,892,1291,1
58,1940,1295,1
59,496,1320,1
60,2289,1363,1
61,2195,1395,1
62,444,1417,1
63,1018,1465,1
64,2492,1505,1
65,2374,1600,1
66,1816,1610,1
67,1449,1641,1
68,832,1655,1
69,813,1678,1
70,1138,1777,1
71,547,1805,1
72,853,1849,1
73,626,1884,1
74,2255,1894,1
75,2148,1915,1
76,637,2115,1
77,2266,2126,1
78,2161,2147,1
79,1583,2217,1
80,809,2239,1
81,706,2289,1
82,729,2307,1
83,1030,2323,1
84,958,2382,1
85,2169,2392,1
86,727,2397,1
87,1475,2483,1
88,1340,2496,1
89,2362,2552,1
90,1512,2574,1
91,989,2586,1
92,821,2597,1
93,807,2596,1
94,760,2613,1
95,961,2660,1
96,1266,2672,1
97,1712,2705,1
98,773,2726,1
99,2284,2796,1
100,1040,2808,1
101,1150,2826,1
102,892,2850,1
103,1979,2872,1
104,534,2921,1
105,1009,2928,1
106,1163,3022,1
107,2085,3065,1
108,706,3089,1
109,2088,3167,1
110,1135,3226,1
111,583,3231,1
112,1253,3248,1
113,879,3265,1
114,571,3272,1
115,1470,3283,1
116,1905,3314,1
117,889,3346,1
118,2010,3364,1
119,1540,3391,1
120,539,3413,1
121,1874,3432,1
122,298,3435,1
123,2017,3452,1
124,1028,3530,1
125,1892,3661,1
126,1442,3664,1
127,1188,3690,1
128,476,3692,1
129,1326,3732,1
130,1623,3807,1
131,1346,3848,1
132,1688,3852,1
133,1531,3858,1
134,782,3866,1
135,768,3889,1
136,676,3900,1
137,952,3957,1
138,1188,4090,1
139,1511,4129,1
140,1207,4144,1
141,1096,4209,1
183,2714,674,3
184,2725,771,3
185,2812,799,3
186,2794,811,3
187,2958,903,3
188,2940,915,3
189,3124,952,3
190,2897,1104,3
191,2539,1255,3
192,3248,1257,3
193,3482,1454,3
194,3124,1475,3
195,3054,1529,3
196,2773,1584,3
197,2844,1590,3
198,3552,1603,3
199,2841,1675,3
200,3317,1779,3
201,3233,1781,3
202,3683,1800,3
203,3152,1879,3
204,3149,1901,3
205,2855,1971,3
206,3157,2034,3
207,3163,2111,3
208,3161,2134,3
209,2866,2199,3
210,3165,2265,3
211,2825,2323,3
212,3432,2352,3
213,3612,2413,3
214,3924,2557,3
215,3346,2589,3
216,3234,2610,3
217,3717,2634,3
218,3515,2641,3
219,3685,2646,3
220,3953,2712,3
221,3945,2724,3
222,3777,2755,3
223,3792,2761,3
224,3576,2842,3
225,3714,2920,3
226,2365,2927,3
227,2763,3055,3
228,3780,3093,3
229,3291,3133,3
230,3328,3144,3
231,2586,3185,3
232,3619,3196,3
233,3646,3230,3
234,3710,3257,3
235,3363,3286,3
236,3388,3328,3
237,2367,3330,3
238,3675,3412,3
239,3615,3437,3
240,3289,3481,3
241,3332,3642,3
242,3738,3660,3
243,3679,3693,3
244,2784,3697,3
245,3483,3733,3
246,2251,3739,3
247,3157,3743,3
248,2152,3753,3
249,3090,3818,3
250,2338,3829,3
251,2899,3839,3
252,2863,3937,3
253,2525,3993,3
254,3269,3997,3
255,2469,4027,3
256,3226,4079,3
257,2115,4084,3
258,3249,4143,3
259,2658,4213,3
260,2666,4291,3
261,2909,4309,3
262,2297,4337,3
263,2325,4350,3
264,1941,4379,3
265,1614,4390,3
266,3149,4441,3
267,2829,4540,3
268,3012,4592,3
269,2208,4750,3
270,2450,4910,3
271,2344,4924,3
272,2806,5006,3
