N,X,Y,Slice
1,1936,149,1
2,2408,165,1
3,1834,188,1
4,2531,189,1
5,2702,195,1
6,2479,240,1
7,1827,245,1
8,2377,271,1
9,2631,276,1
10,1725,284,1
11,2021,312,1
12,2523,354,1
13,1851,379,1
14,2088,396,1
15,2467,401,1
16,1966,404,1
17,2220,413,1
18,2744,423,1
19,3137,463,1
20,2597,468,1
21,3082,485,1
22,2021,558,1
23,1686,565,1
24,3001,566,1
25,1904,608,1
26,2751,662,1
27,2971,676,1
28,2048,686,1
29,2744,705,1
30,3223,765,1
31,3116,769,1
32,2348,839,1
33,3079,876,1
34,2991,897,1
35,3262,912,1
36,3283,915,1
37,2602,1044,1
38,2217,1053,1
39,2134,1102,1
40,2657,1125,1
41,2428,1128,1
42,2231,1132,1
43,3207,1178,1
44,2067,1206,1
45,1701,1210,1
46,2578,1232,1
47,3495,1229,1
48,1685,1234,1
49,2260,1250,1
50,3506,1278,1
51,1850,1298,1
52,3137,1321,1
53,2292,1382,1
54,3046,1396,1
55,3107,1413,1
56,3062,1480,1
57,1828,1514,1
58,2556,1514,1
59,1707,1526,1
60,2379,1551,1
61,2137,1627,1
62,3310,1664,1
63,2204,1706,1
64,1914,1709,1
65,1877,1720,1
66,3022,1722,1
67,2043,1742,1
68,3487,1750,1
69,2349,1786,1
70,2197,1830,1
71,3664,1874,1
72,3070,1878,1
73,3210,1957,1
74,1920,1988,1
75,1856,2030,1
76,2514,2057,1
77,3702,2125,1
78,3755,2145,1
79,2076,2158,1
80,3047,2172,1
81,2867,2185,1
82,3472,2285,1
83,2056,2322,1
84,3646,2359,1
85,2082,2383,1
86,3046,2389,1
87,3551,2393,1
88,2874,2400,1
89,2057,2420,1
90,3076,2427,1
91,2439,2433,1
92,2169,2450,1
93,3238,2479,1
94,2885,2493,1
95,2662,2659,1
96,1957,2662,1
97,3654,2714,1
98,3052,2715,1
99,2751,2724,1
100,2932,2797,1
101,2880,2871,1
102,3862,2886,1
103,2564,2950,1
104,2877,2966,1
105,2075,2991,1
106,3693,3014,1
107,2137,3033,1
108,2966,3037,1
109,3839,3048,1
110,2892,3068,1
111,3168,3099,1
112,2355,3109,1
113,3035,3125,1
114,3732,3167,1
115,3095,3232,1
116,3563,3269,1
117,2281,3311,1
118,2137,3349,1
119,3090,3370,1
120,3345,3417,1
121,2430,3437,1
122,3368,3449,1
123,3846,3467,1
124,2861,3507,1
125,3673,3510,1
126,3000,3595,1
127,2765,3614,1
128,3539,3615,1
129,2372,3644,1
130,3102,3668,1
131,3885,3680,1
132,2598,3701,1
133,3523,3700,1
134,2285,3724,1
135,3594,3822,1
136,3454,3923,1
137,3479,3967,1
138,2933,4032,1
139,2732,4042,1
140,3496,4064,1
141,3104,4068,1
142,3823,4079,1
143,3041,4101,1
144,3266,4263,1
145,3693,4345,1
146,3663,4350,1
147,3221,4352,1
148,3606,4353,1
149,2661,4402,1
150,3277,4434,1
151,3010,4436,1
152,2758,4455,1
153,3338,4494,1
154,3215,4499,1
155,2779,4651,1
156,3563,4668,1
157,2714,4678,1
158,2972,4731,1
159,3148,4768,1
160,3423,4850,1
161,3112,4971,1
163,1536,492,3
164,1165,565,3
165,1463,623,3
166,1039,684,3
167,1378,768,3
168,1373,818,3
169,986,903,3
170,1229,905,3
171,1019,956,3
172,1427,982,3
173,1511,1005,3
174,789,1078,3
175,1625,1115,3
176,1241,1164,3
177,706,1208,3
178,1362,1306,3
179,945,1332,3
180,842,1520,3
181,586,1549,3
182,833,1695,3
183,687,1726,3
184,498,1821,3
185,1652,1847,3
