N,X,Y,Slice
1,1658,31,1
2,1731,87,1
3,1836,96,1
4,1923,157,1
5,1620,163,1
6,2252,270,1
7,2085,319,1
8,1619,327,1
9,1526,335,1
10,1764,349,1
11,2460,370,1
12,2360,393,1
13,2070,443,1
14,2306,571,1
15,2026,613,1
16,2629,648,1
17,1828,658,1
18,1854,661,1
19,1986,696,1
20,1601,695,1
21,2736,695,1
22,1749,709,1
23,2551,733,1
24,1958,770,1
25,2106,772,1
26,2809,784,1
27,1910,789,1
28,2539,791,1
29,2495,816,1
30,2041,822,1
31,2771,895,1
32,1702,924,1
33,2493,946,1
34,1536,962,1
35,1949,982,1
36,2678,989,1
37,2041,997,1
38,2223,1008,1
39,1740,1011,1
40,1654,1018,1
41,2661,1018,1
42,2072,1068,1
43,2496,1083,1
44,2889,1089,1
45,1911,1135,1
46,2604,1176,1
47,2112,1185,1
48,1871,1209,1
49,2169,1222,1
50,1503,1244,1
51,2537,1274,1
52,1511,1313,1
53,2751,1331,1
54,2414,1331,1
55,2160,1333,1
56,2825,1341,1
57,1812,1343,1
58,1801,1397,1
59,1744,1422,1
60,2600,1438,1
61,1909,1442,1
62,2118,1445,1
63,2226,1454,1
64,2079,1485,1
65,2444,1511,1
66,2272,1514,1
67,2578,1528,1
68,2088,1549,1
69,2598,1550,1
70,2631,1564,1
71,1558,1585,1
72,2118,1598,1
73,2923,1621,1
74,2323,1628,1
75,1912,1635,1
76,2401,1668,1
77,2583,1683,1
78,2846,1704,1
79,2894,1737,1
80,1788,1801,1
81,1597,1801,1
82,1950,1842,1
83,3077,1935,1
84,2321,1963,1
85,1875,1984,1
86,2145,2012,1
87,1759,2038,1
88,2485,2046,1
89,2521,2051,1
90,2134,2052,1
91,2403,2092,1
92,1972,2116,1
93,3032,2125,1
94,2221,2127,1
95,2115,2145,1
96,1881,2182,1
97,2857,2206,1
98,1778,2213,1
99,3075,2256,1
100,2570,2316,1
101,2317,2501,1
102,2426,2517,1
103,2538,2557,1
104,1975,2563,1
105,2608,2589,1
106,2457,2670,1
107,2433,2684,1
108,2160,2760,1
109,2197,2766,1
110,2116,2780,1
111,2390,2787,1
112,2002,2805,1
113,2122,2807,1
114,2661,2882,1
115,2023,2898,1
116,2721,2948,1
117,2681,2960,1
118,2633,3000,1
119,2942,3006,1
120,2678,3048,1
121,3070,3052,1
122,3138,3069,1
123,3062,3123,1
124,3188,3137,1
125,2722,3197,1
126,2862,3267,1
127,2489,3348,1
128,2101,3362,1
129,2579,3405,1
130,2454,3503,1
131,2284,3532,1
132,2390,3628,1
133,3189,3180,2
134,3226,3265,2
135,3093,3282,2
136,2900,3334,2
137,3292,3372,2
138,3235,3388,2
139,3214,3450,2
140,3300,3470,2
141,3047,3474,2
142,3098,3488,2
143,2998,3526,2
144,2865,3583,2
145,2906,3623,2
146,3174,3663,2
147,2952,3720,2
148,2873,3728,2
149,2732,3750,2
150,2550,3771,2
151,3159,3792,2
152,2974,3814,2
153,2711,3835,2
154,2608,3842,2
155,2809,3856,2
156,3357,3864,2
157,2175,3878,2
158,2592,3880,2
159,3012,3990,2
160,3314,4094,2
161,2975,4115,2
162,2035,4140,2
163,1861,4162,2
164,2100,4167,2
165,3064,4211,2
166,3076,4236,2
167,1878,4252,2
168,2988,4265,2
169,2539,4308,2
170,1918,4313,2
171,1751,4329,2
172,2052,4333,2
173,2873,4344,2
174,1932,4346,2
175,3232,4349,2
176,1967,4411,2
177,1898,4422,2
178,1740,4429,2
179,1800,4472,2
180,1668,4475,2
181,2497,4481,2
182,1943,4520,2
183,2037,4531,2
184,2448,4594,2
185,3014,4604,2
186,1736,4605,2
187,2207,4617,2
