N,X,Y,Slice
1,989,122,1
2,1025,141,1
3,1479,148,1
4,1627,155,1
5,650,159,1
6,759,201,1
7,1334,214,1
8,991,215,1
9,784,242,1
10,858,254,1
11,669,259,1
12,999,264,1
13,1035,275,1
14,1796,298,1
15,760,312,1
16,1843,320,1
17,854,330,1
18,506,333,1
19,1430,374,1
20,419,377,1
21,754,387,1
22,1862,395,1
23,675,403,1
24,1388,427,1
25,1156,433,1
26,1026,436,1
27,1373,447,1
28,1757,446,1
29,690,454,1
30,1150,454,1
31,1805,477,1
32,908,494,1
33,874,521,1
34,1037,527,1
35,626,528,1
36,1322,537,1
37,1211,578,1
38,992,584,1
39,935,590,1
40,1822,598,1
41,1587,611,1
42,1324,629,1
43,353,640,1
44,577,648,1
45,1735,657,1
46,1698,669,1
47,1897,672,1
48,962,689,1
49,1962,716,1
50,996,720,1
51,539,727,1
52,730,740,1
53,378,749,1
54,567,752,1
55,1426,759,1
56,1580,771,1
57,1748,785,1
58,485,785,1
59,1186,793,1
60,757,799,1
61,1407,800,1
62,261,802,1
63,1192,825,1
64,928,837,1
65,668,842,1
66,1963,866,1
67,951,895,1
68,1440,919,1
69,1455,916,1
70,1807,920,1
71,388,923,1
72,1116,938,1
73,1155,972,1
74,631,990,1
75,1547,1039,1
76,1412,1040,1
77,1737,1063,1
78,1088,1088,1
79,579,1123,1
80,1043,1128,1
81,1725,1134,1
82,456,1140,1
83,1866,1141,1
84,430,1206,1
85,1081,1298,1
86,85,1306,1
87,986,1317,1
88,806,1339,1
89,1490,1345,1
90,2004,1365,1
91,131,1369,1
92,1748,1375,1
93,290,1385,1
94,222,1393,1
95,1722,1405,1
96,484,1418,1
97,247,1446,1
98,1334,1479,1
99,909,1520,1
100,589,1529,1
101,1446,1549,1
102,2120,1558,1
103,1190,1564,1
104,967,1579,1
105,1078,1593,1
106,335,1672,1
107,510,1676,1
108,533,1693,1
109,1793,1712,1
110,1293,1720,1
111,492,1748,1
112,1053,1781,1
113,1237,1800,1
114,1192,1799,1
115,821,1821,1
116,343,1847,1
117,280,1855,1
118,1413,1857,1
119,529,1878,1
120,1976,1923,1
121,1905,1934,1
122,297,1938,1
123,488,1943,1
124,1157,1988,1
125,612,2005,1
126,767,2009,1
127,2107,2008,1
128,1062,2021,1
129,1193,2045,1
130,1613,2076,1
131,764,2095,1
132,2168,2143,1
133,2002,2154,1
134,1988,2167,1
135,292,2195,1
136,833,2235,1
137,1112,2252,1
138,1163,2255,1
139,350,2274,1
140,1436,2277,1
141,1671,2363,1
142,1148,2434,1
143,2038,2495,1
144,918,2547,1
145,226,2572,1
146,401,2584,1
147,1786,2608,1
148,1665,2657,1
149,518,2670,1
150,536,2717,1
151,885,2744,1
152,2009,2782,1
153,831,2794,1
154,889,2832,1
155,196,2864,1
156,372,2874,1
157,824,2876,1
158,1756,2897,1
159,501,2923,1
160,1636,2945,1
161,489,2958,1
162,1555,2977,1
163,507,3001,1
164,855,3032,1
165,802,3080,1
166,1132,3095,1
167,1254,3150,1
168,1980,3157,1
169,1380,3161,1
170,692,3214,1
171,216,3217,1
172,637,3219,1
173,686,3224,1
174,521,3309,1
175,1414,3341,1
176,1537,3391,1
177,767,3407,1
178,662,3408,1
179,1152,3427,1
180,978,3430,1
181,534,3437,1
182,700,3450,1
183,1535,3465,1
184,1156,3474,1
185,966,3531,1
186,982,3536,1
187,676,3600,1
188,361,3610,1
189,1005,3615,1
190,1122,3681,1
191,1799,3717,1
192,1303,3773,1
193,1951,3810,1
194,1875,3811,1
195,1522,3839,1
196,472,3862,1
197,721,3867,1
198,1957,3908,1
199,1638,3910,1
200,1222,3933,1
201,488,3951,1
202,1003,3977,1
203,1573,4004,1
204,1529,4040,1
205,284,4046,1
206,652,4045,1
207,1762,4069,1
208,685,4081,1
209,1714,4089,1
210,834,4106,1
211,707,4113,1
212,1017,4111,1
213,1442,4129,1
214,1534,4143,1
215,1112,4158,1
216,253,4214,1
217,1428,4241,1
218,1772,4241,1
219,869,4245,1
220,1200,4271,1
221,241,4271,1
222,1534,4287,1
223,1280,4291,1
224,303,4320,1
225,295,4337,1
226,346,4394,1
227,1092,4407,1
228,459,4420,1
229,1027,4435,1
230,499,4447,1
231,1570,4447,1
232,443,4463,1
233,1408,4472,1
234,1777,4520,1
235,1744,4524,1
236,1116,4529,1
237,1273,4538,1
238,539,4560,1
239,1374,4559,1
240,1027,4611,1
241,1682,4668,1
242,1381,4719,1
243,1046,4763,1
244,1295,4766,1
245,1466,4784,1
246,1615,4891,1
247,1443,4904,1
248,1508,4905,1
249,1471,4961,1
250,1358,4991,1
251,1536,5003,1
252,1211,5073,1
253,1419,5123,1
254,1154,5151,1
256,2021,277,3
257,2295,489,3
258,2465,550,3
259,2079,570,3
260,2284,588,3
261,2173,601,3
262,2472,651,3
263,2648,653,3
264,2634,700,3
265,2774,734,3
266,2494,742,3
267,2161,787,3
268,2345,807,3
269,2375,834,3
270,2770,834,3
271,2706,845,3
272,2720,864,3
273,2210,886,3
274,2319,933,3
275,2087,968,3
276,2824,997,3
277,2626,1023,3
278,2347,1095,3
279,2855,1106,3
280,2393,1154,3
281,3022,1180,3
282,2134,1182,3
283,2322,1279,3
284,2271,1288,3
285,2665,1297,3
286,2853,1332,3
287,2426,1343,3
288,2295,1395,3
289,2338,1417,3
290,3297,1433,3
291,2530,1495,3
292,2957,1562,3
293,2884,1604,3
294,2573,1635,3
295,3184,1647,3
296,2856,1651,3
297,2763,1688,3
298,2302,1690,3
299,2977,1727,3
300,3283,1740,3
301,3387,1779,3
302,2449,1832,3
303,2506,1852,3
304,2797,1854,3
305,3342,1944,3
306,2790,1943,3
307,2397,1968,3
308,2697,1973,3
309,2552,2011,3
310,3542,2030,3
311,3262,2049,3
312,2562,2055,3
313,3457,2088,3
314,2989,2110,3
315,2979,2161,3
316,3184,2215,3
317,3377,2220,3
318,2617,2322,3
319,3484,2349,3
320,3545,2399,3
321,3370,2463,3
322,3047,2469,3
323,2748,2519,3
324,2856,2526,3
325,3405,2528,3
326,2693,2551,3
327,3568,2569,3
328,2890,2602,3
329,3022,2620,3
330,3514,2688,3
331,2564,2726,3
332,3749,2772,3
333,2224,2790,3
334,2828,2812,3
335,3376,2818,3
336,2666,2838,3
337,3542,2858,3
338,2820,2859,3
339,2860,2885,3
340,3233,2934,3
341,3361,3007,3
342,2536,3015,3
343,3166,3044,3
344,3449,3046,3
345,3720,3064,3
346,2506,3078,3
347,2197,3078,3
348,2615,3088,3
349,3034,3102,3
350,3523,3102,3
351,2314,3135,3
352,3423,3144,3
353,3610,3153,3
354,2270,3199,3
355,2480,3199,3
356,3194,3219,3
357,3160,3230,3
358,3719,3282,3
359,3256,3293,3
360,2139,3345,3
361,2832,3436,3
362,2447,3471,3
363,2596,3500,3
364,2952,3509,3
365,3059,3549,3
366,3378,3566,3
367,2194,3594,3
368,3535,3606,3
369,2615,3609,3
370,3413,3612,3
371,3198,3612,3
372,2118,3646,3
373,2930,3655,3
374,3072,3660,3
375,3472,3741,3
376,3354,3750,3
377,3524,3765,3
378,2761,3840,3
379,3287,3864,3
380,2899,3875,3
381,2251,3909,3
382,2282,3911,3
383,2352,3919,3
384,2704,3951,3
385,3385,4014,3
386,2846,4038,3
387,2697,4044,3
388,3229,4127,3
