N,X,Y,Slice
1,1513,40,1
2,1322,65,1
3,1529,76,1
4,752,126,1
5,985,148,1
6,810,158,1
7,1450,237,1
8,817,240,1
9,664,244,1
10,1031,251,1
11,1011,256,1
12,1213,283,1
13,1600,322,1
14,1683,325,1
15,1807,340,1
16,1719,396,1
17,1461,408,1
18,706,443,1
19,520,476,1
20,1372,478,1
21,706,482,1
22,1871,572,1
23,761,590,1
24,857,600,1
25,1531,625,1
26,1401,666,1
27,846,669,1
28,532,674,1
29,1528,685,1
30,2037,693,1
31,714,714,1
32,959,759,1
33,725,788,1
34,853,791,1
35,1074,818,1
36,946,825,1
37,2041,830,1
38,641,835,1
39,1114,835,1
40,261,850,1
41,1482,858,1
42,353,861,1
43,730,884,1
44,722,906,1
45,2057,909,1
46,1263,956,1
47,1168,970,1
48,1941,975,1
49,2110,976,1
50,476,985,1
51,1406,1029,1
52,1959,1030,1
53,1053,1033,1
54,1896,1035,1
55,1240,1058,1
56,834,1064,1
57,228,1062,1
58,140,1078,1
59,124,1081,1
60,428,1087,1
61,657,1104,1
62,1564,1116,1
63,1833,1158,1
64,818,1163,1
65,2032,1214,1
66,867,1245,1
67,1515,1246,1
68,896,1255,1
69,778,1294,1
70,1436,1299,1
71,1274,1323,1
72,590,1328,1
73,812,1361,1
74,261,1432,1
75,1045,1471,1
76,1517,1475,1
77,1640,1488,1
78,798,1497,1
79,1782,1532,1
80,952,1558,1
81,2152,1568,1
82,1843,1582,1
83,735,1603,1
84,1986,1614,1
85,2000,1629,1
86,2217,1634,1
87,1571,1638,1
88,384,1648,1
89,2044,1652,1
90,1689,1690,1
91,1270,1710,1
92,249,1722,1
93,496,1756,1
94,1923,1764,1
95,1263,1810,1
96,1673,1815,1
97,1133,1817,1
98,1091,1839,1
99,1713,1848,1
100,389,1864,1
101,1370,1864,1
102,1368,1880,1
103,533,1892,1
104,1511,1899,1
105,1714,1932,1
106,1119,1935,1
107,1215,1954,1
108,2145,1969,1
109,580,1988,1
110,736,1996,1
111,360,1996,1
112,1125,1997,1
113,1599,2005,1
114,817,2041,1
115,668,2035,1
116,280,2039,1
117,1555,2040,1
118,1611,2055,1
119,1190,2073,1
120,1330,2075,1
121,1245,2114,1
122,1166,2149,1
123,1340,2190,1
124,344,2230,1
125,793,2247,1
126,1447,2259,1
