N,X,Y,Slice
1,2497,49,1
2,2716,54,1
3,3115,77,1
4,2065,126,1
5,3165,155,1
6,2495,162,1
7,2398,172,1
8,1999,196,1
9,2927,205,1
10,2120,227,1
11,2807,229,1
12,1886,236,1
13,2110,243,1
14,2637,263,1
15,3521,281,1
16,1752,287,1
17,2497,286,1
18,3428,296,1
19,2122,316,1
20,2597,330,1
21,3279,347,1
22,3407,352,1
23,2504,351,1
24,1959,353,1
25,3251,364,1
26,2726,370,1
27,3487,383,1
28,2914,397,1
29,3062,399,1
30,2076,400,1
31,1838,420,1
32,1745,444,1
33,2641,450,1
34,2321,455,1
35,2634,486,1
36,2357,488,1
37,1931,516,1
38,2558,525,1
39,2021,525,1
40,1956,530,1
41,3188,554,1
42,2243,562,1
43,2639,587,1
44,1879,596,1
45,2523,609,1
46,1875,619,1
47,2574,625,1
48,3454,658,1
49,2346,729,1
50,3090,732,1
51,1957,755,1
52,3392,757,1
53,2335,782,1
54,3301,798,1
55,1989,810,1
56,3696,853,1
57,1881,871,1
58,2423,912,1
59,2130,927,1
60,3747,956,1
61,2765,965,1
62,1865,988,1
63,2561,996,1
64,2355,999,1
65,2172,1001,1
66,3584,1035,1
67,2215,1034,1
68,2721,1041,1
69,3266,1049,1
70,2682,1053,1
71,1893,1069,1
72,2167,1079,1
73,3731,1087,1
74,3492,1090,1
75,3659,1124,1
76,3699,1128,1
77,3588,1153,1
78,3113,1164,1
79,3088,1175,1
80,2687,1212,1
81,3914,1227,1
82,3393,1246,1
83,2296,1258,1
84,1978,1284,1
85,2458,1331,1
86,2645,1399,1
87,3048,1499,1
88,2048,1508,1
89,3022,1511,1
90,2862,1540,1
91,2969,1541,1
92,1842,1546,1
93,3666,1549,1
94,3163,1562,1
95,2870,1563,1
96,2604,1585,1
97,3207,1616,1
98,2472,1656,1
99,2871,1662,1
100,2102,1666,1
101,2530,1676,1
102,2566,1710,1
103,2921,1729,1
104,2513,1733,1
105,2924,1774,1
106,1930,1804,1
107,2174,1819,1
108,3390,1830,1
109,2759,1836,1
110,3743,1838,1
111,2169,1901,1
112,2308,1937,1
113,3623,1951,1
114,2932,1953,1
115,2727,2002,1
116,1937,2023,1
117,3611,2054,1
118,2004,2056,1
119,2979,2059,1
120,1963,2060,1
121,2628,2064,1
122,3538,2076,1
123,2858,2082,1
124,2141,2224,1
125,3210,2232,1
126,2463,2247,1
127,2558,2246,1
128,2976,2287,1
129,3237,2292,1
130,3058,2296,1
131,3241,2305,1
132,2584,2318,1
133,3513,2356,1
134,2600,2365,1
135,3020,2370,1
136,3383,2404,1
137,3235,2415,1
138,3645,2451,1
139,2053,2453,1
140,2573,2461,1
141,3399,2473,1
142,3465,2478,1
143,3329,2492,1
144,2984,2504,1
145,3650,2505,1
146,3742,2558,1
147,2564,2572,1
148,3344,2579,1
149,2620,2582,1
150,3697,2622,1
151,2786,2640,1
152,3314,2677,1
153,3864,2689,1
154,2231,2695,1
155,2420,2703,1
156,3133,2718,1
157,3354,2731,1
158,2122,2730,1
