cell,x,y,slice,radius
0,0,4729,0,0
1,1411,4617,1,126
2,1374,4611,1,133
3,2056,4554,1,138
4,1831,4430,1,150
5,2272,4377,1,136
6,2199,4348,1,133
7,2611,4345,1,132
8,2717,4336,1,126
9,1276,4318,1,129
10,2117,4309,1,145
11,1553,4265,1,149
12,1729,4267,1,137
13,2565,4228,1,138
14,1257,4225,1,138
15,2238,4188,1,134
16,1702,4178,1,137
17,1644,4137,1,137
18,1370,4128,1,140
19,2666,4094,1,129
20,1857,4083,1,143
21,2334,4070,1,132
22,2758,4032,1,142
23,2551,3981,1,138
24,2448,3968,1,127
25,2433,3959,1,150
26,1511,3885,1,131
27,2651,3880,1,136
28,2807,3865,1,126
29,2113,3795,1,144
30,1417,3766,1,144
31,2296,3751,1,126
32,1683,3749,1,136
33,1702,3726,1,141
34,2259,3711,1,139
35,2202,3692,1,127
36,2887,3682,1,138
37,2106,3673,1,144
38,2130,3650,1,144
39,2237,3634,1,137
40,2287,3626,1,129
41,2912,3622,1,137
42,2180,3596,1,139
43,3219,3593,1,127
44,1454,3588,1,138
45,2636,3575,1,149
46,2258,3470,1,133
47,2031,3445,1,138
48,2790,3437,1,125
49,1583,3436,1,136
50,1382,3407,1,145
51,2604,3395,1,139
52,2883,3358,1,138
53,2255,3356,1,145
54,2831,3277,1,127
55,1916,3265,1,139
56,2275,3247,1,148
57,2082,3216,1,137
58,2164,3180,1,142
59,3065,3123,1,136
60,2606,3076,1,144
61,2363,3057,1,125
62,2010,3024,1,148
63,1756,3007,1,149
64,2660,2949,1,150
65,2809,2938,1,143
66,3151,2873,1,137
67,1967,2843,1,140
68,3080,2771,1,147
69,1624,2759,1,130
70,3080,2726,1,125
71,2818,2659,1,135
72,3224,2654,1,129
73,2445,2654,1,129
74,2156,2630,1,136
75,1818,2621,1,135
76,2127,2594,1,143
77,2992,2554,1,145
78,2287,2478,1,147
79,1986,2459,1,130
80,2212,2418,1,141
81,2269,2402,1,127
82,2147,2375,1,136
83,3348,2317,1,143
84,2163,2253,1,142
85,2221,1895,1,146
86,2526,1886,1,128
87,2496,1880,1,138
88,2231,1835,1,138
cell,x,y,slice,radius
0,0,4729,0,0
1,1411,4617,1,141
2,1374,4611,1,135
3,2056,4554,1,144
4,1831,4430,1,134
5,2272,4377,1,135
6,2199,4348,1,137
7,2611,4345,1,150
8,2717,4336,1,137
9,1276,4318,1,134
10,2117,4309,1,146
11,1553,4265,1,145
12,1729,4267,1,145
13,2565,4228,1,147
14,1257,4225,1,136
15,2238,4188,1,135
16,1702,4178,1,135
17,1644,4137,1,150
18,1370,4128,1,149
19,2666,4094,1,148
20,1857,4083,1,134
21,2334,4070,1,142
22,2758,4032,1,137
23,2551,3981,1,142
24,2448,3968,1,129
25,2433,3959,1,142
26,1511,3885,1,132
27,2651,3880,1,137
28,2807,3865,1,139
29,2113,3795,1,125
30,1417,3766,1,128
31,2296,3751,1,137
32,1683,3749,1,142
33,1702,3726,1,142
34,2259,3711,1,130
35,2202,3692,1,127
36,2887,3682,1,136
37,2106,3673,1,135
38,2130,3650,1,138
39,2237,3634,1,134
40,2287,3626,1,146
41,2912,3622,1,125
42,2180,3596,1,149
43,3219,3593,1,143
44,1454,3588,1,128
45,2636,3575,1,135
46,2258,3470,1,144
47,2031,3445,1,140
48,2790,3437,1,125
49,1583,3436,1,142
50,1382,3407,1,149
51,2604,3395,1,132
52,2883,3358,1,135
53,2255,3356,1,130
54,2831,3277,1,137
55,1916,3265,1,129
56,2275,3247,1,133
57,2082,3216,1,141
58,2164,3180,1,135
59,3065,3123,1,138
60,2606,3076,1,126
61,2363,3057,1,134
62,2010,3024,1,150
63,1756,3007,1,130
64,2660,2949,1,136
65,2809,2938,1,142
66,3151,2873,1,125
67,1967,2843,1,146
68,3080,2771,1,140
69,1624,2759,1,136
70,3080,2726,1,136
71,2818,2659,1,131
72,3224,2654,1,126
73,2445,2654,1,140
74,2156,2630,1,137
75,1818,2621,1,150
76,2127,2594,1,135
77,2992,2554,1,130
78,2287,2478,1,133
79,1986,2459,1,132
80,2212,2418,1,137
81,2269,2402,1,141
82,2147,2375,1,132
83,3348,2317,1,131
84,2163,2253,1,130
85,2221,1895,1,149
86,2526,1886,1,132
87,2496,1880,1,140
88,2231,1835,1,137
cell,x,y,slice,radius
0,0,4729,0,0
1,1411,4617,1,148
2,1374,4611,1,150
3,2056,4554,1,133
4,1831,4430,1,150
5,2272,4377,1,135
6,2199,4348,1,131
7,2611,4345,1,145
8,2717,4336,1,140
9,1276,4318,1,144
10,2117,4309,1,128
11,1553,4265,1,133
12,1729,4267,1,127
13,2565,4228,1,139
14,1257,4225,1,130
15,2238,4188,1,131
16,1702,4178,1,132
17,1644,4137,1,126
18,1370,4128,1,131
19,2666,4094,1,127
20,1857,4083,1,145
21,2334,4070,1,129
22,2758,4032,1,144
23,2551,3981,1,138
24,2448,3968,1,143
25,2433,3959,1,125
26,1511,3885,1,150
27,2651,3880,1,135
28,2807,3865,1,142
29,2113,3795,1,145
30,1417,3766,1,130
31,2296,3751,1,146
32,1683,3749,1,140
33,1702,3726,1,146
34,2259,3711,1,131
35,2202,3692,1,137
36,2887,3682,1,133
37,2106,3673,1,146
38,2130,3650,1,135
39,2237,3634,1,131
40,2287,3626,1,146
41,2912,3622,1,129
42,2180,3596,1,141
43,3219,3593,1,143
44,1454,3588,1,133
45,2636,3575,1,127
46,2258,3470,1,125
47,2031,3445,1,126
48,2790,3437,1,131
49,1583,3436,1,144
50,1382,3407,1,136
51,2604,3395,1,130
52,2883,3358,1,133
53,2255,3356,1,149
54,2831,3277,1,139
55,1916,3265,1,125
56,2275,3247,1,140
57,2082,3216,1,132
58,2164,3180,1,136
59,3065,3123,1,148
60,2606,3076,1,128
61,2363,3057,1,146
62,2010,3024,1,140
63,1756,3007,1,139
64,2660,2949,1,134
65,2809,2938,1,140
66,3151,2873,1,132
67,1967,2843,1,137
68,3080,2771,1,150
69,1624,2759,1,134
70,3080,2726,1,148
71,2818,2659,1,150
72,3224,2654,1,136
73,2445,2654,1,126
74,2156,2630,1,146
75,1818,2621,1,149
76,2127,2594,1,138
77,2992,2554,1,149
78,2287,2478,1,142
79,1986,2459,1,149
80,2212,2418,1,141
81,2269,2402,1,143
82,2147,2375,1,148
83,3348,2317,1,127
84,2163,2253,1,148
85,2221,1895,1,138
86,2526,1886,1,144
87,2496,1880,1,147
88,2231,1835,1,136
cell,x,y,slice,radius
0,0,4729,0,0
1,1411,4617,1,148
2,1374,4611,1,139
3,2056,4554,1,137
4,1831,4430,1,141
5,2272,4377,1,147
6,2199,4348,1,127
7,2611,4345,1,131
8,2717,4336,1,149
9,1276,4318,1,130
10,2117,4309,1,130
11,1553,4265,1,148
12,1729,4267,1,143
13,2565,4228,1,143
14,1257,4225,1,138
15,2238,4188,1,149
16,1702,4178,1,131
17,1644,4137,1,130
18,1370,4128,1,148
19,2666,4094,1,144
20,1857,4083,1,129
21,2334,4070,1,126
22,2758,4032,1,146
23,2551,3981,1,126
24,2448,3968,1,145
25,2433,3959,1,143
26,1511,3885,1,126
27,2651,3880,1,141
28,2807,3865,1,143
29,2113,3795,1,139
30,1417,3766,1,133
31,2296,3751,1,142
32,1683,3749,1,139
33,1702,3726,1,125
34,2259,3711,1,141
35,2202,3692,1,139
36,2887,3682,1,150
37,2106,3673,1,136
38,2130,3650,1,142
39,2237,3634,1,135
40,2287,3626,1,127
41,2912,3622,1,145
42,2180,3596,1,125
43,3219,3593,1,150
44,1454,3588,1,149
45,2636,3575,1,146
46,2258,3470,1,132
47,2031,3445,1,131
48,2790,3437,1,146
49,1583,3436,1,139
50,1382,3407,1,125
51,2604,3395,1,137
52,2883,3358,1,130
53,2255,3356,1,132
54,2831,3277,1,136
55,1916,3265,1,146
56,2275,3247,1,137
57,2082,3216,1,130
58,2164,3180,1,146
59,3065,3123,1,147
60,2606,3076,1,138
61,2363,3057,1,147
62,2010,3024,1,141
63,1756,3007,1,130
64,2660,2949,1,130
65,2809,2938,1,128
66,3151,2873,1,132
67,1967,2843,1,130
68,3080,2771,1,144
69,1624,2759,1,145
70,3080,2726,1,133
71,2818,2659,1,138
72,3224,2654,1,125
73,2445,2654,1,132
74,2156,2630,1,131
75,1818,2621,1,135
76,2127,2594,1,127
77,2992,2554,1,135
78,2287,2478,1,140
79,1986,2459,1,142
80,2212,2418,1,129
81,2269,2402,1,136
82,2147,2375,1,126
83,3348,2317,1,138
84,2163,2253,1,139
85,2221,1895,1,137
86,2526,1886,1,139
87,2496,1880,1,129
88,2231,1835,1,147
cell,x,y,slice,radius
0,0,4729,0,0
1,1411,4617,1,127
2,1374,4611,1,135
3,2056,4554,1,127
4,1831,4430,1,131
5,2272,4377,1,129
6,2199,4348,1,147
7,2611,4345,1,135
8,2717,4336,1,147
9,1276,4318,1,138
10,2117,4309,1,142
11,1553,4265,1,125
12,1729,4267,1,128
13,2565,4228,1,125
14,1257,4225,1,149
15,2238,4188,1,141
16,1702,4178,1,146
17,1644,4137,1,126
18,1370,4128,1,150
19,2666,4094,1,146
20,1857,4083,1,136
21,2334,4070,1,130
22,2758,4032,1,136
23,2551,3981,1,135
24,2448,3968,1,126
25,2433,3959,1,136
26,1511,3885,1,129
27,2651,3880,1,142
28,2807,3865,1,125
29,2113,3795,1,125
30,1417,3766,1,137
31,2296,3751,1,137
32,1683,3749,1,147
33,1702,3726,1,132
34,2259,3711,1,126
35,2202,3692,1,148
36,2887,3682,1,143
37,2106,3673,1,137
38,2130,3650,1,131
39,2237,3634,1,136
40,2287,3626,1,129
41,2912,3622,1,130
42,2180,3596,1,137
43,3219,3593,1,149
44,1454,3588,1,149
45,2636,3575,1,147
46,2258,3470,1,150
47,2031,3445,1,129
48,2790,3437,1,141
49,1583,3436,1,131
50,1382,3407,1,150
51,2604,3395,1,147
52,2883,3358,1,146
53,2255,3356,1,142
54,2831,3277,1,147
55,1916,3265,1,140
56,2275,3247,1,133
57,2082,3216,1,133
58,2164,3180,1,149
59,3065,3123,1,136
60,2606,3076,1,128
61,2363,3057,1,126
62,2010,3024,1,127
63,1756,3007,1,148
64,2660,2949,1,127
65,2809,2938,1,129
66,3151,2873,1,134
67,1967,2843,1,132
68,3080,2771,1,137
69,1624,2759,1,138
70,3080,2726,1,144
71,2818,2659,1,150
72,3224,2654,1,141
73,2445,2654,1,125
74,2156,2630,1,142
75,1818,2621,1,140
76,2127,2594,1,139
77,2992,2554,1,132
78,2287,2478,1,131
79,1986,2459,1,146
80,2212,2418,1,127
81,2269,2402,1,143
82,2147,2375,1,132
83,3348,2317,1,129
84,2163,2253,1,142
85,2221,1895,1,139
86,2526,1886,1,143
87,2496,1880,1,145
88,2231,1835,1,142
cell,x,y,slice,radius
0,0,4729,0,0
1,1411,4617,1,149
2,1374,4611,1,127
3,2056,4554,1,139
4,1831,4430,1,137
5,2272,4377,1,135
6,2199,4348,1,147
7,2611,4345,1,133
8,2717,4336,1,146
9,1276,4318,1,136
10,2117,4309,1,141
11,1553,4265,1,129
12,1729,4267,1,149
13,2565,4228,1,149
14,1257,4225,1,149
15,2238,4188,1,127
16,1702,4178,1,128
17,1644,4137,1,150
18,1370,4128,1,141
19,2666,4094,1,134
20,1857,4083,1,127
21,2334,4070,1,150
22,2758,4032,1,135
23,2551,3981,1,146
24,2448,3968,1,138
25,2433,3959,1,139
26,1511,3885,1,144
27,2651,3880,1,133
28,2807,3865,1,136
