cell,x,y,slice,radius
0,0,4729,0,0
1,3237,2016,2,149
2,3207,1976,2,131
3,3567,1949,2,138
4,3466,1920,2,125
5,3516,1917,2,136
6,3383,1870,2,135
7,3489,1853,2,150
8,2761,1845,2,136
9,3462,1813,2,141
10,3431,1804,2,145
11,2732,1783,2,149
12,3341,1760,2,127
13,2698,1743,2,146
14,3338,1692,2,134
15,3597,1667,2,143
16,3126,1623,2,137
17,3189,1621,2,148
18,3058,1608,2,128
19,3395,1568,2,135
20,2531,1565,2,135
21,3495,1561,2,125
22,3584,1536,2,141
23,2556,1535,2,135
24,3304,1529,2,148
25,3697,1518,2,131
26,3583,1512,2,147
27,3102,1496,2,150
28,3014,1477,2,149
29,3064,1448,2,130
30,3431,1434,2,139
31,3728,1429,2,139
32,3649,1412,2,148
33,3171,1409,2,136
34,3256,1406,2,147
35,2766,1347,2,139
36,3317,1340,2,132
37,2829,1336,2,133
38,3519,1338,2,143
39,3428,1332,2,136
40,3638,1325,2,134
41,3355,1320,2,147
42,3158,1305,2,131
43,3550,1303,2,133
44,3468,1261,2,139
45,3514,1222,2,140
46,2556,1215,2,140
47,3398,1209,2,129
48,3162,1207,2,137
49,2635,1191,2,149
50,3130,1188,2,126
51,3006,1186,2,140
52,3333,1168,2,143
53,2550,1170,2,134
54,2499,1171,2,129
55,2940,1161,2,137
56,3449,1148,2,146
57,3109,1135,2,143
58,3608,1130,2,131
59,3685,1125,2,140
60,2252,1088,2,150
61,2985,1074,2,135
62,2281,1054,2,127
63,2803,1049,2,126
64,3543,1052,2,134
65,2893,1031,2,142
66,2587,1012,2,134
67,3053,1005,2,148
68,3537,1006,2,137
69,3260,1001,2,135
70,3670,996,2,130
71,2186,984,2,129
72,3656,979,2,145
73,2971,970,2,143
74,2564,951,2,139
75,3262,948,2,130
76,3507,920,2,133
77,2123,907,2,146
78,2300,902,2,138
79,2926,870,2,145
80,3041,859,2,135
81,3377,855,2,138
82,2663,845,2,138
83,2734,843,2,145
84,3353,829,2,125
85,3447,818,2,134
86,3588,817,2,134
87,3024,815,2,131
88,3364,797,2,136
89,2750,773,2,140
90,2465,773,2,133
91,2312,769,2,137
92,3160,755,2,126
93,2582,750,2,129
94,3428,747,2,135
95,2838,744,2,128
96,3373,725,2,127
97,2373,709,2,149
98,3473,701,2,134
99,2954,684,2,136
100,2847,680,2,133
101,3474,656,2,127
102,2294,654,2,139
103,3238,653,2,125
104,2560,633,2,129
105,2700,633,2,141
106,3175,585,2,143
107,3040,558,2,136
108,2709,529,2,134
109,2713,490,2,145
110,3176,435,2,143
111,2543,406,2,150
112,3265,390,2,147
113,2438,381,2,125
114,3125,373,2,135
115,3236,358,2,150
116,2718,314,2,143
117,3144,296,2,144
118,3054,279,2,127
119,2974,257,2,150
120,2808,256,2,127
121,2497,232,2,132
122,2807,183,2,150
123,3009,177,2,140
124,2513,174,2,148
125,2728,103,2,150
126,2796,88,2,137
127,2753,48,2,150
128,2728,38,2,142
129,2633,0,2,149
