cell,x,y,slice,radius
0,0,4729,0,0
1,1411,4617,1,136
2,1374,4611,1,138
3,2056,4554,1,133
4,1831,4430,1,149
5,2272,4377,1,128
6,2199,4348,1,125
7,2611,4345,1,133
8,2717,4336,1,129
9,1276,4318,1,126
10,2117,4309,1,148
11,1553,4265,1,128
12,1729,4267,1,129
13,2565,4228,1,126
14,1257,4225,1,132
15,2238,4188,1,135
16,1702,4178,1,144
17,1644,4137,1,140
18,1370,4128,1,146
19,2666,4094,1,147
20,1857,4083,1,135
21,2334,4070,1,142
22,2758,4032,1,132
23,2551,3981,1,134
24,2448,3968,1,145
25,2433,3959,1,131
26,1511,3885,1,130
27,2651,3880,1,136
28,2807,3865,1,149
29,2113,3795,1,136
30,1417,3766,1,130
31,2296,3751,1,126
32,1683,3749,1,150
33,1702,3726,1,140
34,2259,3711,1,149
35,2202,3692,1,138
36,2887,3682,1,128
37,2106,3673,1,125
38,2130,3650,1,146
39,2237,3634,1,134
40,2287,3626,1,132
41,2912,3622,1,132
42,2180,3596,1,141
43,3219,3593,1,140
44,1454,3588,1,127
45,2636,3575,1,128
46,2258,3470,1,134
47,2031,3445,1,134
48,2790,3437,1,137
49,1583,3436,1,142
50,1382,3407,1,146
51,2604,3395,1,125
52,2883,3358,1,125
53,2255,3356,1,128
54,2831,3277,1,127
55,1916,3265,1,142
56,2275,3247,1,143
57,2082,3216,1,146
58,2164,3180,1,128
59,3065,3123,1,141
60,2606,3076,1,147
61,2363,3057,1,141
62,2010,3024,1,146
63,1756,3007,1,146
64,2660,2949,1,133
65,2809,2938,1,145
66,3151,2873,1,135
67,1967,2843,1,137
68,3080,2771,1,135
69,1624,2759,1,132
70,3080,2726,1,138
71,2818,2659,1,139
72,3224,2654,1,149
73,2445,2654,1,147
74,2156,2630,1,146
75,1818,2621,1,125
76,2127,2594,1,143
77,2992,2554,1,125
78,2287,2478,1,140
79,1986,2459,1,138
80,2212,2418,1,148
81,2269,2402,1,137
82,2147,2375,1,131
83,3348,2317,1,145
84,2163,2253,1,145
85,2221,1895,1,128
86,2526,1886,1,148
87,2496,1880,1,142
88,2231,1835,1,130
