cell,x,y,slice,radius
0,0,4996,0,0
1,2303,4856,3,142
2,2648,4721,3,139
3,2912,4562,3,139
4,2547,4496,3,146
5,3056,4368,3,144
6,3104,4334,3,126
7,2581,4306,3,142
8,2943,4172,3,135
9,2468,4120,3,136
10,3039,4033,3,148
11,3316,3953,3,144
12,2715,3937,3,136
13,3237,3794,3,134
14,3577,3786,3,133
15,2767,3617,3,142
16,2425,3609,3,130
17,2659,3598,3,146
18,3254,3571,3,142
19,3293,3532,3,126
20,2699,3494,3,137
21,3551,3467,3,140
22,2927,3375,3,148
23,3055,3360,3,142
24,2320,3280,3,141
25,2913,3276,3,134
26,3674,3191,3,134
27,3123,3179,3,128
28,3586,3179,3,145
29,3265,3141,3,144
30,3891,3140,3,140
31,3020,3095,3,136
32,3089,3056,3,127
33,3489,3002,3,148
34,2130,2999,3,134
35,2888,2989,3,142
36,2655,2969,3,145
37,3790,2946,3,127
38,2553,2931,3,145
39,3609,2904,3,130
40,2842,2858,3,146
41,3591,2857,3,134
42,3437,2707,3,128
43,2929,2621,3,147
44,2758,2554,3,143
45,3843,2534,3,140
46,2475,2521,3,141
47,3549,2487,3,147
48,3990,2432,3,142
49,3830,2373,3,148
50,2940,2348,3,141
51,3676,2335,3,147
52,3623,2177,3,141
53,4031,2169,3,142
54,2525,2161,3,135
55,3687,2138,3,140
56,2629,2041,3,137
57,2740,2013,3,137
58,3837,2001,3,129
59,2375,1992,3,133
60,2364,1892,3,144
61,3728,1885,3,136
62,3521,1873,3,136
63,3034,1841,3,132
64,3878,1834,3,145
65,2170,1819,3,125
66,1797,1816,3,137
67,2646,1802,3,147
68,3040,1728,3,141
69,3549,1687,3,137
70,1830,1677,3,125
71,3740,1659,3,133
72,2935,1652,3,136
73,3686,1622,3,145
74,2752,1471,3,150
75,1955,1447,3,126
76,1731,1402,3,139
77,3600,1380,3,138
78,3260,1344,3,149
79,3315,1310,3,131
80,2677,1305,3,128
81,2834,1266,3,128
82,1573,1216,3,125
83,1493,1207,3,133
84,2897,1175,3,130
85,1349,1114,3,129
86,2108,1101,3,140
87,2222,1099,3,131
88,2614,1041,3,143
89,1521,993,3,135
90,1977,977,3,126
91,2520,934,3,129
92,1435,929,3,129
93,1572,904,3,127
94,2176,898,3,136
95,2050,854,3,146
96,1509,813,3,141
97,1490,774,3,136
98,2505,759,3,133
99,1496,697,3,147
100,2131,658,3,144
101,1523,636,3,139
102,1771,632,3,134
103,2028,627,3,130
104,1769,482,3,128
105,2015,337,3,137
