cell,x,y,slice,radius
0,0,4755,0,0
1,2842,4636,1,133
2,3006,4635,1,144
3,2602,4621,1,135
4,1797,4602,1,143
5,3038,4589,1,142
6,2195,4581,1,135
7,2743,4586,1,145
8,2758,4552,1,139
9,2959,4500,1,137
10,2763,4473,1,149
11,3279,4464,1,130
12,2259,4430,1,139
13,2779,4424,1,126
14,3030,4417,1,134
15,2894,4379,1,148
16,1771,4345,1,134
17,1552,4331,1,146
18,3097,4280,1,136
19,2998,4266,1,131
20,2244,4259,1,136
21,2427,4233,1,127
22,1401,4178,1,144
23,2048,4180,1,126
24,1866,4126,1,149
25,2910,4121,1,144
26,3120,4063,1,130
27,1659,4047,1,144
28,1919,4018,1,133
29,3099,3997,1,148
30,3201,3995,1,129
31,1851,3983,1,150
32,2444,3960,1,150
33,3110,3944,1,129
34,2895,3913,1,135
35,2793,3900,1,148
36,2828,3900,1,133
37,1673,3862,1,127
38,3210,3864,1,143
39,2951,3863,1,130
40,2644,3821,1,130
41,2741,3819,1,144
42,2823,3818,1,127
43,1342,3804,1,133
44,2982,3796,1,126
45,1344,3783,1,143
46,1506,3771,1,137
47,2796,3745,1,133
48,1447,3714,1,137
49,2662,3713,1,130
50,2431,3673,1,147
51,3287,3642,1,134
52,2431,3623,1,149
53,2651,3604,1,136
54,2942,3542,1,141
55,2666,3503,1,137
56,2784,3502,1,137
57,2765,3466,1,137
58,2920,3455,1,143
59,2007,3431,1,136
60,2636,3425,1,142
61,2118,3168,1,145
62,3202,3092,1,140
63,2738,3034,1,144
64,3080,2962,1,131
65,3183,2947,1,129
66,3020,2860,1,149
67,3532,2830,1,127
68,1858,2636,1,134
69,2210,2620,1,145
70,2982,2598,1,139
71,3328,2570,1,139
72,3181,2442,1,129
73,2350,2353,1,144
74,2974,2349,1,141
75,2337,2331,1,139
76,2624,2217,1,148
77,2249,2110,1,134
78,2730,2085,1,142
79,3081,1821,1,135
80,3082,1529,1,125
81,2541,1517,1,130
82,2606,1517,1,141
83,3216,1456,1,144
84,2974,1208,1,128
85,3850,1370,2,138
86,3664,1288,2,127
87,3599,1287,2,126
88,3576,1046,2,147
89,3929,1020,2,130
90,3352,1017,2,141
91,3348,966,2,147
92,3025,960,2,125
93,3911,912,2,149
94,3862,868,2,144
95,3854,849,2,150
96,3137,834,2,141
97,2938,826,2,144
98,3275,822,2,129
99,3006,590,2,130
100,3121,407,2,146
101,2277,319,2,145
102,3186,238,2,129
103,2104,176,2,138
104,2171,138,2,135
105,3020,44,2,148
106,2827,12,2,125
107,2171,0,2,129
108,1035,4333,3,143
109,1183,4206,3,130
110,971,3950,3,140
111,879,3839,3,125
112,546,3822,3,136
113,963,3820,3,142
114,797,3806,3,149
115,558,3624,3,136
116,915,3608,3,131
117,520,3492,3,138
118,766,3362,3,130
119,229,3264,3,126
120,589,3215,3,140
121,741,3142,3,136
122,947,2918,3,147
123,641,2899,3,134
124,301,2814,3,126
125,131,2784,3,144
126,768,2690,3,136
127,1109,2630,3,127
128,255,2587,3,134
129,743,2554,3,132
130,853,2538,3,137
131,1601,2539,3,142
132,856,2476,3,147
133,456,2392,3,141
134,783,2308,3,134
135,1119,2309,3,129
136,979,2227,3,137
137,781,2202,3,128
138,667,2172,3,142
139,1681,2162,3,146
140,1009,2128,3,135
141,1744,2075,3,126
142,1879,2064,3,137
143,1160,2056,3,142
144,373,2036,3,150
145,840,2025,3,130
146,125,1993,3,129
147,1405,1947,3,128
148,893,1900,3,131
149,801,1641,3,127
150,531,1631,3,128
151,1604,1606,3,138
152,1374,1602,3,128
153,2027,1535,3,142
154,1246,1507,3,144
155,2228,1504,3,147
156,1782,1478,3,140
157,1679,1428,3,141
158,2379,1310,3,148
159,1779,1307,3,148
160,1958,1084,3,131
161,2688,1061,3,135
162,1642,982,3,140
163,2034,951,3,139
164,2551,901,3,135
165,1850,857,3,131
166,1338,809,3,129
167,1774,643,3,149
168,2077,577,3,148
169,1910,576,3,131
170,2166,312,3,149
171,1678,303,3,146
172,1887,239,3,126
