node,degree,centrality,clustering
0,0.0,0.0,0.0
1,8.0,20.833333333333332,0.5714285714285714
2,4.0,1.1666666666666665,0.8333333333333334
3,4.0,0.0,1.0
4,0.0,0.0,0.0
5,4.0,1.1666666666666665,0.8333333333333334
6,1.0,0.0,0.0
7,6.0,8.333333333333332,0.8666666666666667
8,7.0,26.0,0.7619047619047619
9,10.0,254.74999999999972,0.4666666666666667
10,7.0,26.0,0.7619047619047619
11,0.0,0.0,0.0
12,2.0,34.0,0.0
13,6.0,1.583333333333333,0.8666666666666667
14,6.0,81.74999999999996,0.5333333333333333
15,7.0,153.16666666666666,0.5238095238095238
16,2.0,112.0,0.0
17,2.0,90.0,0.0
18,5.0,157.49999999999997,0.6
19,6.0,437.7499999999996,0.5333333333333333
20,3.0,94.0,0.0
21,1.0,0.0,0.0
22,2.0,64.0,0.0
23,3.0,112.0,0.3333333333333333
24,5.0,179.33333333333334,0.3
25,6.0,524.2935484067063,0.4
26,7.0,144.39699699699702,0.47619047619047616
27,3.0,46.66666666666665,0.6666666666666666
28,3.0,21.666666666666668,0.6666666666666666
29,8.0,55.51642863221809,0.5357142857142857
30,4.0,0.0,1.0
31,4.0,74.33333333333331,0.5
32,1.0,0.0,0.0
33,7.0,40.65276496855443,0.6190476190476191
34,10.0,234.53444665023605,0.6222222222222222
35,9.0,38.17651552651553,0.8055555555555556
36,9.0,291.3065907144854,0.7222222222222222
37,3.0,112.0,0.3333333333333333
38,6.0,89.48425498951813,0.5333333333333333
39,9.0,38.051843312369634,0.7222222222222222
40,8.0,110.37164932428092,0.6071428571428571
41,10.0,110.84683877052298,0.7111111111111111
42,9.0,38.17651552651553,0.8055555555555556
43,3.0,0.0,1.0
44,10.0,116.5360983018878,0.6222222222222222
45,3.0,0.0,1.0
46,4.0,90.0,0.5
47,11.0,302.22693645062066,0.6181818181818182
48,3.0,0.0,1.0
49,10.0,135.38052503052504,0.4444444444444444
50,3.0,0.0,1.0
51,1.0,0.0,0.0
52,3.0,0.0,1.0
53,10.0,172.0489010989011,0.4
54,3.0,0.0,1.0
55,5.0,2.4761904761904763,0.8
56,8.0,173.85628815628814,0.4642857142857143
57,6.0,11.666666666666666,0.6
58,3.0,0.0,1.0
59,0.0,0.0,0.0
60,4.0,0.0,1.0
61,0.0,0.0,0.0
62,2.0,0.0,1.0
63,0.0,0.0,0.0
64,3.0,1.0,0.6666666666666666
65,3.0,1.0,0.6666666666666666
