comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,15,0.3,0.3870967741935484
3,3,0.0,0.0
4,4,0.5833333333333333,0.6
5,2,0.0,0.0
6,14,0.5542517006802722,0.7377049180327869
7,2,0.0,0.0
8,2,0.0,0.0
9,3,1.0,1.0
10,3,0.0,0.0
11,4,0.5833333333333334,0.6
12,2,0.0,0.0
13,5,0.5333333333333333,0.6
14,2,0.0,0.0
15,2,0.0,0.0
comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,5,0.7,0.8
3,15,0.45555555555555555,0.4166666666666667
4,3,0.0,0.0
5,4,0.0,0.0
6,15,0.6468253968253969,0.7783018867924528
7,2,0.0,0.0
8,2,0.0,0.0
9,5,0.4666666666666666,0.5
10,3,0.0,0.0
11,2,0.0,0.0
12,5,0.6,0.5454545454545454
13,2,0.0,0.0
14,5,0.9,0.875
15,2,0.0,0.0
16,2,0.0,0.0
