cell,x,y,slice,radius
0,0,4729,0,0
1,1411,4617,1,133
2,1374,4611,1,140
3,2056,4554,1,142
4,1831,4430,1,148
5,2272,4377,1,133
6,2199,4348,1,128
7,2611,4345,1,149
8,2717,4336,1,128
9,1276,4318,1,138
10,2117,4309,1,148
11,1553,4265,1,149
12,1729,4267,1,129
13,2565,4228,1,141
14,1257,4225,1,138
15,2238,4188,1,144
16,1702,4178,1,130
17,1644,4137,1,139
18,1370,4128,1,130
19,2666,4094,1,135
20,1857,4083,1,138
21,2334,4070,1,139
22,2758,4032,1,141
23,2551,3981,1,129
24,2448,3968,1,141
25,2433,3959,1,127
26,1511,3885,1,148
27,2651,3880,1,125
28,2807,3865,1,125
29,2113,3795,1,136
30,1417,3766,1,145
31,2296,3751,1,132
32,1683,3749,1,149
33,1702,3726,1,128
34,2259,3711,1,131
35,2202,3692,1,127
36,2887,3682,1,127
37,2106,3673,1,127
38,2130,3650,1,129
39,2237,3634,1,137
40,2287,3626,1,141
41,2912,3622,1,146
42,2180,3596,1,128
43,3219,3593,1,150
44,1454,3588,1,127
45,2636,3575,1,127
46,2258,3470,1,125
47,2031,3445,1,139
48,2790,3437,1,143
49,1583,3436,1,140
50,1382,3407,1,125
51,2604,3395,1,135
52,2883,3358,1,133
53,2255,3356,1,142
54,2831,3277,1,143
55,1916,3265,1,150
56,2275,3247,1,135
57,2082,3216,1,126
58,2164,3180,1,133
59,3065,3123,1,150
60,2606,3076,1,128
61,2363,3057,1,127
62,2010,3024,1,137
63,1756,3007,1,135
64,2660,2949,1,130
65,2809,2938,1,136
66,3151,2873,1,134
67,1967,2843,1,137
68,3080,2771,1,149
69,1624,2759,1,143
70,3080,2726,1,149
71,2818,2659,1,149
72,3224,2654,1,136
73,2445,2654,1,129
74,2156,2630,1,133
75,1818,2621,1,148
76,2127,2594,1,142
77,2992,2554,1,145
78,2287,2478,1,150
79,1986,2459,1,135
80,2212,2418,1,149
81,2269,2402,1,135
82,2147,2375,1,143
83,3348,2317,1,138
84,2163,2253,1,128
85,2221,1895,1,136
86,2526,1886,1,132
87,2496,1880,1,126
88,2231,1835,1,137
cell,x,y,slice,radius
0,0,4729,0,0
1,1411,4617,1,143
2,1374,4611,1,148
3,2056,4554,1,147
4,1831,4430,1,125
5,2272,4377,1,137
6,2199,4348,1,140
7,2611,4345,1,143
8,2717,4336,1,145
9,1276,4318,1,149
10,2117,4309,1,141
11,1553,4265,1,147
12,1729,4267,1,142
13,2565,4228,1,142
14,1257,4225,1,126
15,2238,4188,1,125
16,1702,4178,1,138
17,1644,4137,1,137
18,1370,4128,1,129
19,2666,4094,1,131
20,1857,4083,1,145
21,2334,4070,1,126
22,2758,4032,1,131
23,2551,3981,1,147
24,2448,3968,1,138
25,2433,3959,1,140
26,1511,3885,1,138
27,2651,3880,1,140
28,2807,3865,1,134
29,2113,3795,1,146
30,1417,3766,1,129
31,2296,3751,1,126
32,1683,3749,1,132
33,1702,3726,1,127
34,2259,3711,1,136
35,2202,3692,1,132
36,2887,3682,1,145
37,2106,3673,1,140
38,2130,3650,1,130
39,2237,3634,1,141
40,2287,3626,1,137
41,2912,3622,1,136
42,2180,3596,1,125
43,3219,3593,1,133
44,1454,3588,1,139
45,2636,3575,1,144
