comp,bumber of nodes,global clustering coefficient,transitivity
1,4,0.5833333333333333,0.6
2,2,0.0,0.0
3,4,0.0,0.0
4,3,0.0,0.0
5,2,0.0,0.0
6,3,1.0,1.0
7,2,0.0,0.0
8,8,0.20833333333333331,0.375
9,2,0.0,0.0
10,2,0.0,0.0
11,4,0.0,0.0
12,2,0.0,0.0
13,3,0.0,0.0
14,2,0.0,0.0
15,2,0.0,0.0
16,3,1.0,1.0
17,2,0.0,0.0
18,2,0.0,0.0
19,5,0.8666666666666666,0.7894736842105263
20,2,0.0,0.0
21,2,0.0,0.0
22,3,1.0,1.0
23,2,0.0,0.0
24,2,0.0,0.0
25,3,0.0,0.0
26,2,0.0,0.0
27,2,0.0,0.0
28,2,0.0,0.0
29,2,0.0,0.0
30,2,0.0,0.0
31,2,0.0,0.0
32,2,0.0,0.0
33,2,0.0,0.0
34,2,0.0,0.0
35,2,0.0,0.0
36,2,0.0,0.0
37,2,0.0,0.0
38,2,0.0,0.0
39,2,0.0,0.0
40,2,0.0,0.0
41,7,0.0,0.0
42,2,0.0,0.0
