node,degree,centrality,clustering
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,2.0,0.0,1.0
3,2.0,0.0,1.0
4,0.0,0.0,0.0
5,2.0,0.0,1.0
6,1.0,0.0,0.0
7,1.0,0.0,0.0
8,2.0,2.0,0.0
9,0.0,0.0,0.0
10,1.0,0.0,0.0
11,1.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,1.0,0.0,0.0
16,0.0,0.0,0.0
17,1.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,1.0,0.0,0.0
21,2.0,4.0,0.0
22,1.0,0.0,0.0
23,2.0,4.0,0.0
24,0.0,0.0,0.0
25,2.0,4.0,0.0
26,2.0,4.0,0.0
27,1.0,0.0,0.0
28,2.0,0.0,1.0
29,1.0,0.0,0.0
30,0.0,0.0,0.0
31,2.0,0.0,1.0
32,0.0,0.0,0.0
33,2.0,0.0,1.0
34,1.0,0.0,0.0
35,1.0,0.0,0.0
36,1.0,0.0,0.0
37,1.0,0.0,0.0
38,1.0,0.0,0.0
39,1.0,0.0,0.0
40,2.0,2.0,0.0
41,1.0,0.0,0.0
42,1.0,0.0,0.0
43,0.0,0.0,0.0
44,3.0,4.0,0.3333333333333333
45,2.0,0.0,1.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,1.0,0.0,0.0
49,1.0,0.0,0.0
50,2.0,0.0,1.0
51,1.0,0.0,0.0
52,0.0,0.0,0.0
53,2.0,0.0,1.0
54,0.0,0.0,0.0
55,2.0,0.0,1.0
56,2.0,2.0,0.0
57,2.0,0.0,1.0
58,0.0,0.0,0.0
59,1.0,0.0,0.0
60,1.0,0.0,0.0
61,3.0,4.0,0.3333333333333333
62,2.0,0.0,1.0
63,0.0,0.0,0.0
64,1.0,0.0,0.0
65,2.0,0.0,1.0
66,1.0,0.0,0.0
67,1.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,1.0,0.0,0.0
71,1.0,0.0,0.0
72,2.0,4.0,0.0
73,1.0,0.0,0.0
74,0.0,0.0,0.0
75,2.0,4.0,0.0
76,1.0,0.0,0.0
77,0.0,0.0,0.0
78,1.0,0.0,0.0
79,0.0,0.0,0.0
80,1.0,0.0,0.0
81,0.0,0.0,0.0
82,1.0,0.0,0.0
83,0.0,0.0,0.0
84,2.0,0.0,1.0
85,2.0,0.0,1.0
86,0.0,0.0,0.0
87,3.0,4.0,0.3333333333333333
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,1.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,1.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,2.0,0.0,1.0
103,2.0,0.0,1.0
104,0.0,0.0,0.0
105,4.0,4.0,0.5
106,3.0,1.0,0.6666666666666666
107,3.0,1.0,0.6666666666666666
108,2.0,0.0,1.0
109,2.0,0.0,1.0
110,0.0,0.0,0.0
111,2.0,0.0,1.0
112,1.0,0.0,0.0
113,0.0,0.0,0.0
114,1.0,0.0,0.0
115,1.0,0.0,0.0
116,3.0,10.0,0.0
117,1.0,0.0,0.0
118,0.0,0.0,0.0
119,1.0,0.0,0.0
120,2.0,6.0,0.0
121,1.0,0.0,0.0
122,1.0,0.0,0.0
123,0.0,0.0,0.0
124,1.0,0.0,0.0
125,0.0,0.0,0.0
126,1.0,0.0,0.0
127,1.0,0.0,0.0
128,2.0,2.0,0.0
129,1.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,2.0,0.0,1.0
133,2.0,0.0,1.0
134,2.0,0.0,1.0
135,0.0,0.0,0.0
136,2.0,2.0,0.0
137,1.0,0.0,0.0
138,1.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,1.0,0.0,0.0
143,1.0,0.0,0.0
144,2.0,0.0,1.0
145,1.0,0.0,0.0
146,2.0,0.0,1.0
147,1.0,0.0,0.0
148,2.0,0.0,1.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,2.0,0.0,1.0
156,3.0,4.0,0.3333333333333333
157,2.0,0.0,1.0
158,1.0,0.0,0.0
159,1.0,0.0,0.0
160,0.0,0.0,0.0
161,2.0,4.0,0.0
162,0.0,0.0,0.0
163,1.0,0.0,0.0
164,1.0,0.0,0.0
165,2.0,2.0,0.0
166,1.0,0.0,0.0
167,2.0,4.0,0.0
168,0.0,0.0,0.0
169,1.0,0.0,0.0
170,0.0,0.0,0.0
171,1.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,1.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,1.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,1.0,0.0,0.0
185,1.0,0.0,0.0
