cell,x,y,slice,radius
0,0,4903,0,0
1,427,1963,2,132
2,398,1807,2,146
3,600,1733,2,141
4,310,1720,2,125
5,572,1639,2,127
6,241,1577,2,141
7,1002,1572,2,149
8,660,1517,2,131
9,117,1499,2,149
10,301,1495,2,131
11,367,1462,2,131
12,350,1439,2,148
13,222,1437,2,147
14,1048,1428,2,143
15,60,1428,2,133
16,1082,1425,2,136
17,1504,1367,2,133
18,632,1344,2,145
19,1386,1339,2,132
20,979,1327,2,127
21,1066,1323,2,129
22,1153,1314,2,129
23,285,1299,2,150
24,305,1300,2,142
25,842,1285,2,131
26,692,1283,2,129
27,298,1280,2,148
28,338,1273,2,144
29,769,1265,2,127
30,454,1253,2,147
31,1480,1242,2,139
32,1579,1240,2,125
33,348,1230,2,145
34,637,1224,2,144
35,278,1203,2,128
36,958,1193,2,140
37,1131,1192,2,128
38,1599,1192,2,128
39,250,1184,2,136
40,938,1177,2,139
41,786,1132,2,142
42,882,1135,2,135
43,528,1130,2,150
44,476,1128,2,142
45,218,1127,2,135
46,1404,1121,2,144
47,1504,1109,2,150
48,1302,1104,2,135
49,585,1094,2,147
50,1145,1077,2,149
51,660,1070,2,126
52,1045,1061,2,129
53,578,1052,2,126
54,1287,1030,2,144
55,878,1030,2,126
56,1639,1023,2,133
57,362,1004,2,142
58,73,971,2,147
59,772,968,2,129
60,680,967,2,148
61,930,954,2,142
62,1748,921,2,131
63,702,917,2,137
64,1691,917,2,147
65,415,902,2,132
66,1453,903,2,138
67,1950,889,2,126
68,1600,882,2,150
69,1124,868,2,141
70,345,865,2,140
71,1862,864,2,146
72,868,858,2,141
73,748,857,2,139
74,536,837,2,135
75,324,822,2,148
76,1535,816,2,133
77,1099,814,2,144
78,1406,806,2,130
79,439,800,2,141
80,1863,790,2,134
81,166,781,2,131
82,464,775,2,135
83,702,764,2,144
84,1231,767,2,138
85,1593,767,2,128
86,1146,764,2,143
87,1321,752,2,136
88,476,748,2,139
89,861,735,2,137
90,335,709,2,147
91,517,706,2,144
92,956,707,2,150
93,369,696,2,145
94,536,690,2,139
95,609,688,2,144
96,270,679,2,137
97,2109,675,2,128
98,936,676,2,129
99,1087,658,2,146
100,377,651,2,125
101,1465,653,2,145
102,1314,588,2,131
103,743,580,2,148
104,1391,580,2,142
105,1350,571,2,141
106,369,566,2,145
107,704,561,2,129
108,738,558,2,127
109,1553,549,2,140
110,1478,540,2,125
111,490,539,2,127
112,857,510,2,129
113,813,510,2,126
114,1445,479,2,126
115,964,471,2,126
116,804,465,2,128
117,1110,455,2,132
118,707,451,2,127
119,388,447,2,142
120,2183,437,2,150
121,1246,431,2,147
122,1235,407,2,125
123,1127,352,2,126
124,882,303,2,134
125,645,282,2,126
126,1091,257,2,146
127,1523,249,2,131
128,955,209,2,144
129,952,159,2,137
130,1527,151,2,147
131,1485,79,2,134
132,1448,10,2,130
133,1519,0,2,125
