cell,x,y,slice,radius
0,0,4729,0,0
1,1119,4373,3,144
2,942,4312,3,142
3,751,4160,3,133
4,898,4018,3,136
5,502,4008,3,137
6,1086,3984,3,126
7,776,3961,3,137
8,880,3930,3,129
9,655,3861,3,146
10,1187,3847,3,133
11,1001,3819,3,146
12,312,3791,3,129
13,434,3723,3,137
14,961,3717,3,140
15,387,3619,3,148
16,205,3614,3,129
17,421,3562,3,138
18,293,3528,3,125
19,1078,3508,3,126
20,1125,3488,3,133
21,650,3447,3,143
22,1302,3386,3,143
23,1288,3333,3,128
24,435,3323,3,140
25,1372,3278,3,128
26,127,3256,3,140
27,1029,3229,3,143
28,415,3223,3,130
29,1297,3210,3,145
30,1141,3170,3,129
31,121,3153,3,133
32,730,3058,3,146
33,338,3052,3,146
34,419,2992,3,149
35,428,2945,3,140
36,1337,2916,3,138
37,318,2867,3,129
38,557,2726,3,144
39,1102,2668,3,148
40,478,2599,3,142
41,989,2591,3,144
42,1509,2490,3,134
43,1453,2462,3,133
44,884,2345,3,135
45,1385,2346,3,136
46,653,2322,3,150
47,1386,2255,3,127
48,946,2198,3,145
49,1819,2052,3,143
50,773,1998,3,142
51,1402,1944,3,146
52,1756,1902,3,147
53,2154,1810,3,134
54,1229,1660,3,142
55,1820,1619,3,149
56,1591,1608,3,137
57,1563,1417,3,131
58,2210,1412,3,128
59,2048,1404,3,141
60,1795,1385,3,149
61,2240,1380,3,126
62,2106,1353,3,137
63,1818,1345,3,144
64,1826,1266,3,139
65,1615,1194,3,138
66,1757,1192,3,126
67,1986,1191,3,139
68,1817,1183,3,138
69,1943,1147,3,136
70,1905,1131,3,128
71,1737,1061,3,150
72,1645,975,3,148
73,1876,911,3,126
74,1664,903,3,147
75,1734,868,3,139
76,1778,865,3,149
77,1793,736,3,130
