cell,x,y,slice,radius
0,0,4996,0,0
1,1878,4938,1,144
2,1845,4906,1,134
3,1735,4900,1,133
4,1785,4861,1,142
5,1411,4859,1,134
6,1603,4816,1,144
7,1183,4795,1,135
8,1381,4785,1,134
9,1889,4688,1,137
10,1136,4687,1,147
11,950,4658,1,148
12,2094,4633,1,141
13,973,4567,1,150
14,2190,4567,1,128
15,1384,4549,1,140
16,1218,4529,1,129
17,2001,4530,1,138
18,990,4504,1,141
19,2221,4477,1,130
20,530,4445,1,143
21,944,4435,1,140
22,1888,4416,1,133
23,763,4390,1,146
24,659,4385,1,127
25,919,4320,1,147
26,1688,4297,1,130
27,1055,4275,1,133
28,1353,4266,1,137
29,1460,4241,1,128
30,1398,4227,1,144
31,698,4158,1,147
32,945,4096,1,140
33,768,4092,1,145
34,1241,4084,1,135
35,1030,4062,1,133
36,872,4006,1,131
37,1286,3993,1,142
38,1714,3983,1,144
39,403,3982,1,129
40,1786,3976,1,132
41,926,3955,1,138
42,885,3949,1,145
43,2026,3927,1,132
44,800,3904,1,142
45,1076,3893,1,146
46,944,3863,1,143
47,694,3850,1,127
48,1698,3844,1,141
49,1594,3821,1,134
50,1233,3787,1,125
51,1167,3783,1,139
52,950,3768,1,145
53,376,3766,1,136
54,1738,3760,1,126
55,1736,3707,1,150
56,1153,3544,1,131
57,1091,3493,1,125
58,1235,3448,1,148
59,2137,3439,1,148
60,994,3432,1,138
61,505,3386,1,133
62,1424,3334,1,150
63,1232,3178,1,142
64,1462,3155,1,127
65,645,3123,1,132
66,1404,2853,1,133
67,1790,2826,1,129
68,286,2773,1,149
69,1313,2763,1,127
70,291,2729,1,138
71,1235,2685,1,134
72,1458,2669,1,125
73,1667,2605,1,150
74,566,2474,1,133
75,209,2469,1,150
76,1882,2429,1,140
77,1028,2414,1,129
78,1814,2409,1,144
79,1774,2401,1,129
80,618,2274,1,140
81,998,2139,1,128
82,663,2107,1,146
83,271,2039,1,139
84,1345,1989,1,148
85,433,1957,1,142
86,825,1956,1,145
87,932,1941,1,139
88,527,1862,1,128
89,1119,1810,1,126
90,858,1808,1,126
91,777,1720,1,138
92,1472,1557,1,137
93,1004,1550,1,142
94,168,1634,2,150
95,412,1455,2,144
96,182,1413,2,144
97,178,1270,2,133
98,154,1257,2,144
99,729,1222,2,144
100,568,1177,2,139
101,490,1156,2,150
102,578,1119,2,134
103,528,1097,2,130
104,955,1041,2,131
105,972,1020,2,142
106,573,1008,2,133
107,1028,817,2,136
108,817,813,2,145
109,1092,789,2,130
110,414,778,2,145
111,593,628,2,130
112,1441,445,2,145
113,1540,407,2,133
114,1435,393,2,135
115,1425,267,2,132
116,1621,264,2,134
117,1924,224,2,142
118,768,217,2,128
119,1628,157,2,136
120,2015,107,2,149
121,1823,21,2,140
122,1128,0,2,144
123,2303,4856,3,142
124,2648,4721,3,140
125,2912,4562,3,131
126,2547,4496,3,132
127,3056,4368,3,140
128,3104,4334,3,147
129,2581,4306,3,148
130,2943,4172,3,134
131,2468,4120,3,139
132,3039,4033,3,143
133,3316,3953,3,138
134,2715,3937,3,150
135,3237,3794,3,133
136,3577,3786,3,132
137,2767,3617,3,133
138,2425,3609,3,127
139,2659,3598,3,145
140,3254,3571,3,136
141,3293,3532,3,132
142,2699,3494,3,131
143,3551,3467,3,127
144,2927,3375,3,149
145,3055,3360,3,142
146,2320,3280,3,143
147,2913,3276,3,139
148,3674,3191,3,149
149,3123,3179,3,145
150,3586,3179,3,133
151,3265,3141,3,141
152,3891,3140,3,139
153,3020,3095,3,140
154,3089,3056,3,144
155,3489,3002,3,148
156,2130,2999,3,132
157,2888,2989,3,132
158,2655,2969,3,144
159,3790,2946,3,146
160,2553,2931,3,126
161,3609,2904,3,135
162,2842,2858,3,138
163,3591,2857,3,126
164,3437,2707,3,149
165,2929,2621,3,139
166,2758,2554,3,141
167,3843,2534,3,148
168,2475,2521,3,133
169,3549,2487,3,126
170,3990,2432,3,132
171,3830,2373,3,149
172,2940,2348,3,149
173,3676,2335,3,137
174,3623,2177,3,146
175,4031,2169,3,125
176,2525,2161,3,134
177,3687,2138,3,131
178,2629,2041,3,127
179,2740,2013,3,140
180,3837,2001,3,150
181,2375,1992,3,127
182,2364,1892,3,138
183,3728,1885,3,130
184,3521,1873,3,133
185,3034,1841,3,137
186,3878,1834,3,141
187,2170,1819,3,125
188,1797,1816,3,150
189,2646,1802,3,130
190,3040,1728,3,139
191,3549,1687,3,126
192,1830,1677,3,148
193,3740,1659,3,136
194,2935,1652,3,140
195,3686,1622,3,138
196,2752,1471,3,126
197,1955,1447,3,146
198,1731,1402,3,132
199,3600,1380,3,145
200,3260,1344,3,145
201,3315,1310,3,150
202,2677,1305,3,149
203,2834,1266,3,147
204,1573,1216,3,135
205,1493,1207,3,142
206,2897,1175,3,146
207,1349,1114,3,130
208,2108,1101,3,129
209,2222,1099,3,127
210,2614,1041,3,133
211,1521,993,3,144
212,1977,977,3,127
213,2520,934,3,145
214,1435,929,3,141
215,1572,904,3,148
216,2176,898,3,149
217,2050,854,3,150
218,1509,813,3,136
219,1490,774,3,134
220,2505,759,3,150
221,1496,697,3,133
222,2131,658,3,141
223,1523,636,3,143
224,1771,632,3,142
225,2028,627,3,128
226,1769,482,3,140
227,2015,337,3,125
