comp,bumber of nodes,global clustering coefficient,transitivity
1,11,0.46969696969696967,0.525
2,22,0.40303030303030307,0.52
3,76,0.5576023391812864,0.5733063700707786
4,5,0.8666666666666666,0.7894736842105263
5,8,0.8416666666666667,0.78125
6,38,0.4962406015037593,0.5542168674698795
7,2,0.0,0.0
8,4,0.5833333333333333,0.6
9,89,0.5708726978389901,0.5576208178438662
10,3,0.0,0.0
11,2,0.0,0.0
12,2,0.0,0.0
13,2,0.0,0.0
14,23,0.42173913043478267,0.526595744680851
15,5,0.7666666666666666,0.6428571428571429
16,8,0.20833333333333331,0.2727272727272727
17,2,0.0,0.0
18,8,0.5416666666666666,0.47368421052631576
19,2,0.0,0.0
