comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,5,0.8666666666666666,0.7894736842105263
3,7,0.8095238095238094,0.6923076923076923
4,2,0.0,0.0
5,2,0.0,0.0
6,3,0.0,0.0
7,5,0.8666666666666666,0.7894736842105263
8,5,0.9,0.875
9,4,0.8333333333333333,0.75
10,7,0.7142857142857143,0.6
11,21,0.4222222222222222,0.6
12,3,1.0,1.0
13,3,0.0,0.0
14,8,0.5375,0.45
15,2,0.0,0.0
16,4,0.5833333333333333,0.6
17,2,0.0,0.0
18,2,0.0,0.0
19,2,0.0,0.0
20,2,0.0,0.0
21,2,0.0,0.0
22,3,0.0,0.0
