comp,bumber of nodes,global clustering coefficient,transitivity
1,3,1.0,1.0
2,14,0.3999999999999999,0.5625
3,5,0.0,0.0
4,2,0.0,0.0
5,5,0.8666666666666666,0.7894736842105263
6,2,0.0,0.0
7,14,0.47619047619047616,0.5294117647058824
8,3,1.0,1.0
9,12,0.6805555555555555,0.5161290322580645
10,4,0.5833333333333334,0.6
11,3,0.0,0.0
12,3,0.0,0.0
13,2,0.0,0.0
14,2,0.0,0.0
15,12,0.6749999999999999,0.8076923076923077
16,3,1.0,1.0
17,2,0.0,0.0
18,22,0.5123376623376624,0.5714285714285714
19,2,0.0,0.0
20,3,1.0,1.0
