comp,bumber of nodes,global clustering coefficient,transitivity
1,3,1.0,1.0
2,14,0.3999999999999999,0.5625
3,11,0.33333333333333337,0.375
4,2,0.0,0.0
5,5,0.8666666666666666,0.7894736842105263
6,2,0.0,0.0
7,14,0.47619047619047616,0.5294117647058824
8,3,1.0,1.0
9,12,0.6805555555555555,0.5161290322580645
10,4,0.5833333333333334,0.6
11,3,0.0,0.0
12,3,0.0,0.0
13,2,0.0,0.0
14,2,0.0,0.0
15,12,0.6749999999999999,0.8076923076923077
16,3,1.0,1.0
17,2,0.0,0.0
18,22,0.5123376623376624,0.5714285714285714
19,2,0.0,0.0
20,3,1.0,1.0
21,2,0.0,0.0
22,12,0.7619047619047619,0.646551724137931
23,2,0.0,0.0
24,3,0.0,0.0
25,2,0.0,0.0
26,3,0.0,0.0
27,2,0.0,0.0
28,2,0.0,0.0
29,5,0.6,0.5454545454545454
30,3,1.0,1.0
31,3,1.0,1.0
32,4,0.5833333333333334,0.6
33,3,0.0,0.0
34,6,0.5277777777777778,0.5625
