cell,x,y,slice,radius
0,0,5221,0,0
1,1677,5103,1,144
2,1422,5093,1,132
3,1331,5025,1,132
4,1411,4990,1,126
5,2561,4900,1,133
6,1266,4879,1,128
7,2284,4875,1,127
8,2095,4873,1,132
9,1280,4817,1,136
10,1574,4818,1,145
11,2202,4690,1,126
12,2452,4661,1,149
13,1119,4645,1,129
14,1263,4574,1,131
15,1391,4551,1,148
16,1567,4508,1,138
17,1321,4501,1,148
18,1504,4445,1,138
19,2039,4448,1,139
20,2646,4422,1,133
21,1072,4412,1,126
22,1606,4381,1,133
23,1195,4318,1,149
24,1883,4286,1,131
25,1098,4283,1,142
26,1607,4256,1,126
27,1292,4138,1,137
28,1402,4099,1,138
29,2588,4069,1,137
30,2275,4038,1,148
31,1459,3943,1,137
32,1247,3931,1,136
33,2439,3922,1,134
34,2399,3896,1,135
35,2023,3839,1,134
36,1006,3781,1,139
37,1308,3759,1,142
38,824,3759,1,129
39,977,3732,1,128
40,1277,3695,1,145
41,2042,3541,1,142
42,1605,3493,1,143
43,2098,3455,1,133
44,2128,3299,1,147
45,1381,3268,1,134
46,2257,3233,1,148
47,1663,3191,1,130
48,1784,3177,1,147
49,845,3160,1,130
50,1904,3086,1,134
51,1049,3082,1,134
52,2183,3078,1,128
53,1253,2991,1,143
54,1962,2971,1,142
55,1789,2969,1,129
56,1024,2962,1,139
57,1504,2888,1,146
58,574,2762,1,126
59,2439,2764,1,126
60,2459,2761,1,134
61,2158,2717,1,147
62,492,2628,1,146
63,596,2591,1,126
64,834,2512,1,128
65,724,2428,1,140
66,984,2389,1,128
67,934,2388,1,126
68,1335,2378,1,128
69,1005,2367,1,131
70,2150,2357,1,150
71,1763,2346,1,138
72,983,2312,1,126
73,1933,2289,1,149
74,523,2285,1,145
75,1210,2265,1,142
76,781,2237,1,149
77,926,2222,1,139
78,1158,2212,1,127
79,758,2212,1,130
80,737,2195,1,133
81,652,2178,1,143
82,894,2171,1,128
83,547,2137,1,144
84,668,2134,1,150
85,896,2111,1,139
86,1027,2098,1,139
87,1057,2019,1,126
88,1489,1685,1,142
89,899,1622,1,136
90,901,1581,1,131
91,1480,1546,1,134
92,1804,1516,1,141
93,1737,1489,1,128
94,1888,1362,1,145
95,1148,1252,1,133
96,2032,1159,1,140
97,1627,978,1,145
98,1186,919,1,145
99,816,700,1,138
100,1229,655,1,125
101,1105,643,1,143
102,1109,586,1,129
103,811,540,1,144
104,1089,275,1,135
105,1134,228,1,133
106,2767,4597,3,135
107,2742,4563,3,139
108,2738,4274,3,150
109,2782,4210,3,147
110,2878,4081,3,139
111,3062,4041,3,149
112,3129,3796,3,142
113,3273,3632,3,147
114,2805,3394,3,137
115,3523,3383,3,143
116,3433,3372,3,144
117,3515,3167,3,129
118,3178,3109,3,147
119,3568,2989,3,140
120,3477,2962,3,134
121,3246,2856,3,125
122,3081,2818,3,133
123,3259,2660,3,139
124,3593,2540,3,129
125,2815,2318,3,148
126,2737,2197,3,126
127,2685,2123,3,129
128,2944,2070,3,129
129,3148,1868,3,142
130,2995,1831,3,131
131,3471,1569,3,149
132,3069,1556,3,139
133,2501,1495,3,144
134,3288,1450,3,146
135,3296,1311,3,147
136,2605,1183,3,141
137,2574,1167,3,144
138,2410,1000,3,131
139,2287,973,3,136
140,2962,942,3,144
141,3284,923,3,130
142,3087,846,3,127
143,2947,833,3,132
144,3265,650,3,134
145,2891,591,3,125
146,1771,546,3,128
147,2034,548,3,134
148,3181,520,3,134
149,2395,492,3,125
150,2144,469,3,147
151,1797,463,3,136
152,2777,391,3,149
153,1850,326,3,139
154,2603,304,3,133
155,2367,252,3,150
156,2007,224,3,150
157,1417,169,3,140
158,2476,162,3,136
159,1846,138,3,125
160,1604,84,3,127
161,2725,0,3,135
