comp,bumber of nodes,global clustering coefficient,transitivity
1,5,0.0,0.0
2,2,0.0,0.0
3,5,0.4666666666666666,0.5
4,3,1.0,1.0
5,2,0.0,0.0
6,3,0.0,0.0
7,2,0.0,0.0
8,19,0.5859649122807017,0.46551724137931033
9,2,0.0,0.0
10,4,0.5833333333333334,0.6
11,3,0.0,0.0
12,4,0.5833333333333333,0.6
13,2,0.0,0.0
14,5,0.8666666666666666,0.7894736842105263
15,18,0.4759259259259259,0.5393258426966292
16,4,0.8333333333333333,0.75
17,4,0.5833333333333333,0.6
18,2,0.0,0.0
19,3,0.0,0.0
20,6,0.5833333333333334,0.5294117647058824
21,8,0.2708333333333333,0.42857142857142855
22,2,0.0,0.0
23,2,0.0,0.0
24,10,0.5333333333333333,0.6
25,3,0.0,0.0
26,3,1.0,1.0
27,2,0.0,0.0
28,6,0.611111111111111,0.5
29,4,1.0,1.0
30,2,0.0,0.0
31,67,0.47043354655294956,0.5211864406779662
32,3,0.0,0.0
33,2,0.0,0.0
34,2,0.0,0.0
35,2,0.0,0.0
36,9,0.6259259259259259,0.6
37,2,0.0,0.0
38,3,0.0,0.0
39,2,0.0,0.0
40,2,0.0,0.0
41,2,0.0,0.0
42,3,0.0,0.0
43,3,0.0,0.0
44,3,0.0,0.0
45,9,0.574074074074074,0.6521739130434783
46,3,0.0,0.0
47,3,0.0,0.0
48,3,0.0,0.0
