comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,2,0.0,0.0
3,2,0.0,0.0
4,7,0.0,0.0
5,2,0.0,0.0
6,4,0.8333333333333333,0.75
7,2,0.0,0.0
8,2,0.0,0.0
9,4,0.0,0.0
10,2,0.0,0.0
11,3,0.0,0.0
12,3,0.0,0.0
13,5,0.4666666666666666,0.5
14,2,0.0,0.0
15,2,0.0,0.0
16,6,0.0,0.0
17,3,0.0,0.0
18,2,0.0,0.0
19,3,0.0,0.0
20,2,0.0,0.0
21,5,0.8666666666666666,0.7894736842105263
22,4,0.5833333333333334,0.6
23,3,0.0,0.0
24,8,0.6041666666666666,0.6
25,2,0.0,0.0
26,3,0.0,0.0
27,3,0.0,0.0
28,3,0.0,0.0
29,2,0.0,0.0
30,3,1.0,1.0
