comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,3,0.0,0.0
3,2,0.0,0.0
4,2,0.0,0.0
5,2,0.0,0.0
6,2,0.0,0.0
7,2,0.0,0.0
8,2,0.0,0.0
9,4,0.5833333333333334,0.6
10,3,1.0,1.0
11,2,0.0,0.0
12,5,0.4666666666666667,0.5
13,2,0.0,0.0
14,3,0.0,0.0
15,4,0.5833333333333334,0.6
16,6,0.36111111111111116,0.3333333333333333
17,6,0.5833333333333334,0.5294117647058824
18,3,0.0,0.0
19,3,1.0,1.0
20,2,0.0,0.0
21,2,0.0,0.0
22,2,0.0,0.0
23,4,0.0,0.0
24,5,0.0,0.0
25,2,0.0,0.0
26,2,0.0,0.0
27,3,1.0,1.0
28,3,0.0,0.0
