cell,x,y,slice,radius
0,0,5828,0,0
1,1952,5648,1,141
2,1999,5594,1,146
3,2288,5552,1,129
4,2028,5501,1,148
5,2518,5375,1,144
6,2790,5232,1,132
7,2830,5177,1,135
8,1605,5161,1,129
9,2922,5152,1,129
10,2664,5126,1,138
11,2417,5118,1,125
12,1588,5098,1,130
13,2552,5070,1,144
14,1426,5056,1,136
15,1520,5053,1,138
16,2986,5046,1,131
17,2851,4994,1,125
18,2949,4984,1,137
19,3130,4922,1,145
20,3148,4915,1,139
21,3193,4881,1,148
22,3024,4713,1,136
23,1652,4703,1,146
24,1627,4694,1,141
25,2451,4618,1,132
26,2328,4571,1,132
27,2677,4567,1,132
28,3315,4550,1,139
29,3041,4549,1,146
30,1640,4450,1,144
31,2587,4420,1,138
32,3386,4418,1,139
33,2099,4375,1,136
34,3224,4328,1,134
35,1570,4314,1,127
36,3491,4290,1,138
37,3327,4282,1,132
38,3022,4180,1,142
39,3308,4159,1,136
40,1773,4117,1,134
41,1650,4087,1,146
42,1553,4073,1,147
43,3202,4009,1,127
44,1604,4002,1,134
45,2146,3967,1,135
46,3202,3947,1,128
47,3171,3939,1,127
48,3120,3902,1,139
49,3553,3800,1,137
50,2080,3783,1,125
51,3134,3772,1,138
52,2043,3749,1,126
53,3599,3731,1,135
54,3272,3726,1,138
55,3099,3719,1,132
56,2781,3718,1,139
57,3297,3716,1,132
58,3404,3678,1,138
59,2210,3645,1,141
60,1741,3628,1,139
61,2155,3618,1,146
62,3416,3610,1,146
63,3594,3592,1,142
64,3467,3578,1,150
65,2969,3540,1,136
66,2190,3460,1,149
67,2988,3416,1,148
68,2032,3406,1,139
69,2826,3351,1,131
70,2700,3345,1,141
71,2824,3302,1,148
72,2124,3272,1,146
73,2217,3254,1,143
74,1746,3171,1,128
75,2465,3140,1,145
76,2683,3105,1,130
77,3609,3068,1,131
78,3474,2932,1,143
79,2587,2896,1,133
80,3549,2850,1,128
81,2198,2839,1,148
82,2039,2710,1,150
83,2570,2666,1,142
84,2365,2660,1,137
85,2600,2525,1,128
86,3681,2369,1,136
87,2687,2329,1,139
88,2670,2307,1,130
89,3151,2270,1,148
90,3209,2242,1,132
91,3250,2176,1,143
92,3283,2124,1,145
93,2518,2119,1,149
94,2755,2062,1,136
95,2987,2044,1,125
96,3004,1905,1,146
97,3329,1720,1,146
98,2705,1628,1,132
99,3460,1614,1,138
100,3429,1538,1,127
101,3393,1504,1,126
102,3348,1357,1,136
103,2840,1346,1,144
104,3186,1302,1,127
105,3002,1225,1,135
106,3186,1210,1,145
107,2932,1150,1,142
108,3398,1096,1,129
109,3034,997,1,130
110,3241,898,1,130
111,3316,824,1,128
112,3306,783,1,138
113,3024,717,1,128
114,1326,5137,3,135
115,971,4902,3,150
116,1224,4845,3,149
117,1165,4790,3,144
118,787,4762,3,132
119,1346,4767,3,141
120,1046,4746,3,136
121,966,4553,3,132
122,974,4526,3,138
123,1077,4474,3,132
124,539,4444,3,128
125,1002,4433,3,126
126,1009,4377,3,125
127,795,4275,3,148
128,883,4206,3,143
129,493,4202,3,149
130,801,4072,3,132
131,439,4068,3,128
132,701,4058,3,142
133,1220,4011,3,130
134,838,3999,3,147
135,766,3994,3,136
136,1428,3995,3,129
137,1110,3910,3,143
138,1193,3804,3,133
139,1253,3741,3,150
140,1073,3686,3,128
141,203,3676,3,143
142,528,3645,3,140
143,420,3627,3,137
144,592,3598,3,150
145,1089,3529,3,141
146,191,3514,3,129
147,1246,3485,3,149
148,1374,3428,3,142
149,1562,3420,3,125
150,1178,3341,3,138
151,1568,3301,3,145
152,937,3272,3,131
153,1287,3193,3,146
154,1547,3177,3,137
155,1464,3117,3,134
156,718,2912,3,129
157,681,2883,3,141
158,1359,2861,3,131
159,204,2834,3,136
160,247,2831,3,134
161,1594,2794,3,132
162,1645,2670,3,141
163,632,2646,3,138
164,181,2619,3,134
165,1126,2564,3,137
166,367,2365,3,149
167,1648,2285,3,134
168,794,2282,3,140
169,1197,2237,3,145
170,390,2224,3,143
171,451,2175,3,128
172,339,2133,3,135
173,1014,2098,3,128
174,879,2055,3,132
175,387,1909,3,146
176,1227,1804,3,145
177,885,1791,3,145
178,1128,1756,3,128
179,1402,1743,3,149
180,585,1677,3,149
181,861,1677,3,149
182,743,1660,3,129
183,316,1637,3,136
184,1422,1517,3,126
185,411,1480,3,145
186,1921,1464,3,149
187,2224,1437,3,125
188,2432,1432,3,146
189,1426,1430,3,150
190,1938,1432,3,146
191,840,1393,3,126
192,713,1351,3,129
193,489,1317,3,131
194,788,1182,3,137
195,1664,1174,3,125
196,2211,1152,3,128
197,2424,1074,3,142
198,1898,1028,3,140
199,763,929,3,140
200,1301,926,3,131
201,1104,864,3,143
202,2866,784,3,142
203,1137,762,3,141
204,2214,731,3,125
205,1952,724,3,138
206,2952,706,3,147
207,1075,704,3,136
208,1962,625,3,133
209,1761,604,3,129
210,1318,582,3,125
211,2394,559,3,143
212,2503,519,3,148
213,3115,490,3,127
214,2006,467,3,147
215,3106,446,3,145
216,1139,407,3,137
217,1721,378,3,134
218,1801,380,3,147
219,1591,345,3,144
220,2781,327,3,145
221,1402,323,3,129
222,1562,267,3,139
223,2509,176,3,145
224,1775,156,3,136
225,1906,117,3,140
226,1852,85,3,150
227,2214,0,3,128
