cell,x,y,slice,radius
0,0,4878,0,0
1,1177,4773,3,146
2,1510,4746,3,136
3,1154,4708,3,145
4,1167,4599,3,147
5,1365,4586,3,144
6,1024,4575,3,142
7,691,4496,3,144
8,856,4434,3,137
9,589,4425,3,133
10,814,4391,3,125
11,1002,4352,3,136
12,918,4331,3,150
13,846,4327,3,141
14,1368,4293,3,149
15,783,4271,3,136
16,1216,4249,3,139
17,1116,4178,3,144
18,659,4170,3,132
19,543,4153,3,147
20,1050,4151,3,144
21,922,4127,3,141
22,1404,4064,3,126
23,520,4060,3,137
24,308,3940,3,131
25,675,3941,3,134
26,471,3937,3,145
27,1051,3815,3,143
28,1364,3799,3,140
29,1432,3792,3,139
30,300,3781,3,137
31,1281,3755,3,148
32,1450,3756,3,132
33,261,3747,3,129
34,435,3744,3,150
35,1142,3739,3,142
36,296,3721,3,146
37,997,3653,3,149
38,1067,3638,3,127
39,94,3633,3,145
40,1428,3607,3,140
41,382,3596,3,145
42,787,3561,3,135
43,845,3554,3,135
44,1209,3527,3,126
45,1361,3527,3,143
46,564,3478,3,138
47,1399,3470,3,136
48,840,3461,3,140
49,376,3381,3,150
50,853,3378,3,125
51,98,3345,3,145
52,1442,3326,3,133
53,63,3320,3,127
54,667,3323,3,147
55,832,3304,3,134
56,1256,3258,3,148
57,575,3240,3,131
58,668,3159,3,126
59,1176,3148,3,125
60,1068,3144,3,135
61,326,3135,3,143
62,821,3113,3,145
63,245,3088,3,146
64,1188,3074,3,140
65,243,3036,3,129
66,1471,3032,3,139
67,708,3033,3,147
68,1349,3001,3,127
69,496,2976,3,129
70,1543,2971,3,126
71,1437,2941,3,150
72,1399,2919,3,130
73,1279,2895,3,132
74,1498,2865,3,126
75,638,2861,3,150
76,1404,2835,3,139
77,1224,2827,3,144
78,334,2814,3,132
79,1282,2721,3,126
80,141,2713,3,130
81,194,2710,3,139
82,1367,2668,3,139
83,1128,2641,3,134
84,1171,2621,3,138
85,987,2604,3,146
86,1054,2545,3,134
87,711,2517,3,131
88,264,2510,3,143
89,1300,2498,3,148
90,815,2441,3,145
91,1236,2420,3,144
92,735,2425,3,150
93,1548,2337,3,140
94,1124,2335,3,135
95,990,2333,3,133
96,1399,2307,3,140
97,1062,2291,3,140
98,536,2276,3,128
99,1383,2257,3,137
100,1032,2235,3,132
101,1424,2166,3,148
102,848,2157,3,148
103,1349,2062,3,131
104,1450,2037,3,130
105,471,2009,3,147
106,530,1981,3,143
107,1523,1964,3,132
108,1067,1947,3,143
109,910,1942,3,143
110,625,1886,3,147
111,555,1880,3,131
112,1836,1795,3,148
113,1069,1789,3,133
114,1516,1739,3,132
115,1744,1726,3,144
116,908,1720,3,135
117,1709,1547,3,130
118,1924,1538,3,148
119,1880,1528,3,141
120,1941,1510,3,136
121,1304,1472,3,131
122,2049,1428,3,145
123,2041,1393,3,137
124,1451,1373,3,128
125,1292,1310,3,135
126,1358,1309,3,144
127,1993,1266,3,139
128,2079,1259,3,125
129,1994,1228,3,125
130,1227,1203,3,129
131,1512,1205,3,134
132,1855,1162,3,131
133,2043,1144,3,133
134,1260,1057,3,140
135,1932,1022,3,130
136,1327,941,3,128
137,1965,906,3,131
138,1796,838,3,144
139,1848,762,3,133
140,1688,699,3,146
141,1567,678,3,134
142,1620,520,3,147
143,1491,497,3,135
