node,degree,centrality,clustering
0,0.0,0.0,0.0
1,2.0,0.0,1.0
2,2.0,0.0,1.0
3,4.0,1216.0,0.3333333333333333
4,1.0,0.0,0.0
5,3.0,670.7333333333333,0.6666666666666666
6,4.0,1216.6000000000001,0.5
7,2.0,610.0,0.0
8,3.0,8091.554878334093,0.3333333333333333
9,4.0,9915.259640238852,0.3333333333333333
10,3.0,1216.0,0.3333333333333333
11,1.0,0.0,0.0
12,5.0,11375.065746393588,0.4
13,4.0,5498.95269082175,0.3333333333333333
14,4.0,1225.4583650070304,0.6666666666666666
15,4.0,4368.296443193354,0.16666666666666666
16,2.0,0.0,1.0
17,5.0,52.65530171582815,0.8
18,2.0,0.0,1.0
19,5.0,1822.0,0.2
20,7.0,5192.512164070466,0.47619047619047616
21,3.0,3526.9995956607945,0.3333333333333333
22,6.0,5247.587252877693,0.6666666666666666
23,7.0,5192.512164070466,0.47619047619047616
24,5.0,145.98522167487656,0.7
25,7.0,5403.995477985918,0.5714285714285714
26,4.0,4837.797068712062,0.3333333333333333
27,2.0,610.0,0.0
28,3.0,610.0,0.3333333333333333
29,1.0,0.0,0.0
30,5.0,12153.34678861464,0.5
31,3.0,818.988940383949,0.6666666666666666
32,1.0,0.0,0.0
33,1.0,0.0,0.0
34,4.0,4165.466773824447,0.5
35,1.0,0.0,0.0
36,4.0,13852.188058455911,0.16666666666666666
37,5.0,2001.752371579715,0.5
38,5.0,3625.4640940918844,0.6
39,3.0,123.7763966496788,0.6666666666666666
40,1.0,0.0,0.0
41,4.0,191.75865961212554,0.5
42,5.0,14036.648535772822,0.4
43,4.0,14.610753183939346,0.8333333333333334
44,3.0,610.0,0.3333333333333333
45,5.0,177.4437211567243,0.6
46,6.0,3531.962244421221,0.4666666666666667
47,7.0,7036.483793215275,0.38095238095238093
48,7.0,7906.187131517104,0.38095238095238093
49,6.0,5238.9068598910635,0.6
50,3.0,4812.822821446398,0.3333333333333333
51,6.0,976.8234540210415,0.6
52,5.0,1647.611597464561,0.4
53,3.0,4265.712083818013,0.3333333333333333
54,5.0,15277.371286736618,0.4
55,5.0,1647.611597464561,0.4
56,7.0,4058.03138080384,0.42857142857142855
57,7.0,16561.077743885005,0.47619047619047616
58,2.0,0.0,1.0
59,4.0,15367.58335744681,0.5
60,3.0,291.09305862695953,0.6666666666666666
61,6.0,11250.041576161993,0.3333333333333333
62,4.0,19207.5596420615,0.5
63,3.0,1103.723194929153,0.3333333333333333
64,4.0,11722.793283695377,0.5
65,4.0,23085.79323436865,0.5
66,3.0,8489.96597116789,0.3333333333333333
67,3.0,1766.9775005696224,0.3333333333333333
68,5.0,8194.08588186458,0.5
69,3.0,599.5331610086217,0.3333333333333333
70,0.0,0.0,0.0
71,7.0,8018.527875929796,0.47619047619047616
72,4.0,1240.3012452748394,0.3333333333333333
73,5.0,497.83691045795877,0.5
74,3.0,59.4767710550319,0.6666666666666666
75,3.0,184.645352016406,0.6666666666666666
76,2.0,0.0,1.0
77,5.0,31.847619047619055,0.6
78,5.0,188.3263305322144,0.8
79,6.0,47.22857142857144,0.6666666666666666
80,9.0,4810.283667815927,0.4444444444444444
81,7.0,1090.9691876750742,0.47619047619047616
82,5.0,1656.555329814068,0.6
83,7.0,77.29126984126984,0.5238095238095238
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,4.0,0.0,1.0
87,2.0,0.0,1.0
88,5.0,31.06666666666666,0.8
89,6.0,940.9166666666665,0.3333333333333333
90,3.0,293.7190476190476,0.3333333333333333
91,5.0,605.5,0.5
92,0.0,0.0,0.0
93,3.0,2.083333333333333,0.6666666666666666
94,2.0,0.0,1.0
95,5.0,606.0,0.6
96,1.0,0.0,0.0
97,5.0,606.0,0.6
98,3.0,0.0,1.0
99,1.0,0.0,0.0
100,1.0,0.0,0.0
101,3.0,38.0,0.0
102,3.0,0.0,1.0
103,1.0,0.0,0.0
104,0.0,0.0,0.0
105,2.0,48.0,0.0
106,1.0,0.0,0.0
107,4.0,68.0,0.16666666666666666
108,3.0,2086.0,0.6666666666666666
109,2.0,0.0,1.0
110,3.0,6.0,0.6666666666666666
111,3.0,5346.0,0.3333333333333333
112,4.0,54.0,0.3333333333333333
113,3.0,3600.0,0.3333333333333333
114,3.0,2086.0,0.6666666666666666
115,2.0,3010.0,0.0
116,3.0,0.0,1.0
117,4.0,2416.0,0.5
118,2.0,36.0,0.0
119,4.0,304.0,0.6666666666666666
120,5.0,33.609523809523814,0.7
121,4.0,304.0,0.6666666666666666
122,5.0,439.6377289377295,0.6
123,2.0,0.0,1.0
124,4.0,35.238095238095205,0.6666666666666666
125,7.0,765.8892551892618,0.47619047619047616
126,5.0,92.08888888888896,0.7
127,6.0,18668.466666666667,0.4666666666666667
