cell,x,y,slice,radius
0,0,5080,0,0
1,2210,4985,1,147
2,2385,4835,1,135
3,2309,4820,1,140
4,2583,4773,1,137
5,2454,4748,1,132
6,2091,4699,1,129
7,2082,4635,1,141
8,2381,4591,1,125
9,2311,4560,1,150
10,1885,4557,1,133
11,2066,4552,1,131
12,2974,4533,1,150
13,2535,4525,1,135
14,1909,4475,1,134
15,2665,4452,1,127
16,2289,4413,1,144
17,2270,4409,1,146
18,1932,4309,1,147
19,2584,4302,1,137
20,2896,4248,1,125
21,2594,4239,1,141
22,2736,4232,1,126
23,3036,4225,1,150
24,2162,4218,1,145
25,3143,4175,1,150
26,2333,4151,1,137
27,1933,4115,1,127
28,2457,4103,1,137
29,1980,4100,1,142
30,1757,4076,1,150
31,2112,4071,1,147
32,2445,4042,1,139
33,2699,4037,1,130
34,2497,4029,1,145
35,2744,4028,1,150
36,2265,3990,1,128
37,2286,3973,1,132
38,3234,3945,1,138
39,2026,3918,1,125
40,2244,3901,1,142
41,2650,3894,1,149
42,1846,3844,1,139
43,1911,3844,1,127
44,2556,3824,1,132
45,2055,3812,1,134
46,1718,3796,1,132
47,3176,3753,1,128
48,2539,3744,1,145
49,2157,3742,1,125
50,1769,3734,1,148
51,2792,3720,1,140
52,1894,3703,1,134
53,2492,3690,1,126
54,2201,3667,1,145
55,1942,3661,1,129
56,2794,3627,1,146
57,1717,3589,1,128
58,2174,3583,1,145
59,2938,3535,1,141
60,2630,3524,1,135
61,1967,3513,1,147
62,2620,3496,1,135
63,2887,3488,1,140
64,1997,3394,1,139
65,3025,3379,1,134
66,2239,3377,1,130
67,2077,3306,1,147
68,2648,3300,1,143
69,2311,3276,1,138
70,2178,3274,1,142
71,1884,3269,1,147
72,2872,3245,1,135
73,1729,3233,1,144
74,1966,3151,1,125
75,2277,3139,1,131
76,2107,3125,1,143
77,2329,3118,1,143
78,2736,3116,1,149
79,3139,3088,1,139
80,1953,3052,1,136
81,2650,3039,1,129
82,2025,3033,1,143
83,2350,2992,1,130
84,2823,2977,1,141
85,1989,2975,1,139
86,2737,2966,1,136
87,2245,2938,1,135
88,2948,2930,1,139
89,1731,2887,1,136
90,2240,2887,1,131
91,2939,2877,1,129
92,2227,2854,1,144
93,2141,2855,1,150
94,3115,2843,1,128
95,2908,2839,1,135
96,2556,2714,1,139
97,2854,2656,1,137
98,2230,2642,1,133
99,3035,2639,1,143
100,1815,2615,1,143
101,1860,2607,1,136
102,2493,2601,1,141
103,3377,2594,1,140
104,2968,2585,1,138
105,2148,2583,1,146
106,2208,2574,1,137
107,2050,2564,1,127
108,2891,2472,1,128
109,1726,2467,1,143
110,2380,2465,1,148
111,2071,2456,1,148
112,3120,2426,1,131
113,2398,2411,1,135
114,2115,2409,1,145
115,2292,2396,1,135
116,2082,2388,1,135
117,2731,2354,1,128
118,2945,2326,1,141
119,3208,2262,1,138
120,1981,2137,1,135
121,2606,2135,1,136
122,2199,2112,1,147
123,3118,2110,1,143
124,2720,2042,1,132
125,2042,2018,1,146
126,2586,1984,1,137
127,2610,1895,1,139
128,2375,1825,1,131
129,2858,1785,1,133
130,2084,1737,1,128
131,2548,1735,1,133
132,3277,1705,1,143
133,2571,1683,1,137
134,2249,1674,1,133
135,2970,1674,1,137
136,2720,1643,1,145
137,2139,1618,1,133
138,2576,1582,1,131
139,2090,1495,1,147
140,2481,1470,1,142
141,2409,1402,1,143
142,2256,1358,1,127
143,2623,1333,1,140
144,2568,1317,1,131
145,2444,1308,1,144
146,2325,1249,1,137
147,2805,1237,1,127
148,2757,1227,1,140
149,2635,1188,1,132
150,2712,1152,1,135
151,2408,1150,1,145
152,2643,1106,1,133
153,2514,1096,1,143
154,3308,1360,2,129
155,3391,1354,2,140
156,3128,1318,2,143
157,3288,1256,2,143
158,2869,1186,2,136
159,3210,1179,2,134
160,2956,1157,2,130
161,3170,1016,2,148
162,2554,1013,2,141
163,3352,1006,2,138
164,2529,996,2,147
165,3079,987,2,129
166,3045,887,2,126
167,3255,858,2,128
168,3299,851,2,137
169,2489,767,2,143
170,2425,731,2,137
171,2151,650,2,129
172,3081,634,2,128
173,2022,633,2,131
174,2369,626,2,135
175,2308,616,2,126
176,2181,564,2,132
177,2447,532,2,136
178,2039,520,2,134
179,1826,511,2,140
180,2316,481,2,148
181,1556,426,2,134
182,1649,420,2,148
183,1750,394,2,140
184,2801,387,2,129
185,2606,372,2,144
186,2598,356,2,128
187,2038,331,2,147
188,2382,317,2,142
189,2578,316,2,145
190,2533,298,2,145
191,1834,298,2,127
192,2624,249,2,148
193,2260,246,2,130
194,2657,242,2,125
195,1738,219,2,140
196,2717,203,2,128
197,2480,81,2,125
198,1958,48,2,126
199,1829,0,2,135
200,1750,5014,3,139
201,1790,4953,3,149
202,1305,4818,3,136
203,1791,4799,3,148
204,1298,4757,3,139
205,1734,4741,3,139
206,1361,4731,3,145
207,1001,4723,3,132
208,1750,4718,3,139
209,1218,4717,3,134
210,1745,4671,3,142
211,1286,4638,3,131
212,1188,4632,3,133
213,1811,4631,3,149
214,1131,4630,3,150
215,1755,4615,3,140
216,1719,4607,3,129
217,1562,4602,3,145
218,1392,4509,3,128
219,1440,4505,3,135
220,708,4482,3,131
221,979,4476,3,144
222,811,4462,3,140
223,1324,4453,3,148
224,1677,4419,3,138
225,1409,4413,3,135
226,1720,4396,3,128
227,1705,4335,3,142
228,1275,4327,3,147
