cell,x,y,slice,radius
0,0,5594,0,0
1,2021,5317,3,147
2,2295,5105,3,128
3,2465,5044,3,137
4,2079,5024,3,141
5,2284,5006,3,149
6,2173,4993,3,140
7,2472,4943,3,134
8,2648,4941,3,131
9,2634,4894,3,135
10,2774,4860,3,149
11,2494,4852,3,144
12,2161,4807,3,141
13,2345,4787,3,148
14,2375,4760,3,132
15,2770,4760,3,128
16,2706,4749,3,131
17,2720,4730,3,132
18,2210,4708,3,131
19,2319,4661,3,126
20,2087,4626,3,143
21,2824,4597,3,139
22,2626,4571,3,139
23,2347,4499,3,125
24,2855,4488,3,150
25,2393,4440,3,142
26,3022,4414,3,132
27,2134,4412,3,131
28,2322,4315,3,145
29,2271,4306,3,143
30,2665,4297,3,139
31,2853,4262,3,144
32,2426,4251,3,147
33,2295,4199,3,147
34,2338,4177,3,145
35,3297,4161,3,133
36,2530,4099,3,135
37,2957,4032,3,150
38,2884,3990,3,150
39,2573,3959,3,128
40,3184,3947,3,149
41,2856,3943,3,146
42,2763,3906,3,141
43,2302,3904,3,148
44,2977,3867,3,133
45,3283,3854,3,137
46,3387,3815,3,135
47,2449,3762,3,129
48,2506,3742,3,135
49,2797,3740,3,140
50,3342,3650,3,142
51,2790,3651,3,142
52,2397,3626,3,133
53,2697,3621,3,141
54,2552,3583,3,133
55,3542,3564,3,129
56,3262,3545,3,134
57,2562,3539,3,126
58,3457,3506,3,147
59,2989,3484,3,135
60,2979,3433,3,138
61,3184,3379,3,145
62,3377,3374,3,129
63,2617,3272,3,126
64,3484,3245,3,141
65,3545,3195,3,140
66,3370,3131,3,144
67,3047,3125,3,143
68,2748,3075,3,131
69,2856,3068,3,143
70,3405,3066,3,125
71,2693,3043,3,127
72,3568,3025,3,144
73,2890,2992,3,150
74,3022,2974,3,129
75,3514,2906,3,128
76,2564,2868,3,145
77,3749,2822,3,144
78,2224,2804,3,145
79,2828,2782,3,146
80,3376,2776,3,143
81,2666,2756,3,147
82,3542,2736,3,142
83,2820,2735,3,126
84,2860,2709,3,138
85,3233,2660,3,132
86,3361,2587,3,130
87,2536,2579,3,148
88,3166,2550,3,140
89,3449,2548,3,128
90,3720,2530,3,128
91,2506,2516,3,131
92,2197,2516,3,138
93,2615,2506,3,143
94,3034,2492,3,150
95,3523,2492,3,128
96,2314,2459,3,135
97,3423,2450,3,127
98,3610,2441,3,127
99,2270,2395,3,133
100,2480,2395,3,149
101,3194,2375,3,146
102,3160,2364,3,136
103,3719,2312,3,133
104,3256,2301,3,139
105,2139,2249,3,135
106,2832,2158,3,125
107,2447,2123,3,145
108,2596,2094,3,129
109,2952,2085,3,132
110,3059,2045,3,133
111,3378,2028,3,145
112,2194,2000,3,141
113,3535,1988,3,147
114,2615,1985,3,137
115,3413,1982,3,150
116,3198,1982,3,125
117,2118,1948,3,128
118,2930,1939,3,143
119,3072,1934,3,148
120,3472,1853,3,130
121,3354,1844,3,126
122,3524,1829,3,128
123,2761,1754,3,126
124,3287,1730,3,142
125,2899,1719,3,130
126,2251,1685,3,130
127,2282,1683,3,131
128,2352,1675,3,143
129,2704,1643,3,143
130,3385,1580,3,131
131,2846,1556,3,140
132,2697,1550,3,131
133,3229,1467,3,141
134,2923,1457,3,149
135,3312,1435,3,127
136,3038,1432,3,139
137,2250,1424,3,129
138,2154,1395,3,128
139,2339,1386,3,146
140,2106,1383,3,144
141,3336,1309,3,125
142,2871,1309,3,133
143,2793,1306,3,132
144,2663,1291,3,146
145,3381,1267,3,127
146,1979,1252,3,132
147,3474,1244,3,125
148,3225,1224,3,134
149,2334,1214,3,136
150,2046,1212,3,145
151,2893,1192,3,138
152,3083,1191,3,125
153,2804,1169,3,145
154,2155,1167,3,137
155,2932,1134,3,130
156,2134,1119,3,136
157,2301,1091,3,145
158,1919,1087,3,139
159,3254,1057,3,137
160,1818,1032,3,134
161,3183,1011,3,128
162,1918,1007,3,138
163,3094,1000,3,131
164,2346,998,3,145
165,3105,960,3,147
166,3070,938,3,139
167,2627,901,3,141
168,3037,889,3,135
169,2722,856,3,137
170,3393,825,3,145
171,1911,809,3,147
172,3099,806,3,127
173,2911,782,3,145
174,2969,733,3,135
175,2419,732,3,126
176,2830,678,3,136
177,3052,673,3,138
178,2583,668,3,147
179,1731,631,3,142
180,1771,618,3,143
181,3224,607,3,130
182,2292,568,3,127
183,2913,554,3,144
184,2716,529,3,148
185,1562,512,3,148
186,2117,509,3,148
187,2585,505,3,132
188,1812,487,3,144
189,1709,477,3,134
190,1921,428,3,145
191,2744,425,3,136
192,1458,392,3,129
193,2693,384,3,127
194,1779,381,3,141
195,2392,362,3,136
196,2092,341,3,137
197,2288,290,3,130
198,2429,270,3,134
199,2925,269,3,147
200,2290,259,3,146
201,2036,218,3,147
202,2172,210,3,144
203,2306,177,3,134
204,2091,106,3,135
205,2426,37,3,143
206,2441,38,3,128
207,2364,28,3,134
208,2196,12,3,141
209,2058,6,3,125
210,2084,0,3,146
