cell,x,y,slice,radius
0,0,5594,0,0
1,989,5472,1,130
2,1025,5453,1,134
3,1479,5446,1,125
4,1627,5439,1,138
5,650,5435,1,147
6,759,5393,1,130
7,1334,5380,1,134
8,991,5379,1,137
9,784,5352,1,131
10,858,5340,1,128
11,669,5335,1,136
12,999,5330,1,128
13,1035,5319,1,141
14,1796,5296,1,148
15,760,5282,1,126
16,1843,5274,1,146
17,854,5264,1,138
18,506,5261,1,127
19,1430,5220,1,150
20,419,5217,1,138
21,754,5207,1,146
22,1862,5199,1,150
23,675,5191,1,129
24,1388,5167,1,131
25,1156,5161,1,148
26,1026,5158,1,130
27,1373,5147,1,137
28,1757,5148,1,149
29,690,5140,1,139
30,1150,5140,1,126
31,1805,5117,1,136
32,908,5100,1,127
33,874,5073,1,139
34,1037,5067,1,145
35,626,5066,1,142
36,1322,5057,1,134
37,1211,5016,1,147
38,992,5010,1,137
39,935,5004,1,143
40,1822,4996,1,138
41,1587,4983,1,126
42,1324,4965,1,146
43,353,4954,1,130
44,577,4946,1,128
45,1735,4937,1,132
46,1698,4925,1,131
47,1897,4922,1,137
48,962,4905,1,125
49,1962,4878,1,134
50,996,4874,1,127
51,539,4867,1,139
52,730,4854,1,149
53,378,4845,1,127
54,567,4842,1,137
55,1426,4835,1,141
56,1580,4823,1,145
57,1748,4809,1,127
58,485,4809,1,143
59,1186,4801,1,128
60,757,4795,1,131
61,1407,4794,1,136
62,261,4792,1,127
63,1192,4769,1,144
64,928,4757,1,131
65,668,4752,1,133
66,1963,4728,1,129
67,951,4699,1,148
68,1440,4675,1,146
69,1455,4678,1,146
70,1807,4674,1,146
71,388,4671,1,126
72,1116,4656,1,130
73,1155,4622,1,137
74,631,4604,1,147
75,1547,4555,1,138
76,1412,4554,1,128
77,1737,4531,1,128
78,1088,4506,1,131
79,579,4471,1,130
80,1043,4466,1,148
81,1725,4460,1,144
82,456,4454,1,142
83,1866,4453,1,131
84,430,4388,1,131
85,1081,4296,1,129
86,85,4288,1,136
87,986,4277,1,128
88,806,4255,1,131
89,1490,4249,1,125
90,2004,4229,1,133
91,131,4225,1,150
92,1748,4219,1,142
93,290,4209,1,126
94,222,4201,1,130
95,1722,4189,1,146
96,484,4176,1,137
97,247,4148,1,142
98,1334,4115,1,136
99,909,4074,1,144
100,589,4065,1,150
101,1446,4045,1,135
102,2120,4036,1,132
103,1190,4030,1,150
104,967,4015,1,140
105,1078,4001,1,146
106,335,3922,1,149
107,510,3918,1,147
108,533,3901,1,143
109,1793,3882,1,130
110,1293,3874,1,140
111,492,3846,1,136
112,1053,3813,1,131
113,1237,3794,1,146
114,1192,3795,1,147
115,821,3773,1,145
116,343,3747,1,125
117,280,3739,1,141
118,1413,3737,1,142
119,529,3716,1,132
120,1976,3671,1,144
121,1905,3660,1,134
122,297,3656,1,137
123,488,3651,1,143
124,1157,3606,1,131
125,612,3589,1,141
126,767,3585,1,146
127,2107,3586,1,140
128,1062,3573,1,139
129,1193,3549,1,146
130,1613,3518,1,130
131,764,3499,1,143
132,2168,3451,1,128
133,2002,3440,1,136
134,1988,3427,1,142
135,292,3399,1,137
136,833,3359,1,143
137,1112,3342,1,146
138,1163,3339,1,149
139,350,3320,1,131
140,1436,3317,1,127
141,1671,3231,1,148
142,1148,3160,1,142
143,2038,3099,1,143
144,918,3047,1,149
145,226,3022,1,137
146,401,3010,1,138
147,1786,2986,1,134
148,1665,2937,1,142
149,518,2924,1,142
150,536,2877,1,133
151,885,2850,1,130
152,2009,2812,1,136
153,831,2800,1,133
154,889,2762,1,143
155,196,2730,1,132
156,372,2720,1,139
157,824,2718,1,142
158,1756,2697,1,136
159,501,2671,1,146
160,1636,2649,1,132
161,489,2636,1,142
162,1555,2617,1,135
163,507,2593,1,139
164,855,2562,1,144
165,802,2514,1,142
166,1132,2499,1,146
167,1254,2444,1,141
168,1980,2437,1,125
169,1380,2433,1,127
170,692,2380,1,138
171,216,2377,1,146
172,637,2375,1,135
173,686,2370,1,126
174,521,2285,1,149
175,1414,2253,1,126
176,1537,2203,1,130
177,767,2187,1,134
178,662,2186,1,135
179,1152,2167,1,144
