comp,bumber of nodes,global clustering coefficient,transitivity
1,12,0.47222222222222215,0.5454545454545454
2,2,0.0,0.0
3,3,1.0,1.0
4,3,0.0,0.0
5,2,0.0,0.0
6,8,0.75,0.5294117647058824
7,2,0.0,0.0
8,6,0.5833333333333334,0.75
9,7,0.6714285714285715,0.6857142857142857
10,7,0.4523809523809524,0.5294117647058824
11,4,0.5833333333333333,0.6
12,3,1.0,1.0
13,11,0.5454545454545454,0.5675675675675675
14,2,0.0,0.0
15,2,0.0,0.0
16,6,0.6111111111111112,0.5
17,2,0.0,0.0
18,2,0.0,0.0
19,2,0.0,0.0
20,5,0.3333333333333333,0.42857142857142855
21,3,0.0,0.0
22,3,1.0,1.0
23,4,1.0,1.0
