node,degree,centrality,clustering
0,0.0,0.0,0.0
1,2.0,0.0,1.0
2,3.0,28.0,0.3333333333333333
3,2.0,16.0,0.0
4,1.0,0.0,0.0
5,4.0,48.0,0.16666666666666666
6,1.0,0.0,0.0
7,1.0,0.0,0.0
8,3.0,40.0,0.0
9,2.0,16.0,0.0
10,1.0,0.0,0.0
11,1.0,0.0,0.0
12,2.0,2.0,0.0
13,1.0,0.0,0.0
14,0.0,0.0,0.0
15,2.0,0.0,1.0
16,3.0,27.0,0.3333333333333333
17,5.0,12.0,0.7
18,5.0,12.0,0.7
19,7.0,14.333333333333332,0.5238095238095238
20,1.0,0.0,0.0
21,2.0,25.0,0.0
22,3.0,16.0,0.3333333333333333
23,3.0,3.6666666666666665,0.6666666666666666
24,7.0,14.333333333333332,0.5238095238095238
25,3.0,0.0,1.0
26,2.0,26.999999999999996,0.0
27,5.0,2.6666666666666665,0.8
28,4.0,25.333333333333332,0.5
29,3.0,5.666666666666666,0.6666666666666666
30,4.0,0.6666666666666666,0.8333333333333334
31,3.0,29.666666666666668,0.3333333333333333
32,3.0,17.0,0.6666666666666666
33,3.0,43.0,0.3333333333333333
34,3.0,96.0,0.3333333333333333
35,3.0,240.0,0.3333333333333333
36,2.0,0.0,1.0
37,2.0,0.0,1.0
38,1.0,0.0,0.0
39,2.0,0.0,1.0
40,3.0,17.0,0.6666666666666666
41,3.0,37.66666666666667,0.3333333333333333
42,4.0,322.0,0.16666666666666666
43,2.0,45.0,0.0
44,0.0,0.0,0.0
45,2.0,210.0,0.0
46,3.0,67.0,0.0
47,3.0,320.0,0.3333333333333333
48,2.0,176.0,0.0
49,2.0,0.0,1.0
50,3.0,12.0,0.6666666666666666
51,2.0,24.0,0.0
52,4.0,5.0,0.6666666666666666
53,1.0,0.0,0.0
54,1.0,0.0,0.0
55,4.0,336.0,0.3333333333333333
56,1.0,0.0,0.0
57,4.0,138.0,0.5
58,3.0,0.0,1.0
59,3.0,0.0,1.0
60,3.0,0.0,1.0
61,3.0,0.0,1.0
62,6.0,205.66666666666666,0.4666666666666667
63,5.0,161.0,0.5
64,4.0,0.6666666666666666,0.8333333333333334
65,4.0,210.0,0.3333333333333333
66,3.0,288.0,0.3333333333333333
67,5.0,66.66666666666667,0.6
68,4.0,0.6666666666666666,0.8333333333333334
69,5.0,66.66666666666667,0.6
70,4.0,0.6666666666666666,0.8333333333333334
71,1.0,0.0,0.0
72,3.0,0.0,1.0
73,2.0,0.0,1.0
74,3.0,266.0,0.3333333333333333
75,0.0,0.0,0.0
76,2.0,0.0,1.0
77,3.0,0.0,1.0
78,2.0,0.0,1.0
79,2.0,0.0,1.0
80,1.0,0.0,0.0
81,2.0,0.0,1.0
82,2.0,18.0,0.0
83,0.0,0.0,0.0
84,1.0,0.0,0.0
85,3.0,46.0,0.0
86,3.0,0.0,1.0
87,1.0,0.0,0.0
88,2.0,0.0,1.0
89,2.0,0.0,1.0
90,3.0,0.0,1.0
91,3.0,4.0,0.3333333333333333
92,3.0,64.0,0.0
93,1.0,0.0,0.0
94,3.0,0.0,1.0
95,4.0,42.0,0.5
96,2.0,18.0,0.0
97,0.0,0.0,0.0
98,1.0,0.0,0.0
99,1.0,0.0,0.0
100,0.0,0.0,0.0
101,1.0,0.0,0.0
102,4.0,10.0,0.5
103,4.0,3.0,0.6666666666666666
104,0.0,0.0,0.0
105,2.0,0.0,1.0
106,5.0,8.0,0.5
107,4.0,3.0,0.6666666666666666
108,4.0,0.6666666666666666,0.8333333333333334
109,3.0,0.0,1.0
110,5.0,2.333333333333333,0.7
111,2.0,0.0,1.0
112,4.0,0.6666666666666666,0.8333333333333334
113,5.0,2.333333333333333,0.7
114,4.0,0.0,1.0
115,3.0,0.0,1.0
116,4.0,0.0,1.0
117,4.0,0.0,1.0
118,4.0,0.0,1.0
119,2.0,0.0,1.0
120,5.0,24.0,0.6
121,4.0,11.5,0.6666666666666666
122,4.0,0.6666666666666666,0.8333333333333334
123,6.0,38.83333333333333,0.4666666666666667
124,5.0,89.3333333333333,0.6
125,2.0,20.0,0.0
126,2.0,12.0,0.0
127,2.0,0.0,1.0
128,3.0,0.0,1.0
129,2.0,0.0,1.0
130,3.0,8.0,0.3333333333333333
131,1.0,0.0,0.0
132,2.0,6.0,0.0
133,5.0,42.83333333333334,0.6
134,5.0,252.66666666666666,0.3
135,3.0,22.166666666666657,0.6666666666666666
136,1.0,0.0,0.0
137,4.0,21.33333333333333,0.6666666666666666
138,5.0,252.6666666666666,0.5
139,5.0,49.66666666666669,0.5
140,3.0,0.0,1.0
141,3.0,28.00000000000001,0.6666666666666666
142,4.0,266.3333333333334,0.5
143,4.0,308.0,0.3333333333333333
144,4.0,135.0,0.6666666666666666
