node,degree,centrality,clustering
0,0.0,0.0,0.0
1,1.0,0.0,0.0
2,2.0,6.0,0.0
3,3.0,8.0,0.3333333333333333
4,0.0,0.0,0.0
5,2.0,0.0,1.0
6,2.0,0.0,1.0
7,0.0,0.0,0.0
8,1.0,0.0,0.0
9,1.0,0.0,0.0
10,1.0,0.0,0.0
11,0.0,0.0,0.0
12,3.0,16.0,0.3333333333333333
13,1.0,0.0,0.0
14,2.0,10.0,0.0
15,1.0,0.0,0.0
16,1.0,0.0,0.0
17,3.0,0.0,1.0
18,1.0,0.0,0.0
19,2.0,6.0,0.0
20,3.0,6.0,0.6666666666666666
21,1.0,0.0,0.0
22,3.0,0.0,1.0
23,3.0,6.0,0.6666666666666666
24,4.0,32.0,0.5
25,4.0,104.0,0.5
26,2.0,8.0,0.0
27,1.0,0.0,0.0
28,3.0,10.0,0.3333333333333333
29,1.0,0.0,0.0
30,2.0,120.0,0.0
31,2.0,6.0,0.0
32,0.0,0.0,0.0
33,1.0,0.0,0.0
34,1.0,0.0,0.0
35,0.0,0.0,0.0
36,2.0,132.0,0.0
37,2.0,0.0,1.0
38,2.0,0.0,1.0
39,2.0,140.0,0.0
40,1.0,0.0,0.0
41,2.0,144.0,0.0
42,2.0,144.0,0.0
43,4.0,8.0,0.3333333333333333
44,1.0,0.0,0.0
45,3.0,132.0,0.3333333333333333
46,2.0,0.0,1.0
47,2.0,0.0,1.0
48,2.0,140.0,0.0
49,3.0,12.0,0.6666666666666666
50,1.0,0.0,0.0
51,4.0,96.0,0.3333333333333333
52,3.0,8.0,0.3333333333333333
53,2.0,6.0,0.0
54,1.0,0.0,0.0
55,2.0,0.0,1.0
56,2.0,0.0,1.0
57,2.0,60.0,0.0
58,2.0,0.0,1.0
59,2.0,32.0,0.0
60,0.0,0.0,0.0
61,1.0,0.0,0.0
62,1.0,0.0,0.0
63,1.0,0.0,0.0
64,2.0,18.0,0.0
65,2.0,32.0,0.0
66,1.0,0.0,0.0
67,0.0,0.0,0.0
68,2.0,42.0,0.0
69,1.0,0.0,0.0
70,0.0,0.0,0.0
71,1.0,0.0,0.0
72,1.0,0.0,0.0
73,2.0,0.0,1.0
74,2.0,2.0,0.0
75,1.0,0.0,0.0
76,1.0,0.0,0.0
77,3.0,22.0,0.3333333333333333
78,3.0,22.0,0.3333333333333333
79,3.0,54.0,0.3333333333333333
80,4.0,70.0,0.3333333333333333
81,3.0,64.0,0.3333333333333333
82,2.0,0.0,1.0
83,4.0,26.0,0.5
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,3.0,2.0,0.6666666666666666
87,0.0,0.0,0.0
88,4.0,30.0,0.3333333333333333
89,1.0,0.0,0.0
90,0.0,0.0,0.0
91,2.0,32.0,0.0
92,0.0,0.0,0.0
93,1.0,0.0,0.0
94,1.0,0.0,0.0
95,2.0,30.0,0.0
96,0.0,0.0,0.0
97,3.0,26.0,0.0
98,1.0,0.0,0.0
99,0.0,0.0,0.0
100,1.0,0.0,0.0
101,0.0,0.0,0.0
102,1.0,0.0,0.0
103,1.0,0.0,0.0
104,0.0,0.0,0.0
105,1.0,0.0,0.0
106,0.0,0.0,0.0
107,1.0,0.0,0.0
108,1.0,0.0,0.0
109,0.0,0.0,0.0
110,1.0,0.0,0.0
111,1.0,0.0,0.0
112,1.0,0.0,0.0
113,0.0,0.0,0.0
114,2.0,2.0,0.0
115,1.0,0.0,0.0
116,1.0,0.0,0.0
117,2.0,8.0,0.0
118,0.0,0.0,0.0
119,3.0,16.0,0.0
120,2.0,18.0,0.0
121,2.0,8.0,0.0
122,2.0,23.999999999999996,0.0
123,1.0,0.0,0.0
124,1.0,0.0,0.0
125,3.0,48.66666666666668,0.0
126,3.0,81.99999999999999,0.0
127,3.0,61.99999999999999,0.0
128,2.0,44.0,0.0
129,1.0,0.0,0.0
130,1.0,0.0,0.0
131,0.0,0.0,0.0
132,1.0,0.0,0.0
133,1.0,0.0,0.0
134,2.0,24.0,0.0
135,0.0,0.0,0.0
136,2.0,2.0,0.0
137,1.0,0.0,0.0
138,1.0,0.0,0.0
139,2.0,0.0,1.0
140,4.0,40.0,0.3333333333333333
141,1.0,0.0,0.0
142,2.0,0.0,1.0
143,4.0,64.0,0.3333333333333333
144,2.0,0.0,1.0
145,4.0,6.0,0.5
146,4.0,72.0,0.3333333333333333
147,2.0,0.0,1.0
148,2.0,0.0,1.0
149,3.0,0.0,1.0
150,3.0,0.0,1.0
151,3.0,0.0,1.0
152,4.0,11.0,0.3333333333333333
153,3.0,64.0,0.3333333333333333
154,2.0,0.0,1.0
155,4.0,4.0,0.6666666666666666
156,2.0,54.0,0.0
157,4.0,0.6666666666666666,0.8333333333333334
158,5.0,9.0,0.5
159,4.0,3.333333333333333,0.6666666666666666
160,3.0,0.0,1.0
161,2.0,40.0,0.0
162,3.0,0.0,1.0
163,1.0,0.0,0.0
164,5.0,8.0,0.6
165,0.0,0.0,0.0
166,1.0,0.0,0.0
167,5.0,6.666666666666666,0.5
168,3.0,0.0,1.0
169,2.0,22.0,0.0
170,4.0,14.0,0.16666666666666666
171,1.0,0.0,0.0
172,1.0,0.0,0.0
173,2.0,1.3333333333333333,0.0
174,0.0,0.0,0.0
175,2.0,2.0,0.0
176,1.0,0.0,0.0
177,1.0,0.0,0.0
178,1.0,0.0,0.0
179,2.0,22.0,0.0
180,1.0,0.0,0.0
181,3.0,5.833333333333332,0.6666666666666666
182,3.0,1.6666666666666665,0.6666666666666666
183,1.0,0.0,0.0
184,5.0,60.333333333333336,0.2
185,5.0,26.333333333333332,0.4
186,4.0,8.5,0.5
187,4.0,10.666666666666666,0.6666666666666666
188,5.0,35.333333333333336,0.4
189,4.0,25.333333333333332,0.3333333333333333
190,3.0,0.0,1.0
191,3.0,0.0,1.0
192,2.0,0.0,1.0
193,3.0,0.0,1.0
194,3.0,0.0,1.0
195,4.0,12.0,0.5
196,3.0,0.0,1.0
197,1.0,0.0,0.0
198,1.0,0.0,0.0
199,2.0,8.0,0.0
200,0.0,0.0,0.0
201,1.0,0.0,0.0
202,2.0,0.0,1.0
203,3.0,6.0,0.3333333333333333
204,3.0,6.0,0.3333333333333333
205,0.0,0.0,0.0
206,1.0,0.0,0.0
207,2.0,2.0,0.0
208,1.0,0.0,0.0
209,0.0,0.0,0.0
210,1.0,0.0,0.0
211,0.0,0.0,0.0
212,1.0,0.0,0.0
213,2.0,0.0,1.0
214,2.0,0.0,1.0
