node,degree,centrality,clustering
0,0.0,0.0,0.0
1,1.0,0.0,0.0
2,2.0,2.0,0.0
3,1.0,0.0,0.0
4,1.0,0.0,0.0
5,1.0,0.0,0.0
6,0.0,0.0,0.0
7,3.0,1.0,0.6666666666666666
8,3.0,1.6666666666666665,0.6666666666666666
9,2.0,0.0,1.0
10,3.0,1.0,0.6666666666666666
11,1.0,0.0,0.0
12,3.0,15.333333333333334,0.3333333333333333
13,2.0,0.0,1.0
14,4.0,4.0,0.5
15,1.0,0.0,0.0
16,2.0,0.0,1.0
17,5.0,135.33333333333331,0.2
18,3.0,19.0,0.3333333333333333
19,2.0,96.0,0.0
20,2.0,0.0,1.0
21,2.0,78.0,0.0
22,5.0,110.0,0.4
23,3.0,96.66666666666666,0.3333333333333333
24,3.0,56.0,0.3333333333333333
25,2.0,0.0,1.0
26,5.0,16.0,0.8
27,5.0,16.0,0.8
28,5.0,16.0,0.8
29,4.0,0.0,1.0
30,4.0,0.0,1.0
31,1.0,0.0,0.0
32,0.0,0.0,0.0
33,1.0,0.0,0.0
34,1.0,0.0,0.0
35,3.0,0.0,1.0
36,2.0,0.0,1.0
37,3.0,18.0,0.3333333333333333
38,1.0,0.0,0.0
39,3.0,0.0,1.0
40,0.0,0.0,0.0
41,3.0,0.0,1.0
42,3.0,42.0,0.3333333333333333
43,4.0,138.0,0.5
44,3.0,48.0,0.3333333333333333
45,2.0,2.0,0.0
46,2.0,0.0,1.0
47,2.0,176.0,0.0
48,1.0,0.0,0.0
49,0.0,0.0,0.0
50,4.0,215.0,0.16666666666666666
51,1.0,0.0,0.0
52,2.0,102.0,0.0
53,1.0,0.0,0.0
54,3.0,48.0,0.3333333333333333
55,1.0,0.0,0.0
56,3.0,50.0,0.3333333333333333
57,3.0,170.0,0.3333333333333333
58,3.0,42.0,0.3333333333333333
59,1.0,0.0,0.0
60,5.0,321.0,0.3
61,1.0,0.0,0.0
62,4.0,95.33333333333337,0.8333333333333334
63,3.0,18.0,0.3333333333333333
64,0.0,0.0,0.0
65,4.0,95.33333333333337,0.8333333333333334
66,2.0,0.0,1.0
67,2.0,2.0,0.0
68,1.0,0.0,0.0
69,4.0,95.33333333333337,0.8333333333333334
70,1.0,0.0,0.0
71,1.0,0.0,0.0
72,1.0,0.0,0.0
73,1.0,0.0,0.0
74,4.0,336.0,0.5
75,0.0,0.0,0.0
76,1.0,0.0,0.0
77,2.0,0.0,1.0
78,3.0,330.0,0.3333333333333333
79,1.0,0.0,0.0
80,0.0,0.0,0.0
81,3.0,306.0,0.3333333333333333
82,1.0,0.0,0.0
83,2.0,4.0,0.0
84,3.0,0.0,1.0
85,0.0,0.0,0.0
86,4.0,288.0,0.5
87,2.0,0.0,1.0
88,3.0,0.0,1.0
89,0.0,0.0,0.0
90,4.0,210.0,0.5
91,1.0,0.0,0.0
92,4.0,78.0,0.3333333333333333
93,2.0,4.0,0.0
94,4.0,28.0,0.5
95,1.0,0.0,0.0
96,2.0,176.0,0.0
97,2.0,0.0,1.0
98,5.0,232.0,0.3
99,1.0,0.0,0.0
100,4.0,29.666666666666664,0.3333333333333333
101,2.0,50.0,0.0
102,3.0,142.0,0.0
103,1.0,0.0,0.0
104,0.0,0.0,0.0
105,2.0,0.0,1.0
106,4.0,258.6666666666665,0.16666666666666666
107,3.0,48.66666666666669,0.3333333333333333
108,1.0,0.0,0.0
109,2.0,122.6666666666666,0.0
110,1.0,0.0,0.0
111,1.0,0.0,0.0
112,2.0,4.0,0.0
113,4.0,253.66666666666657,0.0
114,0.0,0.0,0.0
115,4.0,392.6666666666667,0.16666666666666666
116,3.0,182.0,0.6666666666666666
117,2.0,4.0,0.0
118,1.0,0.0,0.0
119,3.0,182.0,0.6666666666666666
120,3.0,384.0,0.3333333333333333
121,1.0,0.0,0.0
122,1.0,0.0,0.0
123,2.0,374.0,0.0
124,1.0,0.0,0.0
125,3.0,334.0,0.0
126,1.0,0.0,0.0
127,3.0,378.0,0.0
128,2.0,264.0,0.0
129,2.0,0.0,1.0
130,2.0,192.0,0.0
131,3.0,2.0,0.6666666666666666
132,2.0,230.0,0.0
133,4.0,11.0,0.3333333333333333
134,1.0,0.0,0.0
135,5.0,11.0,0.4
136,1.0,0.0,0.0
137,2.0,150.0,0.0
138,2.0,0.0,1.0
139,2.0,0.0,1.0
140,3.0,2.0,0.6666666666666666
141,3.0,42.0,0.6666666666666666
142,3.0,42.0,0.6666666666666666
143,2.0,0.0,1.0
144,3.0,246.0,0.3333333333333333
145,2.0,0.0,1.0
146,0.0,0.0,0.0
147,3.0,104.0,0.3333333333333333
148,2.0,320.0,0.0
149,3.0,390.0,0.3333333333333333
150,1.0,0.0,0.0
151,2.0,0.0,1.0
152,1.0,0.0,0.0
153,3.0,4.0,0.6666666666666666
154,1.0,0.0,0.0
155,0.0,0.0,0.0
156,3.0,4.0,0.6666666666666666
157,4.0,518.0,0.3333333333333333
158,2.0,0.0,1.0
159,2.0,86.0,0.0
160,1.0,0.0,0.0
161,3.0,41.3170431018257,0.3333333333333333
162,1.0,0.0,0.0
163,4.0,18.0,0.3333333333333333
164,3.0,168.0,0.3333333333333333
165,6.0,408.3137428043606,0.6666666666666666
166,6.0,48.59509089943874,0.6666666666666666
167,7.0,188.22438525115862,0.47619047619047616
168,4.0,31.10513833992095,0.5
169,2.0,0.0,1.0
170,2.0,0.0,1.0
171,3.0,10.0,0.3333333333333333
172,5.0,249.03166000666,0.5
173,8.0,548.4770530702451,0.35714285714285715
174,7.0,46.512714821410476,0.6190476190476191
175,5.0,315.27738614042977,0.5
176,2.0,0.0,1.0
177,6.0,21.748846322759366,0.6666666666666666
178,9.0,418.7039119791979,0.4444444444444444
179,4.0,7.833333333333332,0.6666666666666666
180,4.0,277.16401098901093,0.3333333333333333
181,5.0,312.7374736374737,0.5
182,2.0,0.0,1.0
183,5.0,385.29519268552446,0.4
184,5.0,13.915512989426036,0.7
185,1.0,0.0,0.0
186,1.0,0.0,0.0
187,3.0,170.0,0.0
188,1.0,0.0,0.0
189,5.0,547.4992658752384,0.4
190,4.0,10.282703287051113,0.8333333333333334
191,4.0,294.8555129081445,0.5
192,2.0,0.0,1.0
193,4.0,14.0,0.5
194,1.0,0.0,0.0
195,5.0,466.047897570266,0.4
196,2.0,0.0,1.0
197,4.0,250.9215925886979,0.5
198,3.0,0.0,1.0
199,4.0,12.0,0.6666666666666666
200,0.0,0.0,0.0
