comp,bumber of nodes,global clustering coefficient,transitivity
1,18,0.5351851851851852,0.5232558139534884
2,2,0.0,0.0
3,10,0.36666666666666664,0.5142857142857142
4,2,0.0,0.0
5,19,0.39473684210526316,0.4897959183673469
6,17,0.3627450980392157,0.3829787234042553
7,2,0.0,0.0
8,2,0.0,0.0
9,3,0.0,0.0
10,19,0.6982456140350877,0.6388888888888888
11,12,0.3611111111111111,0.391304347826087
12,11,0.1515151515151515,0.23076923076923078
13,18,0.5518518518518518,0.6404494382022472
14,3,0.0,0.0
15,8,0.5666666666666667,0.5853658536585366
16,3,0.0,0.0
17,8,0.2916666666666667,0.4
18,12,0.3194444444444444,0.3
19,2,0.0,0.0
20,3,0.0,0.0
21,9,0.3333333333333333,0.5714285714285714
22,49,0.45704567541302227,0.5124555160142349
23,2,0.0,0.0
24,17,0.5882352941176471,0.6219512195121951
25,2,0.0,0.0
26,2,0.0,0.0
27,3,0.0,0.0
28,27,0.4555555555555556,0.5483870967741935
29,2,0.0,0.0
30,3,0.0,0.0
31,2,0.0,0.0
32,2,0.0,0.0
33,2,0.0,0.0
34,4,0.0,0.0
35,29,0.31494252873563217,0.3076923076923077
36,2,0.0,0.0
37,4,0.0,0.0
38,2,0.0,0.0
39,7,0.5809523809523809,0.5
40,45,0.4406701940035273,0.49714285714285716
41,2,0.0,0.0
42,7,0.5714285714285714,0.5294117647058824
43,2,0.0,0.0
44,3,1.0,1.0
45,9,0.6111111111111112,0.6176470588235294
