cell,x,y,slice,radius
0,0,5594,0,0
1,2021,5317,3,132
2,2295,5105,3,135
3,2465,5044,3,141
4,2079,5024,3,139
5,2284,5006,3,147
6,2173,4993,3,128
7,2472,4943,3,145
8,2648,4941,3,134
9,2634,4894,3,134
10,2774,4860,3,138
11,2494,4852,3,143
12,2161,4807,3,125
13,2345,4787,3,128
14,2375,4760,3,147
15,2770,4760,3,131
16,2706,4749,3,145
17,2720,4730,3,141
18,2210,4708,3,146
19,2319,4661,3,140
20,2087,4626,3,134
21,2824,4597,3,138
22,2626,4571,3,149
23,2347,4499,3,137
24,2855,4488,3,127
25,2393,4440,3,136
26,3022,4414,3,132
27,2134,4412,3,131
28,2322,4315,3,146
29,2271,4306,3,128
30,2665,4297,3,148
31,2853,4262,3,139
32,2426,4251,3,138
33,2295,4199,3,136
34,2338,4177,3,138
35,3297,4161,3,146
36,2530,4099,3,129
37,2957,4032,3,131
38,2884,3990,3,138
39,2573,3959,3,136
40,3184,3947,3,130
41,2856,3943,3,136
42,2763,3906,3,137
43,2302,3904,3,131
44,2977,3867,3,145
45,3283,3854,3,145
46,3387,3815,3,136
47,2449,3762,3,125
48,2506,3742,3,139
49,2797,3740,3,125
50,3342,3650,3,150
51,2790,3651,3,132
52,2397,3626,3,128
53,2697,3621,3,134
54,2552,3583,3,142
55,3542,3564,3,143
56,3262,3545,3,146
57,2562,3539,3,145
58,3457,3506,3,138
59,2989,3484,3,133
60,2979,3433,3,130
61,3184,3379,3,126
62,3377,3374,3,138
63,2617,3272,3,133
64,3484,3245,3,133
65,3545,3195,3,127
66,3370,3131,3,134
67,3047,3125,3,140
68,2748,3075,3,129
69,2856,3068,3,141
70,3405,3066,3,134
71,2693,3043,3,128
72,3568,3025,3,147
73,2890,2992,3,146
74,3022,2974,3,147
75,3514,2906,3,136
76,2564,2868,3,138
77,3749,2822,3,147
78,2224,2804,3,145
79,2828,2782,3,143
80,3376,2776,3,140
81,2666,2756,3,135
82,3542,2736,3,150
83,2820,2735,3,137
84,2860,2709,3,139
85,3233,2660,3,140
86,3361,2587,3,136
87,2536,2579,3,136
88,3166,2550,3,147
89,3449,2548,3,133
90,3720,2530,3,142
91,2506,2516,3,142
92,2197,2516,3,141
93,2615,2506,3,149
94,3034,2492,3,138
95,3523,2492,3,128
96,2314,2459,3,125
97,3423,2450,3,130
98,3610,2441,3,138
99,2270,2395,3,149
100,2480,2395,3,130
101,3194,2375,3,144
102,3160,2364,3,140
103,3719,2312,3,136
104,3256,2301,3,150
105,2139,2249,3,126
106,2832,2158,3,143
107,2447,2123,3,142
108,2596,2094,3,126
109,2952,2085,3,141
110,3059,2045,3,141
111,3378,2028,3,137
112,2194,2000,3,136
113,3535,1988,3,140
114,2615,1985,3,141
115,3413,1982,3,139
116,3198,1982,3,130
117,2118,1948,3,129
118,2930,1939,3,125
119,3072,1934,3,142
120,3472,1853,3,132
121,3354,1844,3,135
122,3524,1829,3,133
123,2761,1754,3,144
124,3287,1730,3,145
125,2899,1719,3,139
126,2251,1685,3,125
127,2282,1683,3,133
128,2352,1675,3,131
129,2704,1643,3,140
130,3385,1580,3,125
131,2846,1556,3,137
132,2697,1550,3,144
133,3229,1467,3,147
134,2923,1457,3,133
135,3312,1435,3,132
136,3038,1432,3,150
137,2250,1424,3,148
138,2154,1395,3,145
139,2339,1386,3,131
140,2106,1383,3,145
141,3336,1309,3,132
142,2871,1309,3,146
143,2793,1306,3,145
144,2663,1291,3,143
145,3381,1267,3,147
146,1979,1252,3,133
147,3474,1244,3,134
148,3225,1224,3,131
149,2334,1214,3,131
150,2046,1212,3,132
151,2893,1192,3,127
152,3083,1191,3,142
153,2804,1169,3,131
154,2155,1167,3,132
155,2932,1134,3,147
156,2134,1119,3,144
157,2301,1091,3,125
158,1919,1087,3,126
159,3254,1057,3,130
160,1818,1032,3,150
161,3183,1011,3,126
162,1918,1007,3,140
163,3094,1000,3,142
164,2346,998,3,137
165,3105,960,3,143
166,3070,938,3,125
167,2627,901,3,143
168,3037,889,3,143
169,2722,856,3,143
170,3393,825,3,128
171,1911,809,3,146
172,3099,806,3,149
173,2911,782,3,148
174,2969,733,3,144
175,2419,732,3,144
176,2830,678,3,147
177,3052,673,3,135
178,2583,668,3,150
179,1731,631,3,140
180,1771,618,3,130
181,3224,607,3,131
182,2292,568,3,150
183,2913,554,3,143
184,2716,529,3,129
185,1562,512,3,136
186,2117,509,3,138
187,2585,505,3,143
188,1812,487,3,136
189,1709,477,3,134
190,1921,428,3,147
191,2744,425,3,125
192,1458,392,3,131
193,2693,384,3,136
194,1779,381,3,149
195,2392,362,3,137
196,2092,341,3,141
197,2288,290,3,131
198,2429,270,3,147
199,2925,269,3,126
200,2290,259,3,144
201,2036,218,3,143
202,2172,210,3,128
203,2306,177,3,127
204,2091,106,3,141
205,2426,37,3,140
206,2441,38,3,150
207,2364,28,3,136
208,2196,12,3,139
209,2058,6,3,126
210,2084,0,3,141
