comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,21,0.35555555555555557,0.4067796610169492
5,2,0.0,0.0
6,6,0.3888888888888889,0.375
7,2,0.0,0.0
8,2,0.0,0.0
9,4,0.8333333333333333,0.75
10,55,0.5438095238095237,0.5045871559633027
11,7,0.23809523809523808,0.3333333333333333
12,2,0.0,0.0
13,8,0.5833333333333333,0.5
14,2,0.0,0.0
15,4,0.8333333333333333,0.75
16,3,0.0,0.0
17,2,0.0,0.0
18,6,0.7777777777777777,0.6
19,3,1.0,1.0
20,9,0.674074074074074,0.6136363636363636
21,13,0.2948717948717949,0.3870967741935484
22,6,0.25,0.25
23,2,0.0,0.0
24,3,1.0,1.0
25,2,0.0,0.0
