comp,bumber of nodes,global clustering coefficient,transitivity
1,4,0.0,0.0
2,2,0.0,0.0
3,2,0.0,0.0
4,2,0.0,0.0
5,6,0.0,0.0
6,4,0.5833333333333333,0.6
7,3,1.0,1.0
8,2,0.0,0.0
9,3,1.0,1.0
10,3,0.0,0.0
11,2,0.0,0.0
12,2,0.0,0.0
13,3,0.0,0.0
14,5,0.4666666666666667,0.5
15,2,0.0,0.0
16,3,1.0,1.0
17,4,0.8333333333333333,0.75
18,6,0.27777777777777773,0.375
19,3,0.0,0.0
20,2,0.0,0.0
21,4,0.5833333333333333,0.6
22,3,0.0,0.0
23,3,0.0,0.0
24,2,0.0,0.0
25,2,0.0,0.0
26,3,0.0,0.0
27,4,1.0,1.0
28,2,0.0,0.0
29,5,0.8666666666666666,0.7894736842105263
30,6,0.38888888888888884,0.42857142857142855
31,2,0.0,0.0
32,2,0.0,0.0
33,3,0.0,0.0
34,4,1.0,1.0
35,3,1.0,1.0
36,5,0.3333333333333333,0.42857142857142855
37,6,0.0,0.0
38,2,0.0,0.0
39,15,0.18666666666666668,0.4090909090909091
40,3,1.0,1.0
41,3,0.0,0.0
42,2,0.0,0.0
43,2,0.0,0.0
44,3,0.0,0.0
45,6,0.3611111111111111,0.3333333333333333
46,2,0.0,0.0
47,2,0.0,0.0
48,4,0.5833333333333333,0.6
49,3,1.0,1.0
50,2,0.0,0.0
51,5,0.4666666666666667,0.5
52,2,0.0,0.0
53,3,0.0,0.0
54,3,0.0,0.0
55,7,0.7714285714285714,0.6
56,2,0.0,0.0
57,2,0.0,0.0
58,2,0.0,0.0
59,2,0.0,0.0
60,2,0.0,0.0
61,3,0.0,0.0
62,2,0.0,0.0
63,4,0.5833333333333333,0.6
64,3,0.0,0.0
65,3,0.0,0.0
66,4,0.0,0.0
67,2,0.0,0.0
68,3,1.0,1.0
69,3,0.0,0.0
70,4,0.5833333333333334,0.6
