cell,x,y,slice,radius
0,0,4859,0,0
1,2311,4843,1,145
2,2498,4814,1,135
3,2371,4737,1,148
4,2593,4722,1,125
5,2306,4637,1,134
6,2678,4613,1,131
7,3193,4603,1,147
8,2971,4600,1,142
9,3077,4577,1,150
10,2561,4574,1,135
11,2250,4557,1,142
12,2665,4496,1,132
13,2090,4494,1,129
14,2334,4479,1,144
15,2987,4474,1,146
16,3466,4369,1,141
17,3333,4365,1,145
18,2959,4349,1,142
19,2095,4335,1,127
20,2223,4304,1,133
21,2804,4291,1,145
22,2599,4259,1,150
23,2726,4246,1,142
24,3062,4228,1,145
25,3311,4220,1,138
26,2421,4194,1,135
27,3278,4151,1,143
28,2025,4121,1,138
29,2781,4090,1,126
30,2477,4083,1,140
31,2861,4079,1,136
32,2550,4043,1,126
33,2442,3993,1,126
34,3363,3979,1,127
35,3280,3978,1,128
36,2676,3956,1,135
37,1991,3945,1,140
38,2336,3936,1,137
39,2271,3935,1,139
40,2414,3918,1,126
41,3002,3903,1,128
42,2889,3878,1,134
43,3472,3843,1,132
44,2128,3809,1,131
45,2421,3792,1,137
46,3512,3789,1,133
47,3102,3789,1,133
48,2697,3749,1,133
49,3406,3731,1,133
50,3014,3711,1,128
51,3345,3711,1,137
52,3467,3684,1,133
53,3203,3681,1,136
54,2435,3668,1,126
55,2599,3646,1,131
56,3468,3643,1,148
57,3153,3643,1,125
58,2993,3640,1,141
59,2082,3593,1,145
60,2709,3587,1,133
61,2189,3579,1,130
62,1979,3543,1,131
63,3446,3539,1,150
64,3452,3519,1,131
65,2647,3500,1,138
66,2511,3490,1,148
67,2200,3490,1,135
68,2289,3404,1,140
69,3524,3394,1,129
70,3161,3375,1,147
71,2627,3357,1,131
72,1873,3348,1,133
73,2823,3326,1,141
74,2291,3306,1,136
75,3003,3275,1,133
76,2165,3272,1,148
77,2480,3227,1,128
78,2059,3222,1,148
79,3424,3218,1,126
80,3227,3216,1,142
81,1970,3215,1,149
82,2117,3210,1,128
83,2659,3209,1,149
84,1996,3188,1,125
85,2096,3144,1,142
86,2765,3124,1,138
87,2711,3123,1,141
88,3171,3084,1,146
89,3203,3073,1,138
90,2737,3046,1,149
91,3333,3029,1,150
92,2893,3028,1,127
93,2868,3028,1,133
94,3140,2909,1,126
95,2299,2903,1,137
96,2157,2898,1,133
97,3073,2890,1,128
98,2438,2872,1,125
99,2024,2856,1,147
100,3197,2856,1,136
101,2494,2852,1,143
102,2462,2832,1,127
103,3210,2816,1,137
104,3474,2787,1,133
105,2308,2785,1,129
106,2416,2783,1,131
107,2888,2759,1,130
108,3345,2754,1,146
109,2558,2727,1,143
110,2789,2724,1,138
111,2106,2723,1,144
112,1908,2711,1,139
113,2941,2661,1,125
114,1857,2638,1,138
115,1869,2603,1,147
116,2666,2574,1,125
117,3504,2568,1,148
118,2018,2564,1,135
119,3039,2555,1,141
120,2328,2551,1,126
121,2968,2533,1,143
122,1857,2531,1,141
123,1983,2481,1,134
124,2442,2459,1,138
125,1775,2450,1,135
126,3293,2396,1,132
127,3026,2385,1,130
128,3146,2383,1,144
129,1923,2380,1,138
130,2937,2373,1,150
131,2186,2371,1,137
132,2013,2331,1,136
133,2955,2320,1,128
134,2063,2314,1,131
135,2416,2314,1,130
136,2042,2298,1,147
137,2817,2297,1,136
138,1987,2290,1,129
139,3617,2241,1,126
140,2003,2226,1,138
141,2301,2215,1,145
142,2958,2127,1,133
143,2807,2080,1,141
144,2042,2076,1,127
145,2081,2031,1,128
146,2986,2020,1,148
147,2778,2001,1,128
148,1948,1987,1,128
149,2446,1971,1,145
150,3055,1965,1,127
151,2331,1946,1,133
152,2759,1945,1,137
153,2954,1924,1,138
154,1837,1890,1,144
155,2879,1881,1,150
156,2323,1852,1,132
157,3078,1828,1,133
158,1977,1821,1,136
159,1815,1766,1,148
160,3482,1745,1,126
161,2931,1679,1,127
162,2514,1656,1,139
163,3221,1624,1,130
164,2641,1604,1,129
165,2080,1570,1,130
166,3243,1564,1,147
167,2882,1546,1,130
168,3134,1533,1,144
169,2004,1523,1,137
170,3650,1454,1,134
171,2798,1405,1,135
172,1903,1357,1,136
173,2915,1352,1,125
174,2828,1338,1,127
175,3092,1333,1,137
176,2457,1331,1,146
177,3199,1331,1,127
178,2179,1304,1,141
179,2786,1304,1,144
180,2581,1271,1,128
181,2673,1267,1,132
182,2066,1172,1,128
183,3072,1165,1,146
184,2175,1148,1,132
185,3010,1129,1,137
186,2678,1108,1,127
187,2370,1055,1,142
188,2657,988,1,125
189,3141,974,1,133
190,2741,958,1,147
191,2057,948,1,143
192,2183,939,1,149
193,2676,901,1,134
194,2281,859,1,138
195,2418,858,1,149
196,2345,793,1,139
197,2158,758,1,128
198,2444,688,1,132
199,2327,524,1,141
