cell,x,y,slice,radius
0,0,5424,0,0
1,2357,5378,1,128
2,2262,5365,1,150
3,2659,5339,1,138
4,2914,5315,1,144
5,2250,5310,1,145
6,3054,5309,1,134
7,2828,5292,1,150
8,2122,5213,1,129
9,2752,5205,1,126
10,3084,5198,1,138
11,2023,5197,1,142
12,2354,5131,1,149
13,2653,5084,1,148
14,2986,5065,1,150
15,3168,5043,1,139
16,2965,5036,1,125
17,2181,5023,1,133
18,2105,5018,1,130
19,2966,4998,1,125
20,3553,4967,1,142
21,2269,4961,1,127
22,3155,4867,1,135
23,3204,4828,1,135
24,3348,4801,1,143
25,2025,4798,1,130
26,2600,4786,1,145
27,2979,4768,1,131
28,2178,4761,1,127
29,1987,4750,1,131
30,2805,4746,1,146
31,3558,4730,1,150
32,2512,4728,1,129
33,3387,4718,1,141
34,2951,4698,1,133
35,2093,4693,1,132
36,3017,4687,1,144
37,2250,4678,1,148
38,3091,4669,1,139
39,2701,4659,1,132
40,3122,4655,1,137
41,2653,4655,1,150
42,2647,4642,1,148
43,3643,4631,1,130
44,2467,4625,1,142
45,3186,4602,1,142
46,2779,4593,1,133
47,2644,4584,1,136
48,2362,4580,1,125
49,2249,4567,1,135
50,2979,4552,1,133
51,3060,4542,1,143
52,1877,4484,1,148
53,1928,4478,1,129
54,2835,4465,1,142
55,1866,4463,1,143
56,2964,4461,1,144
57,2931,4433,1,142
58,2668,4425,1,141
59,2418,4411,1,135
60,2508,4411,1,137
61,2371,4387,1,150
62,2405,4361,1,142
63,3500,4348,1,127
64,3720,4325,1,142
65,2044,4316,1,129
66,2981,4314,1,135
67,3194,4302,1,130
68,3244,4269,1,148
69,3030,4249,1,134
70,2802,4243,1,139
71,2979,4217,1,138
72,3474,4207,1,136
73,2815,4184,1,134
74,3471,4137,1,141
75,3636,4134,1,129
76,2419,4126,1,137
77,2843,4125,1,129
78,2813,4074,1,140
79,2394,4062,1,143
80,2259,4038,1,126
81,2332,4031,1,149
82,2980,3999,1,140
83,3392,3992,1,147
84,2548,3961,1,128
85,2218,3921,1,130
86,2738,3917,1,145
87,2397,3879,1,150
88,1937,3867,1,134
89,3472,3849,1,130
90,1876,3828,1,148
91,3075,3794,1,134
92,2481,3784,1,139
93,1769,3771,1,128
94,2094,3758,1,144
95,2948,3760,1,134
96,2741,3756,1,131
97,2796,3727,1,136
98,3100,3717,1,136
99,1855,3692,1,128
100,3101,3580,1,142
101,2742,3577,1,135
102,3431,3519,1,133
103,2456,3477,1,143
104,2998,3436,1,139
105,3156,3421,1,126
106,3367,3400,1,149
107,2032,3394,1,131
108,2746,3377,1,131
109,2895,3292,1,137
110,3267,3278,1,140
111,1736,3218,1,129
112,3507,3206,1,141
113,2816,3198,1,127
114,1805,3125,1,131
115,3216,3105,1,142
116,2354,3098,1,137
