cell,x,y,slice,radius
0,0,5073,0,0
1,1577,5037,1,147
2,1561,5001,1,150
3,1554,4853,1,140
4,980,4801,1,129
5,1438,4755,1,129
6,1525,4751,1,141
7,1145,4715,1,136
8,1733,4636,1,138
9,1575,4582,1,136
10,1073,4548,1,126
11,783,4546,1,148
12,1462,4442,1,146
13,1230,4398,1,129
14,1336,4395,1,131
15,1043,4387,1,149
16,529,4355,1,133
17,1690,4330,1,134
18,463,4325,1,139
19,706,4316,1,148
20,1499,4301,1,129
21,859,4294,1,145
22,1708,4289,1,146
23,1487,4280,1,143
24,1827,4248,1,140
25,1718,4207,1,148
26,724,4176,1,141
27,1106,4167,1,128
28,1435,4144,1,144
29,1167,4096,1,130
30,1758,4064,1,140
31,765,4058,1,145
32,482,4050,1,136
33,1502,4010,1,129
34,786,4007,1,149
35,300,3976,1,134
36,1763,3926,1,149
37,922,3864,1,129
38,899,3845,1,136
39,1684,3801,1,128
40,582,3758,1,138
41,1511,3734,1,148
42,1668,3725,1,129
43,987,3714,1,135
44,433,3694,1,126
45,1328,3647,1,134
46,955,3638,1,145
47,1021,3634,1,144
48,1465,3628,1,148
49,1240,3603,1,139
50,803,3538,1,137
51,1218,3527,1,127
52,494,3508,1,148
53,640,3501,1,133
54,1657,3492,1,150
55,440,3485,1,129
56,1134,3481,1,146
57,1348,3465,1,137
58,339,3455,1,129
59,1492,3454,1,144
60,988,3330,1,136
61,1234,3300,1,137
62,1627,3294,1,128
63,520,3273,1,140
64,1743,3271,1,128
65,1837,3222,1,138
66,1107,3189,1,125
67,1396,3163,1,144
68,1918,3149,1,127
69,609,3144,1,125
70,153,3092,1,129
71,1086,2995,1,148
72,684,2973,1,143
73,1296,2975,1,141
74,624,2969,1,128
75,1479,2947,1,147
76,480,2917,1,130
77,1311,2913,1,144
78,1037,2883,1,141
79,1206,2837,1,147
80,987,2775,1,126
81,1145,2768,1,144
82,776,2749,1,146
83,896,2747,1,147
84,266,2724,1,131
85,1568,2685,1,144
86,759,2677,1,146
87,1820,2668,1,143
88,909,2630,1,146
89,986,2568,1,135
90,1225,2539,1,139
91,1800,2423,1,133
92,416,2410,1,130
93,1026,2391,1,142
94,1062,2343,1,139
95,1763,2303,1,129
96,758,2253,1,136
97,1779,2226,1,141
98,1612,2198,1,136
99,391,2142,1,146
100,1239,2135,1,147
101,572,2124,1,149
102,1811,2115,1,138
103,1318,1998,1,132
104,1035,1967,1,144
105,535,1889,1,132
106,813,1840,1,138
107,608,1782,1,142
108,1458,1772,1,147
109,206,1760,1,135
110,421,1665,1,144
111,1649,1664,1,143
112,400,1653,1,147
113,1275,1639,1,135
114,1515,1621,1,144
115,1084,1573,1,134
116,830,1504,1,136
117,1009,1500,1,146
118,208,1493,1,130
119,864,1437,1,131
120,1486,1338,1,125
121,912,1331,1,130
122,1368,1297,1,132
123,856,1251,1,128
124,1214,1219,1,125
125,1303,1192,1,129
126,1280,1030,1,137
127,1381,997,1,146
128,1183,982,1,132
129,423,1347,2,137
130,274,1310,2,145
131,611,1179,2,143
132,317,1037,2,136
133,995,969,2,135
134,1029,924,2,142
135,620,905,2,144
136,349,889,2,130
137,1314,858,2,132
138,360,857,2,141
139,1425,701,2,148
140,1273,689,2,145
141,544,688,2,149
142,1201,653,2,140
143,1404,608,2,149
144,1630,597,2,132
145,574,584,2,150
146,1546,563,2,136
147,1207,554,2,141
148,1379,526,2,142
149,574,518,2,125
150,698,517,2,132
151,720,504,2,132
152,1860,474,2,133
153,1556,465,2,133
154,1777,439,2,141
155,1992,398,2,143
156,1608,392,2,128
157,1227,333,2,139
158,1879,324,2,134
159,1167,316,2,130
160,1976,318,2,141
161,1654,303,2,128
162,1354,292,2,147
163,920,276,2,148
164,1209,271,2,143
165,2285,266,2,134
166,848,247,2,130
167,1293,241,2,148
168,1973,236,2,133
169,1574,178,2,129
170,1134,153,2,145
171,1039,111,2,131
172,1711,103,2,137
173,1255,100,2,130
174,1496,0,2,148
175,1994,4908,3,143
176,2138,4846,3,133
177,1949,4835,3,138
178,2435,4831,3,139
179,2529,4692,3,145
180,1996,4668,3,130
181,2338,4665,3,131
182,2288,4659,3,129
183,1924,4656,3,137
184,2470,4598,3,126
185,2349,4563,3,127
186,2264,4503,3,144
187,2566,4500,3,135
188,2491,4465,3,132
189,2354,4454,3,143
190,2635,4404,3,149
191,2594,4387,3,150
192,2280,4358,3,128
193,2992,4348,3,141
194,3060,4323,3,141
195,3066,4241,3,147
196,2990,4218,3,145
197,2598,4191,3,130
198,1942,4154,3,136
199,3150,4096,3,132
200,2412,4092,3,134
201,3162,4081,3,143
202,2843,4072,3,128
203,2694,4064,3,148
204,2760,3998,3,142
205,2970,3956,3,127
206,2198,3922,3,138
207,2114,3918,3,134
208,2758,3886,3,146
209,3139,3888,3,133
210,1986,3838,3,133
211,3424,3751,3,144
212,2530,3722,3,127
213,2723,3703,3,126
214,3070,3672,3,125
215,2721,3671,3,126
216,2793,3650,3,139
