cell,x,y,slice,radius
0,0,6033,0,0
1,1558,5993,1,145
2,1691,5952,1,127
3,986,5921,1,133
4,1376,5905,1,132
5,946,5903,1,143
6,1594,5895,1,139
7,1252,5891,1,125
8,2013,5870,1,133
9,1984,5785,1,132
10,839,5772,1,127
11,1920,5768,1,137
12,1203,5739,1,128
13,900,5729,1,126
14,743,5679,1,142
15,1823,5669,1,149
16,1420,5656,1,126
17,1147,5655,1,134
18,1242,5655,1,127
19,1927,5647,1,126
20,965,5642,1,125
21,2053,5622,1,125
22,1822,5609,1,138
23,1434,5604,1,127
24,840,5563,1,128
25,1292,5557,1,143
26,998,5546,1,136
27,402,5521,1,132
28,1575,5511,1,131
29,1128,5512,1,127
30,650,5496,1,147
31,1160,5462,1,150
32,1602,5439,1,133
33,1734,5436,1,137
34,1292,5372,1,144
35,1584,5370,1,134
36,757,5353,1,135
37,1454,5329,1,143
38,1602,5284,1,135
39,2088,5273,1,149
40,1044,5277,1,127
41,969,5265,1,133
42,1747,5244,1,145
43,731,5235,1,134
44,756,5156,1,140
45,1215,5096,1,140
46,1669,5087,1,129
47,860,5083,1,139
48,493,5059,1,126
49,1505,5012,1,129
50,697,4991,1,143
51,1990,4960,1,139
52,1193,4962,1,144
53,2004,4939,1,137
54,1347,4933,1,141
55,2142,4914,1,148
56,546,4915,1,142
57,2181,4898,1,142
58,938,4898,1,142
59,1849,4898,1,129
60,669,4894,1,146
61,336,4890,1,144
62,1411,4874,1,141
63,337,4866,1,146
64,266,4856,1,129
65,1503,4827,1,149
66,361,4812,1,132
67,1014,4802,1,135
68,1560,4773,1,142
69,1622,4774,1,147
70,441,4761,1,147
71,553,4749,1,147
72,1248,4739,1,149
73,1430,4727,1,140
74,1893,4725,1,131
75,1619,4700,1,143
76,1989,4682,1,145
77,2154,4668,1,130
78,324,4653,1,131
79,1905,4644,1,131
80,663,4633,1,145
81,1638,4628,1,145
82,959,4588,1,145
83,662,4580,1,139
84,595,4554,1,129
85,519,4551,1,135
86,792,4515,1,131
87,1843,4514,1,141
88,1072,4495,1,150
89,755,4458,1,148
90,688,4420,1,128
91,882,4417,1,130
92,950,4413,1,140
93,1353,4404,1,126
94,1627,4409,1,129
95,1060,4382,1,129
96,1605,4326,1,146
97,2073,4315,1,149
98,1491,4316,1,133
99,1089,4307,1,132
100,819,4264,1,149
101,1712,4245,1,127
102,1527,4227,1,135
103,959,4228,1,125
104,2012,4221,1,133
105,1031,4220,1,145
106,882,4189,1,139
107,215,4179,1,132
108,539,4142,1,138
109,1524,4130,1,129
110,336,4131,1,126
111,1698,4121,1,134
112,953,4120,1,141
113,839,4082,1,129
114,2059,4084,1,131
115,1635,3992,1,136
116,516,3992,1,148
117,1068,3984,1,142
118,1931,3980,1,143
119,948,3970,1,140
120,1667,3966,1,147
121,375,3958,1,143
122,1880,3938,1,139
