cell,x,y,slice,radius
0,0,5668,0,0
1,2987,5630,1,135
2,2566,5617,1,127
3,3073,5615,1,142
4,2749,5609,1,144
5,2891,5572,1,147
6,2399,5565,1,150
7,2623,5565,1,134
8,2941,5548,1,126
9,3255,5548,1,150
10,3380,5534,1,138
11,3443,5501,1,127
12,3313,5477,1,137
13,2947,5463,1,138
14,3284,5462,1,125
15,2154,5454,1,141
16,2423,5458,1,149
17,3065,5437,1,136
18,2918,5427,1,129
19,2644,5414,1,138
20,2883,5357,1,139
21,3336,5355,1,130
22,2709,5337,1,129
23,2654,5334,1,145
24,2030,5309,1,150
25,2209,5302,1,133
26,2789,5289,1,143
27,3291,5268,1,147
28,3529,5237,1,146
29,2685,5231,1,127
30,3364,5179,1,134
31,3455,5140,1,138
32,3118,5103,1,131
33,2372,5093,1,138
34,1986,5093,1,134
35,2340,5078,1,127
36,2701,5059,1,128
37,2814,5027,1,144
38,2699,4947,1,147
39,2314,4930,1,129
40,3781,4906,1,141
41,2281,4877,1,127
42,3596,4868,1,137
43,2506,4837,1,133
44,2363,4814,1,140
45,2049,4794,1,145
46,3120,4783,1,131
47,3740,4781,1,150
48,3420,4764,1,127
49,3574,4749,1,130
50,3513,4744,1,150
51,3025,4741,1,132
52,2711,4727,1,144
53,3023,4710,1,130
54,3811,4704,1,144
55,2119,4699,1,139
56,2009,4686,1,130
57,2410,4648,1,142
58,2643,4628,1,130
59,2987,4624,1,128
60,2738,4624,1,146
61,3332,4555,1,138
62,3528,4556,1,130
63,4053,4550,1,143
64,3747,4548,1,128
65,2385,4543,1,128
66,3814,4521,1,150
67,3019,4495,1,130
68,2849,4491,1,148
69,2589,4477,1,133
70,2756,4453,1,130
71,2577,4450,1,133
72,2584,4419,1,146
73,3091,4412,1,127
74,1954,4373,1,138
75,3001,4373,1,142
76,2851,4355,1,147
77,3503,4353,1,143
78,3167,4284,1,148
79,2471,4279,1,135
80,2654,4255,1,125
81,2896,4237,1,131
82,3429,4220,1,128
83,3847,4201,1,146
84,3931,4179,1,142
85,2743,4180,1,144
86,2933,4172,1,136
87,2289,4164,1,130
88,3288,4137,1,141
89,3175,4062,1,128
90,2986,4030,1,137
91,3522,3989,1,138
92,3482,3946,1,137
93,2121,3926,1,150
94,2206,3919,1,148
95,2550,3912,1,147
96,3836,3898,1,142
97,2708,3891,1,150
98,2398,3850,1,146
99,3675,3822,1,149
100,3909,3804,1,133
101,2511,3787,1,136
102,2852,3740,1,138
103,3714,3725,1,148
104,2174,3719,1,136
105,2489,3714,1,145
106,3252,3709,1,140
107,3320,3695,1,149
108,3390,3677,1,134
109,3117,3676,1,147
110,3435,3639,1,126
111,2066,3625,1,133
112,3595,3611,1,129
113,2602,3589,1,133
114,2660,3595,1,128
115,2875,3591,1,136
116,3441,3581,1,148
117,2903,3568,1,126
118,3675,3535,1,136
119,2683,3519,1,144
120,3468,3482,1,138
121,2758,3482,1,125
122,2115,3470,1,149
123,2727,3467,1,147
124,2611,3450,1,136
125,3598,3445,1,143
126,3617,3443,1,149
127,3823,3379,1,145
128,2815,3377,1,147
129,2420,3376,1,125
130,2081,3349,1,129
131,2174,3328,1,143
132,3879,3316,1,139
133,2097,3289,1,126
134,2900,3265,1,148
135,3015,3263,1,148
136,3525,3243,1,125
137,2451,3191,1,131
138,2564,3180,1,147
139,2807,3168,1,139
140,3767,3168,1,150
141,2579,3163,1,129
142,2647,3148,1,133
143,2366,3111,1,138
144,2785,3097,1,126
145,3551,3077,1,130
146,2638,3061,1,138
147,3105,3043,1,130
148,2258,3041,1,140
149,2435,3026,1,127
150,3779,3013,1,150
151,2471,2995,1,145
152,3097,2976,1,148
153,2878,2953,1,138
154,3117,2935,1,147
155,3318,2933,1,136
156,3967,2932,1,146
157,3107,2914,1,139
158,2513,2863,1,143
159,3437,2852,1,128
160,2413,2798,1,129
161,3555,2764,1,132
162,2386,2712,1,148
163,3165,2668,1,129
164,3090,2628,1,138
165,3061,2590,1,131
166,2355,2586,1,137
167,3407,2552,1,136
168,3016,2543,1,130
169,3273,2530,1,137
170,3361,2507,1,128
171,3761,2489,1,139
172,3614,2483,1,129
173,2309,2460,1,130
174,3383,2457,1,133
175,3039,2449,1,145
176,2804,2391,1,149
177,2416,2360,1,133
178,2637,2316,1,139
179,2834,2246,1,132
180,3309,2242,1,150
181,3714,2242,1,149
182,2381,2237,1,131
183,3069,2226,1,143
184,3386,2186,1,146
185,2433,2179,1,127
186,3518,2169,1,143
187,2533,2161,1,148
188,3023,2141,1,148
189,2754,2078,1,146
190,2638,2039,1,143
191,3595,2030,1,132
192,3817,2022,1,129
193,2964,2001,1,139
194,3872,1989,1,136
195,3450,1961,1,141
196,2794,1962,1,138
197,3612,1944,1,133
198,3312,1942,1,143
199,3755,1904,1,131
200,2567,1842,1,127
201,3299,1813,1,141
202,3501,1779,1,132
203,2932,1773,1,149
204,2747,1709,1,131
205,3483,1693,1,147
206,2767,1644,1,146
207,3342,1612,1,135
208,3093,1587,1,135
209,3394,1551,1,149
210,3796,1442,1,130
211,3078,1433,1,133
212,3610,1370,1,127
213,2963,1344,1,132
214,3253,1344,1,144
215,3070,1322,1,126
216,3135,1280,1,146
217,3539,1260,1,138
218,2999,1240,1,145
219,3095,1215,1,141
220,3441,1195,1,149
221,3241,1164,1,134
222,3102,1152,1,125
223,3343,1150,1,126
224,4150,1292,2,140
225,3845,1238,2,139
226,3443,1141,2,134
227,3621,1133,2,125
228,3437,1083,2,128
229,3812,991,2,147
230,3054,840,2,130
231,3144,815,2,127
232,2880,655,2,149
233,2674,649,2,148
234,2772,635,2,147
235,3079,631,2,128
236,2622,598,2,133
237,3072,529,2,150
238,2535,513,2,143
239,2747,479,2,129
240,2749,454,2,144
241,2361,452,2,133
242,2504,444,2,126
243,2296,407,2,143
244,2851,373,2,145
245,2685,364,2,141
246,3525,300,2,146
247,2557,253,2,143
248,2735,241,2,147
249,1982,217,2,146
250,2858,200,2,134
251,2271,186,2,129
252,2905,164,2,140
253,2154,157,2,127
254,2986,145,2,125
255,2653,118,2,128
256,2503,100,2,125
257,2712,95,2,146
258,2094,79,2,147
259,2999,69,2,150
260,2177,66,2,135
261,2346,62,2,133
262,3108,62,2,130
263,2945,56,2,146
264,2286,53,2,127
265,2272,41,2,129
266,2617,40,2,139
267,2721,19,2,148
268,2496,0,2,146
269,2008,5557,3,136
270,1951,5524,3,137
271,1721,5435,3,147
272,1964,5432,3,131
273,1801,5378,3,150
274,1645,5349,3,143
275,1643,5301,3,129
276,1637,5197,3,150
277,1087,5181,3,143
278,1525,5142,3,146
279,1878,5148,3,129
280,1864,5095,3,132
281,1517,5083,3,141
282,1731,5040,3,126
283,1190,5038,3,127
284,1295,5013,3,135
285,1823,5017,3,150
286,1715,5016,3,150
287,1097,5000,3,131
288,1619,4985,3,134
289,1394,4972,3,149
290,1616,4966,3,128
291,1259,4956,3,138
292,914,4941,3,142
293,1024,4889,3,126
294,1416,4883,3,149
295,949,4877,3,139
296,1031,4808,3,131
297,1526,4807,3,137
298,1585,4785,3,149
299,1500,4773,3,125
300,747,4767,3,129
301,1473,4770,3,126
302,1582,4727,3,130
303,921,4722,3,137
304,1043,4698,3,128
305,1482,4677,3,137
306,1006,4646,3,131
307,1906,4620,3,135
308,644,4576,3,134
309,799,4556,3,146
310,965,4549,3,134
311,861,4515,3,141
312,1118,4491,3,149
313,1309,4482,3,147
314,1617,4477,3,145
315,1042,4473,3,140
316,1870,4464,3,127
317,813,4463,3,126
318,1504,4449,3,145
319,710,4414,3,131
320,1618,4405,3,132
321,1719,4397,3,131
322,1452,4391,3,146
323,1442,4368,3,145
324,1173,4346,3,136
325,828,4309,3,138
326,891,4301,3,130
327,1237,4290,3,148
328,364,4279,3,143
329,342,4270,3,135
330,608,4264,3,141
331,1322,4228,3,140
332,599,4205,3,141
333,456,4174,3,149
334,627,4123,3,131
335,824,4116,3,133
336,873,4081,3,130
337,789,4013,3,134
338,1384,3921,3,136
339,1440,3913,3,130
340,877,3913,3,137
341,580,3898,3,145
342,304,3897,3,129
343,442,3885,3,141
344,340,3865,3,133
345,1775,3855,3,148
346,1838,3855,3,125
347,957,3835,3,139
348,799,3823,3,149
349,1118,3805,3,142
350,1692,3768,3,129
351,1844,3769,3,132
352,587,3762,3,144
353,1904,3742,3,145
354,1788,3735,3,143
355,262,3674,3,131
356,1700,3662,3,125
357,846,3667,3,129
358,1096,3664,3,150
359,1429,3661,3,132
360,522,3636,3,126
361,1785,3605,3,147
362,1788,3584,3,135
363,894,3571,3,141
364,1233,3561,3,135
365,1007,3546,3,149
366,687,3531,3,142
367,1850,3528,3,149
368,232,3506,3,150
369,1979,3460,3,129
370,1763,3445,3,135
371,1885,3439,3,131
372,1955,3433,3,134
373,1750,3427,3,137
374,1222,3411,3,150
375,822,3380,3,131
376,1163,3336,3,141
377,1107,3315,3,135
378,295,3289,3,130
379,115,3284,3,147
380,2010,3272,3,147
381,278,3260,3,149
382,841,3254,3,143
383,711,3240,3,143
384,1505,3219,3,139
385,574,3216,3,138
386,116,3194,3,132
387,1680,3172,3,149
388,1344,3155,3,135
389,473,3145,3,139
390,726,3139,3,147
391,571,3136,3,139
392,1460,3111,3,143
393,317,3094,3,140
394,1500,3068,3,137
395,1322,3060,3,132
396,879,3051,3,135
397,1995,3016,3,148
398,1367,2894,3,146
399,710,2882,3,127
400,511,2858,3,125
401,975,2846,3,141
402,60,2806,3,136
403,1686,2795,3,145
404,1960,2784,3,133
405,364,2760,3,141
406,821,2756,3,127
407,1852,2736,3,133
408,1913,2714,3,130
409,1450,2712,3,144
410,1337,2702,3,134
411,1881,2547,3,132
412,2236,2495,3,146
413,1553,2492,3,135
414,717,2465,3,133
415,2112,2387,3,147
416,195,2376,3,127
417,2007,2356,3,148
418,547,2276,3,130
419,1751,2276,3,137
420,324,2163,3,133
421,2038,2157,3,138
422,1584,2156,3,135
423,1325,2131,3,128
424,434,2097,3,137
425,384,2054,3,139
426,1783,1973,3,144
427,2377,1956,3,127
428,1918,1940,3,138
429,1913,1909,3,136
430,2164,1904,3,150
