cell,x,y,slice,radius
0,0,5864,0,0
1,2042,5694,3,132
2,1922,5630,3,149
3,2188,5576,3,126
4,2275,5556,3,127
5,2091,5553,3,144
6,2188,5449,3,126
7,2232,5407,3,149
8,2555,5347,3,141
9,2027,5345,3,135
10,2775,5324,3,141
11,2146,5311,3,138
12,2450,5290,3,140
13,2196,5228,3,136
14,2266,5161,3,130
15,2623,5147,3,136
16,2682,5111,3,147
17,2724,5090,3,142
18,2755,5087,3,148
19,2388,5083,3,148
20,2707,5078,3,130
21,2471,5040,3,137
22,2631,5036,3,138
23,2924,5021,3,128
24,2286,5000,3,126
25,2957,4991,3,138
26,2184,4978,3,127
27,3184,4966,3,145
28,3208,4951,3,128
29,2834,4887,3,134
30,2628,4852,3,147
31,2731,4831,3,140
32,2526,4802,3,135
33,3268,4797,3,132
34,2801,4785,3,142
35,3372,4763,3,131
36,2591,4744,3,132
37,2273,4727,3,145
38,2997,4723,3,138
39,2911,4663,3,149
40,3413,4639,3,133
41,2256,4617,3,136
42,3494,4589,3,135
43,2250,4580,3,146
44,3271,4582,3,146
45,3162,4557,3,131
46,2401,4516,3,126
47,3483,4511,3,137
48,3177,4475,3,145
49,3547,4446,3,134
50,2278,4439,3,129
51,3281,4428,3,132
52,2278,4409,3,145
53,2605,4380,3,140
54,3006,4335,3,141
55,3716,4333,3,130
56,2680,4232,3,141
57,3608,4231,3,142
58,3141,4178,3,145
59,2701,4153,3,127
60,2913,4047,3,148
61,2475,4018,3,139
62,2699,4016,3,128
63,3363,3974,3,130
64,3698,3959,3,133
65,3862,3899,3,131
66,3328,3895,3,126
67,2747,3876,3,135
68,3499,3856,3,140
69,2498,3850,3,135
70,2997,3824,3,145
71,3215,3824,3,125
72,2601,3809,3,148
73,3179,3810,3,146
74,3912,3801,3,128
75,2329,3793,3,141
76,3251,3787,3,142
77,2750,3736,3,150
78,3174,3726,3,137
79,4022,3700,3,150
80,2434,3683,3,150
81,3725,3669,3,150
82,3839,3636,3,125
83,3959,3629,3,145
84,2993,3625,3,149
85,3266,3603,3,128
86,2444,3596,3,125
87,2701,3595,3,141
88,2511,3595,3,135
89,3537,3591,3,147
90,3583,3540,3,126
91,2538,3535,3,127
92,3766,3518,3,138
93,3550,3519,3,135
94,2475,3489,3,142
95,3879,3468,3,141
96,3017,3414,3,129
97,2471,3374,3,142
98,2694,3368,3,146
99,2565,3362,3,134
100,3185,3360,3,125
101,4044,3347,3,147
102,3567,3276,3,142
103,3885,3245,3,134
104,3664,3227,3,130
105,4144,3214,3,135
106,2466,3205,3,128
107,3484,3183,3,141
108,3286,3174,3,149
109,3051,3145,3,141
110,3752,3127,3,132
111,3944,3108,3,139
112,3196,3071,3,126
113,3680,3070,3,137
114,3208,3057,3,131
115,3260,3033,3,131
116,3076,3005,3,135
117,2808,2982,3,146
118,3799,2974,3,130
119,3037,2977,3,147
120,2801,2943,3,137
121,3495,2916,3,143
122,4046,2861,3,145
123,3531,2853,3,126
124,2665,2796,3,145
125,2608,2770,3,131
126,2720,2723,3,127
127,3191,2710,3,131
128,2903,2712,3,143
129,3961,2678,3,134
130,3280,2660,3,150
131,3490,2660,3,143
132,2921,2627,3,147
133,2555,2616,3,136
134,3465,2610,3,145
135,2797,2540,3,142
136,2621,2543,3,131
137,3844,2534,3,128
138,3513,2529,3,134
139,3345,2527,3,139
140,3995,2497,3,125
141,4208,2486,3,145
142,2549,2472,3,133
143,3327,2428,3,141
144,2516,2420,3,145
145,3883,2410,3,134
146,2271,2393,3,138
147,3413,2383,3,144
148,3775,2377,3,134
149,3331,2352,3,127
150,2858,2308,3,128
151,3708,2300,3,149
152,4013,2284,3,146
153,2479,2265,3,131
154,3414,2258,3,150
155,4004,2257,3,137
156,3668,2218,3,145
157,3099,2190,3,134
158,2796,2173,3,132
159,3110,2173,3,136
160,2895,2138,3,128
161,2277,2124,3,134
162,3977,2124,3,145
163,3265,2098,3,139
164,3581,2010,3,145
165,3125,1934,3,138
166,2135,1851,3,131
167,3336,1851,3,140
168,2249,1838,3,132
169,2971,1831,3,146
170,3924,1822,3,138
171,2864,1819,3,135
172,3778,1804,3,129
173,3350,1801,3,128
174,2793,1790,3,133
175,2139,1793,3,129
176,2273,1756,3,143
177,3100,1743,3,134
178,3576,1728,3,146
179,2099,1677,3,132
180,2462,1670,3,137
181,2079,1659,3,131
182,3482,1633,3,125
183,3414,1622,3,145
184,2980,1616,3,148
185,3750,1601,3,130
186,2691,1570,3,126
187,2845,1569,3,138
