comp,bumber of nodes,global clustering coefficient,transitivity
1,20,0.621031746031746,0.5869565217391305
2,52,0.6250929625929627,0.6728971962616822
3,22,0.4829004329004329,0.6083916083916084
4,3,1.0,1.0
5,5,0.5333333333333333,0.6
6,6,0.7777777777777777,0.6923076923076923
7,8,0.8398809523809524,0.7840909090909091
8,8,0.575,0.7021276595744681
9,8,0.0,0.0
10,6,0.3888888888888889,0.42857142857142855
11,21,0.4567271352985639,0.5443037974683544
12,11,0.7272727272727273,0.6363636363636364
13,3,0.0,0.0
