cell,x,y,slice,radius
0,0,6045,0,0
1,2877,5973,1,130
2,2657,5971,1,137
3,2299,5964,1,135
4,2156,5909,1,150
5,2092,5900,1,137
6,2424,5887,1,133
7,2464,5868,1,132
8,3069,5867,1,129
9,2317,5868,1,149
10,3187,5856,1,131
11,2511,5839,1,140
12,2248,5836,1,135
13,2421,5826,1,129
14,3386,5815,1,134
15,2814,5812,1,129
16,3194,5807,1,136
17,1956,5800,1,141
18,2752,5790,1,133
19,3337,5779,1,142
20,2242,5755,1,137
21,2064,5734,1,147
22,3582,5661,1,137
23,2394,5647,1,133
24,2314,5641,1,149
25,2201,5594,1,125
26,1965,5594,1,127
27,3226,5594,1,132
28,1838,5582,1,128
29,2013,5551,1,127
30,3368,5506,1,150
31,2195,5491,1,125
32,2614,5490,1,138
33,1883,5441,1,149
34,1936,5444,1,128
35,3165,5405,1,144
36,1916,5375,1,143
37,3058,5372,1,134
38,2208,5368,1,146
39,2944,5363,1,126
40,1835,5360,1,129
41,2569,5346,1,136
42,1875,5300,1,134
43,3175,5294,1,134
44,2161,5287,1,126
45,3280,5263,1,150
46,1936,5259,1,134
47,2586,5250,1,139
48,3678,5246,1,129
49,3140,5241,1,131
50,1820,5234,1,141
51,2208,5219,1,148
52,2260,5205,1,125
53,2624,5198,1,143
54,3205,5189,1,125
55,2825,5174,1,146
56,2474,5163,1,149
57,2521,5153,1,148
58,2068,5140,1,138
59,3267,5138,1,145
60,2770,5140,1,142
61,2634,5134,1,141
62,2732,5118,1,137
63,3616,5090,1,127
64,2020,5088,1,129
65,2563,5085,1,150
66,2255,5070,1,148
67,2035,5046,1,143
68,2451,5045,1,139
69,2724,5036,1,145
70,3476,5002,1,144
71,2272,4955,1,143
72,3251,4947,1,135
73,3305,4929,1,149
74,3914,4929,1,137
75,2672,4920,1,126
76,3702,4912,1,144
77,3328,4907,1,142
78,3473,4893,1,127
79,2914,4861,1,134
80,2332,4857,1,135
81,3389,4850,1,134
82,2423,4846,1,131
83,3264,4842,1,144
84,2749,4818,1,129
85,2491,4792,1,125
86,3362,4793,1,134
87,1918,4780,1,146
88,3698,4776,1,146
89,3124,4774,1,139
90,2902,4767,1,143
91,2390,4750,1,140
92,1963,4710,1,132
93,2738,4710,1,131
94,2153,4686,1,129
95,2924,4680,1,140
96,2476,4670,1,133
97,2124,4652,1,129
98,2268,4652,1,134
99,2666,4611,1,133
100,3271,4606,1,143
101,3720,4608,1,126
102,3065,4600,1,149
103,3587,4583,1,146
104,2856,4576,1,127
105,3373,4561,1,127
106,1859,4531,1,135
107,2092,4512,1,144
108,3042,4514,1,128
109,2731,4511,1,149
110,2559,4499,1,128
111,2414,4496,1,127
112,2250,4488,1,148
113,3490,4487,1,145
114,3185,4473,1,139
115,3455,4470,1,131
116,2400,4462,1,149
117,2608,4408,1,135
118,3737,4403,1,127
119,1987,4364,1,125
120,3717,4354,1,129
121,3340,4348,1,138
122,3392,4344,1,134
123,2020,4319,1,134
124,2380,4315,1,127
125,2813,4306,1,140
126,3009,4292,1,149
127,2151,4290,1,141
128,2004,4263,1,129
129,1855,4263,1,138
130,3674,4263,1,142
131,3283,4260,1,127
132,3490,4255,1,145
133,3903,4253,1,144
134,2517,4248,1,131
135,3050,4244,1,138
136,2567,4225,1,127
137,2325,4205,1,133
138,2386,4199,1,126
139,1883,4191,1,137
140,3194,4190,1,145
141,3279,4186,1,148
142,3132,4175,1,132
143,2356,4147,1,139
144,2214,4113,1,135
145,1849,4106,1,134
146,3912,4087,1,131
147,2184,4064,1,142
148,3087,4048,1,140
149,3966,4022,1,148
150,3044,3999,1,125
151,1927,3974,1,141
152,3586,3968,1,130
153,3904,3959,1,148
154,1907,3937,1,148
155,2796,3923,1,127
156,2873,3919,1,146
157,2947,3914,1,148
158,3005,3905,1,133
159,2174,3856,1,135
160,2547,3849,1,129
161,3207,3821,1,146
162,3208,3795,1,135
163,2832,3780,1,142
164,3663,3772,1,126
165,2490,3776,1,146
166,4000,3753,1,133
167,2481,3707,1,139
168,3151,3712,1,148
169,3571,3698,1,125
170,3647,3674,1,129
171,3348,3651,1,148
172,3012,3626,1,136
173,2062,3615,1,143
174,2259,3601,1,126
175,3243,3584,1,132
176,2904,3565,1,143
177,2828,3532,1,138
178,2617,3486,1,143
179,2014,3457,1,149
180,3074,3440,1,132
181,3409,3440,1,135
182,2189,3412,1,141
183,2877,3386,1,148
184,2923,3360,1,143
185,2563,3324,1,131
186,3003,3325,1,147
187,2110,3305,1,138
188,3110,3305,1,150
189,2749,3297,1,147
190,2130,3288,1,146
191,4037,3223,1,133
192,2968,3223,1,144
193,3573,3205,1,150
194,3387,3179,1,140
195,3348,3175,1,135
196,2004,3166,1,150
197,2787,3131,1,125
198,2701,3022,1,149
199,3108,3013,1,135
200,3234,3006,1,143
201,2464,3000,1,144
202,3802,2967,1,131
203,2788,2966,1,147
204,3239,2930,1,140
205,2370,2926,1,125
206,2894,2915,1,140
207,2855,2879,1,127
208,2085,2864,1,127
209,3544,2875,1,138
210,3139,2824,1,143
211,2400,2813,1,143
212,2944,2788,1,133
213,2381,2775,1,128
214,2696,2782,1,131
215,3692,2781,1,136
216,3902,2780,1,142
217,2800,2782,1,127
218,2876,2775,1,140
219,2922,2769,1,126
220,2272,2735,1,144
221,3313,2709,1,147
222,4088,2671,1,143
223,2187,2649,1,146
224,2390,2636,1,145
225,2600,2575,1,132
226,3836,2528,1,144
227,3396,2517,1,148
228,3075,2506,1,148
229,2929,2507,1,149
230,2640,2482,1,140
231,2808,2419,1,150
232,3728,2401,1,150
233,2174,2399,1,139
234,3233,2367,1,129
