comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,6,0.38888888888888884,0.42857142857142855
3,12,0.5277777777777778,0.46875
4,6,0.16666666666666666,0.3333333333333333
5,28,0.3904761904761905,0.41911764705882354
6,19,0.3902255639097745,0.5348837209302325
7,6,0.25,0.25
8,6,0.611111111111111,0.7142857142857143
9,3,0.0,0.0
10,2,0.0,0.0
11,21,0.4492063492063491,0.6
12,2,0.0,0.0
13,10,0.7233333333333333,0.5581395348837209
14,2,0.0,0.0
15,3,0.0,0.0
16,3,1.0,1.0
17,2,0.0,0.0
18,3,1.0,1.0
19,7,0.23809523809523808,0.3333333333333333
20,2,0.0,0.0
21,4,0.0,0.0
22,13,0.37179487179487175,0.375
23,11,0.5909090909090909,0.5454545454545454
24,2,0.0,0.0
25,6,0.4444444444444444,0.5454545454545454
