node,degree,centrality,clustering
0,0.0,0.0,0.0
1,1.0,0.0,0.0
2,0.0,0.0,0.0
3,1.0,0.0,0.0
4,3.0,0.0,1.0
5,2.0,0.0,1.0
6,3.0,0.0,1.0
7,1.0,0.0,0.0
8,3.0,0.0,1.0
9,3.0,0.0,1.0
10,2.0,0.0,1.0
11,2.0,0.0,1.0
12,0.0,0.0,0.0
13,3.0,198.0,0.3333333333333333
14,3.0,124.0,0.6666666666666666
15,3.0,360.0,0.3333333333333333
16,3.0,124.0,0.6666666666666666
17,3.0,138.0,0.0
18,2.0,0.0,1.0
19,0.0,0.0,0.0
20,1.0,0.0,0.0
21,2.0,0.0,1.0
22,1.0,0.0,0.0
23,5.0,70.16666666666667,0.3
24,2.0,0.0,1.0
25,2.0,0.0,1.0
26,2.0,0.0,1.0
27,6.0,84.03333333333333,0.4
28,0.0,0.0,0.0
29,2.0,0.0,1.0
30,2.0,271.0,0.0
31,6.0,44.38333333333335,0.5333333333333333
32,4.0,55.11666666666668,0.5
33,6.0,27.91666666666666,0.6
34,6.0,117.46666666666668,0.4666666666666667
35,3.0,23.000000000000004,0.6666666666666666
36,4.0,125.88333333333331,0.5
37,4.0,249.0,0.5
38,4.0,2.1666666666666665,0.8333333333333334
39,3.0,140.0,0.3333333333333333
40,1.0,0.0,0.0
41,0.0,0.0,0.0
42,1.0,0.0,0.0
43,5.0,17.866666666666664,0.7
44,3.0,0.0,1.0
45,5.0,124.0,0.6
46,3.0,17.0,0.6666666666666666
47,4.0,126.0,0.16666666666666666
48,4.0,66.0,0.6666666666666666
49,5.0,124.0,0.6
50,1.0,0.0,0.0
51,2.0,0.0,1.0
52,4.0,66.0,0.6666666666666666
53,1.0,0.0,0.0
54,3.0,70.0,0.3333333333333333
55,3.0,17.0,0.6666666666666666
56,1.0,0.0,0.0
57,2.0,0.0,1.0
58,2.0,0.0,1.0
59,2.0,0.0,1.0
60,1.0,0.0,0.0
61,1.0,0.0,0.0
62,1.0,0.0,0.0
63,1.0,0.0,0.0
64,5.0,34.0,0.3
65,0.0,0.0,0.0
66,4.0,10.0,0.8333333333333334
67,2.0,4.0,0.0
68,4.0,10.0,0.8333333333333334
69,4.0,10.0,0.8333333333333334
70,2.0,4.0,0.0
71,1.0,0.0,0.0
72,0.0,0.0,0.0
73,4.0,48.0,0.5
74,0.0,0.0,0.0
75,1.0,0.0,0.0
76,2.0,0.0,1.0
77,3.0,840.0,0.3333333333333333
78,3.0,46.0,0.0
79,2.0,806.0,0.0
80,2.0,18.0,0.0
81,4.0,530.0,0.16666666666666666
82,3.0,768.0,0.3333333333333333
83,1.0,0.0,0.0
84,4.0,66.0,0.6666666666666666
85,5.0,610.0,0.5
86,1.0,0.0,0.0
87,3.0,896.0,0.3333333333333333
88,2.0,18.0,0.0
89,4.0,16.0,0.6666666666666666
90,3.0,918.0,0.3333333333333333
91,1.0,0.0,0.0
92,1.0,0.0,0.0
93,3.0,32.0,0.3333333333333333
94,3.0,0.0,1.0
95,5.0,137.99999999999994,0.3
96,3.0,450.0,0.6666666666666666
97,4.0,5.333333333333333,0.6666666666666666
98,4.0,1.25,0.8333333333333334
99,3.0,450.0,0.6666666666666666
100,3.0,32.0,0.3333333333333333
101,3.0,66.66666666666669,0.6666666666666666
102,4.0,847.6666666666665,0.5
103,3.0,48.0,0.3333333333333333
104,4.0,960.0,0.3333333333333333
105,4.0,960.0,0.3333333333333333
106,5.0,3.4999999999999996,0.7
107,9.0,860.8023809523813,0.3611111111111111
108,0.0,0.0,0.0
109,3.0,42.0,0.3333333333333333
110,3.0,8.0,0.6666666666666666
111,2.0,18.0,0.0
112,6.0,50.50238095238094,0.6
113,4.0,924.0,0.5
114,2.0,0.0,1.0
115,3.0,8.0,0.6666666666666666
116,1.0,0.0,0.0
117,3.0,21.0,0.6666666666666666
118,3.0,21.0,0.6666666666666666
119,6.0,43.528571428571425,0.6
120,4.0,210.13571428571424,0.6666666666666666
121,6.0,259.32857142857137,0.5333333333333333
122,4.0,57.45238095238096,0.5
123,5.0,388.8809523809523,0.3
124,1.0,0.0,0.0
125,0.0,0.0,0.0
126,2.0,0.0,1.0
127,1.0,0.0,0.0
128,3.0,21.28571428571429,0.3333333333333333
129,1.0,0.0,0.0
130,4.0,247.66666666666666,0.3333333333333333
131,1.0,0.0,0.0
132,1.0,0.0,0.0
133,1.0,0.0,0.0
134,2.0,4.0,0.0
135,1.0,0.0,0.0
136,2.0,168.0,0.0
137,1.0,0.0,0.0
138,2.0,86.0,0.0
139,2.0,4.0,0.0
140,1.0,0.0,0.0
141,2.0,0.0,1.0
142,0.0,0.0,0.0
143,1.0,0.0,0.0
144,2.0,0.0,1.0
145,2.0,0.0,1.0
146,0.0,0.0,0.0
147,2.0,12.0,0.0
148,1.0,0.0,0.0
149,2.0,20.0,0.0
150,0.0,0.0,0.0
151,2.0,16.0,0.0
152,2.0,24.0,0.0
153,1.0,0.0,0.0
154,1.0,0.0,0.0
155,3.0,0.0,1.0
156,3.0,2.0,0.6666666666666666
157,2.0,28.0,0.0
158,3.0,0.0,1.0
159,3.0,6.0,0.3333333333333333
160,1.0,0.0,0.0
161,3.0,24.0,0.3333333333333333
162,3.0,2.0,0.6666666666666666
163,3.0,0.0,1.0
164,2.0,2.0,0.0
165,3.0,16.0,0.3333333333333333
166,1.0,0.0,0.0
167,3.0,0.0,1.0
168,1.0,0.0,0.0
169,1.0,0.0,0.0
170,3.0,36.0,0.3333333333333333
171,2.0,0.0,1.0
172,2.0,0.0,1.0
173,2.0,8.0,0.0
174,3.0,12.0,0.3333333333333333
175,3.0,36.0,0.3333333333333333
176,1.0,0.0,0.0
177,2.0,28.0,0.0
178,2.0,12.0,0.0
179,2.0,16.0,0.0
180,1.0,0.0,0.0
181,3.0,14.0,0.0
182,1.0,0.0,0.0
183,0.0,0.0,0.0
184,1.0,0.0,0.0
185,0.0,0.0,0.0
186,1.0,0.0,0.0
187,0.0,0.0,0.0
188,1.0,0.0,0.0
189,2.0,0.0,1.0
190,3.0,12.0,0.3333333333333333
191,2.0,0.0,1.0
192,4.0,0.6666666666666666,0.8333333333333334
193,3.0,0.0,1.0
194,4.0,0.6666666666666666,0.8333333333333334
195,5.0,68.66666666666666,0.6
196,4.0,34.0,0.6666666666666666
197,0.0,0.0,0.0
198,2.0,12.0,0.0
199,2.0,0.0,1.0
200,2.0,0.0,1.0
201,1.0,0.0,0.0
