comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,5,0.4666666666666666,0.5
3,3,0.0,0.0
4,2,0.0,0.0
5,11,0.3484848484848485,0.3157894736842105
6,2,0.0,0.0
7,2,0.0,0.0
8,2,0.0,0.0
9,5,0.8666666666666666,0.7894736842105263
10,11,0.6134199134199134,0.5675675675675675
11,2,0.0,0.0
12,3,0.0,0.0
13,3,1.0,1.0
14,2,0.0,0.0
15,4,0.5833333333333333,0.6
16,2,0.0,0.0
17,4,0.5833333333333334,0.6
18,2,0.0,0.0
19,3,1.0,1.0
20,2,0.0,0.0
21,2,0.0,0.0
22,3,1.0,1.0
23,10,0.16666666666666666,0.3333333333333333
24,6,0.3888888888888889,0.375
25,2,0.0,0.0
26,2,0.0,0.0
27,2,0.0,0.0
28,2,0.0,0.0
29,2,0.0,0.0
30,3,1.0,1.0
31,3,1.0,1.0
32,16,0.3979166666666667,0.6206896551724138
33,3,0.0,0.0
34,2,0.0,0.0
35,2,0.0,0.0
36,8,0.125,0.2727272727272727
37,3,0.0,0.0
38,4,0.0,0.0
39,3,1.0,1.0
40,6,0.5833333333333334,0.75
41,2,0.0,0.0
42,2,0.0,0.0
43,3,0.0,0.0
44,2,0.0,0.0
45,3,1.0,1.0
46,4,0.5833333333333334,0.6
47,12,0.6305555555555554,0.42857142857142855
48,2,0.0,0.0
49,3,1.0,1.0
50,7,0.42857142857142855,0.42857142857142855
51,3,0.0,0.0
52,6,0.0,0.0
53,2,0.0,0.0
54,3,1.0,1.0
55,3,0.0,0.0
56,3,0.0,0.0
57,4,0.5833333333333333,0.6
58,2,0.0,0.0
59,4,0.0,0.0
60,6,0.38888888888888884,0.46153846153846156
61,2,0.0,0.0
62,2,0.0,0.0
63,6,0.38888888888888884,0.42857142857142855
64,3,1.0,1.0
65,2,0.0,0.0
66,3,0.0,0.0
67,4,0.0,0.0
68,2,0.0,0.0
69,2,0.0,0.0
70,3,1.0,1.0
71,3,0.0,0.0
72,2,0.0,0.0
73,3,0.0,0.0
74,3,0.0,0.0
75,2,0.0,0.0
76,2,0.0,0.0
77,2,0.0,0.0
78,2,0.0,0.0
