node,degree,centrality,clustering
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,1.0,0.0,0.0
4,2.0,28.0,0.0
5,0.0,0.0,0.0
6,2.0,52.0,0.0
7,4.0,72.0,0.5
8,0.0,0.0,0.0
9,4.0,11.066666666666668,0.8333333333333334
10,0.0,0.0,0.0
11,4.0,11.066666666666668,0.8333333333333334
12,5.0,61.86666666666666,0.5
13,1.0,0.0,0.0
14,4.0,50.86666666666667,0.5
15,4.0,61.133333333333326,0.16666666666666666
16,0.0,0.0,0.0
17,3.0,17.066666666666666,0.6666666666666666
18,4.0,68.93333333333334,0.3333333333333333
19,1.0,0.0,0.0
20,3.0,72.0,0.3333333333333333
21,1.0,0.0,0.0
22,2.0,2.0,0.0
23,1.0,0.0,0.0
24,1.0,0.0,0.0
25,2.0,52.0,0.0
26,1.0,0.0,0.0
27,1.0,0.0,0.0
28,0.0,0.0,0.0
29,1.0,0.0,0.0
30,2.0,28.0,0.0
31,1.0,0.0,0.0
32,1.0,0.0,0.0
33,1.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,2.0,2.0,0.0
38,1.0,0.0,0.0
39,1.0,0.0,0.0
40,2.0,8.0,0.0
41,1.0,0.0,0.0
42,2.0,6.0,0.0
43,0.0,0.0,0.0
44,2.0,6.0,0.0
45,1.0,0.0,0.0
46,1.0,0.0,0.0
47,0.0,0.0,0.0
48,1.0,0.0,0.0
49,0.0,0.0,0.0
50,3.0,4.0,0.3333333333333333
51,2.0,0.0,1.0
52,1.0,0.0,0.0
53,2.0,0.0,1.0
54,0.0,0.0,0.0
55,1.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,2.0,8.0,0.0
59,0.0,0.0,0.0
60,2.0,6.0,0.0
61,1.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,2.0,6.0,0.0
65,1.0,0.0,0.0
66,1.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,1.0,0.0,0.0
71,2.0,2.0,0.0
72,0.0,0.0,0.0
73,1.0,0.0,0.0
74,2.0,6.0,0.0
75,0.0,0.0,0.0
76,1.0,0.0,0.0
77,0.0,0.0,0.0
78,1.0,0.0,0.0
79,0.0,0.0,0.0
80,2.0,8.0,0.0
81,1.0,0.0,0.0
82,3.0,6.0,0.0
83,0.0,0.0,0.0
84,1.0,0.0,0.0
85,1.0,0.0,0.0
86,2.0,6.0,0.0
87,0.0,0.0,0.0
88,1.0,0.0,0.0
89,1.0,0.0,0.0
90,1.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,1.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,1.0,0.0,0.0
97,1.0,0.0,0.0
98,0.0,0.0,0.0
99,3.0,3.0,0.6666666666666666
100,1.0,0.0,0.0
101,3.0,6.0,0.0
102,1.0,0.0,0.0
103,3.0,1.0,0.6666666666666666
104,2.0,0.0,1.0
105,2.0,0.0,1.0
106,3.0,3.0,0.6666666666666666
107,4.0,12.0,0.3333333333333333
108,1.0,0.0,0.0
109,1.0,0.0,0.0
110,2.0,6.0,0.0
111,1.0,0.0,0.0
112,1.0,0.0,0.0
113,2.0,0.0,1.0
114,3.0,1.0,0.6666666666666666
115,2.0,0.0,1.0
116,2.0,0.0,1.0
117,2.0,8.0,0.0
118,0.0,0.0,0.0
119,1.0,0.0,0.0
120,2.0,2.0,0.0
121,1.0,0.0,0.0
122,0.0,0.0,0.0
123,2.0,6.0,0.0
124,1.0,0.0,0.0
125,1.0,0.0,0.0
126,1.0,0.0,0.0
127,1.0,0.0,0.0
128,0.0,0.0,0.0
129,2.0,0.0,1.0
130,1.0,0.0,0.0
131,3.0,24.0,0.3333333333333333
132,2.0,0.0,1.0
133,3.0,30.0,0.3333333333333333
134,1.0,0.0,0.0
135,2.0,0.0,1.0
136,0.0,0.0,0.0
137,2.0,4.0,0.0
138,1.0,0.0,0.0
139,1.0,0.0,0.0
140,3.0,30.0,0.3333333333333333
141,2.0,4.0,0.0
142,0.0,0.0,0.0
143,1.0,0.0,0.0
144,1.0,0.0,0.0
145,3.0,26.0,0.0
146,2.0,0.0,1.0
147,0.0,0.0,0.0
148,1.0,0.0,0.0
149,1.0,0.0,0.0
150,2.0,0.0,1.0
151,0.0,0.0,0.0
152,1.0,0.0,0.0
153,1.0,0.0,0.0
154,3.0,4.0,0.3333333333333333
155,1.0,0.0,0.0
156,2.0,2.0,0.0
157,1.0,0.0,0.0
158,1.0,0.0,0.0
159,1.0,0.0,0.0
160,1.0,0.0,0.0
161,1.0,0.0,0.0
162,0.0,0.0,0.0
163,1.0,0.0,0.0
164,1.0,0.0,0.0
165,1.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,1.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,1.0,0.0,0.0
172,0.0,0.0,0.0
173,1.0,0.0,0.0
174,1.0,0.0,0.0
175,1.0,0.0,0.0
176,1.0,0.0,0.0
177,1.0,0.0,0.0
178,1.0,0.0,0.0
179,0.0,0.0,0.0
180,2.0,2.0,0.0
181,0.0,0.0,0.0
182,1.0,0.0,0.0
183,1.0,0.0,0.0
184,2.0,0.0,1.0
185,2.0,0.0,1.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,2.0,0.0,1.0
189,1.0,0.0,0.0
190,2.0,4.0,0.0
191,2.0,4.0,0.0
192,1.0,0.0,0.0
193,0.0,0.0,0.0
194,1.0,0.0,0.0
195,1.0,0.0,0.0
196,1.0,0.0,0.0
197,1.0,0.0,0.0
198,1.0,0.0,0.0
199,2.0,2.0,0.0
