comp,bumber of nodes,global clustering coefficient,transitivity
1,6,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.5833333333333333,0.6
5,4,0.0,0.0
6,2,0.0,0.0
7,2,0.0,0.0
8,2,0.0,0.0
9,2,0.0,0.0
10,4,0.0,0.0
11,2,0.0,0.0
12,3,0.0,0.0
13,4,0.5833333333333334,0.6
14,3,0.0,0.0
15,2,0.0,0.0
16,3,1.0,1.0
17,2,0.0,0.0
18,2,0.0,0.0
19,2,0.0,0.0
20,3,1.0,1.0
21,2,0.0,0.0
22,3,0.0,0.0
23,2,0.0,0.0
24,2,0.0,0.0
25,4,0.5833333333333333,0.6
26,4,0.0,0.0
27,2,0.0,0.0
28,2,0.0,0.0
29,2,0.0,0.0
30,2,0.0,0.0
31,2,0.0,0.0
32,2,0.0,0.0
33,7,0.7238095238095238,0.5357142857142857
34,2,0.0,0.0
35,2,0.0,0.0
36,2,0.0,0.0
37,2,0.0,0.0
38,2,0.0,0.0
39,2,0.0,0.0
40,2,0.0,0.0
41,2,0.0,0.0
42,3,0.0,0.0
43,3,1.0,1.0
44,2,0.0,0.0
45,2,0.0,0.0
46,2,0.0,0.0
47,2,0.0,0.0
48,4,0.0,0.0
49,8,0.43750000000000006,0.6774193548387096
50,4,0.5833333333333333,0.6
51,2,0.0,0.0
52,3,1.0,1.0
53,3,0.0,0.0
54,3,0.0,0.0
55,2,0.0,0.0
56,2,0.0,0.0
57,4,0.0,0.0
