cell,x,y,slice,radius
0,0,5642,0,0
1,2497,5593,1,130
2,2716,5588,1,131
3,3115,5565,1,144
4,2065,5516,1,150
5,3165,5487,1,140
6,2495,5480,1,142
7,2398,5470,1,135
8,1999,5446,1,135
9,2927,5437,1,137
10,2120,5415,1,140
11,2807,5413,1,128
12,1886,5406,1,130
13,2110,5399,1,146
14,2637,5379,1,141
15,3521,5361,1,133
16,1752,5355,1,149
17,2497,5356,1,131
18,3428,5346,1,146
19,2122,5326,1,129
20,2597,5312,1,146
21,3279,5295,1,149
22,3407,5290,1,144
23,2504,5291,1,127
24,1959,5289,1,129
25,3251,5278,1,130
26,2726,5272,1,140
27,3487,5259,1,131
28,2914,5245,1,147
29,3062,5243,1,147
30,2076,5242,1,127
31,1838,5222,1,145
32,1745,5198,1,134
33,2641,5192,1,134
34,2321,5187,1,148
35,2634,5156,1,125
36,2357,5154,1,131
37,1931,5126,1,133
38,2558,5117,1,143
39,2021,5117,1,140
40,1956,5112,1,135
41,3188,5088,1,128
42,2243,5080,1,144
43,2639,5055,1,131
44,1879,5046,1,141
45,2523,5033,1,131
46,1875,5023,1,133
47,2574,5017,1,126
48,3454,4984,1,129
49,2346,4913,1,131
50,3090,4910,1,131
51,1957,4887,1,147
52,3392,4885,1,132
53,2335,4860,1,138
54,3301,4844,1,137
55,1989,4832,1,139
56,3696,4789,1,147
57,1881,4771,1,140
58,2423,4730,1,127
59,2130,4715,1,146
60,3747,4686,1,142
61,2765,4677,1,137
62,1865,4654,1,129
63,2561,4646,1,141
64,2355,4643,1,149
65,2172,4641,1,141
66,3584,4607,1,131
67,2215,4608,1,148
68,2721,4601,1,150
69,3266,4593,1,126
70,2682,4589,1,133
71,1893,4573,1,142
72,2167,4563,1,140
73,3731,4555,1,130
74,3492,4552,1,142
75,3659,4518,1,150
76,3699,4514,1,133
77,3588,4489,1,147
78,3113,4478,1,149
79,3088,4467,1,139
80,2687,4430,1,131
81,3914,4415,1,125
82,3393,4396,1,135
83,2296,4384,1,145
84,1978,4358,1,142
85,2458,4311,1,132
86,2645,4243,1,135
87,3048,4143,1,128
88,2048,4134,1,150
89,3022,4131,1,129
90,2862,4102,1,140
91,2969,4101,1,133
92,1842,4096,1,132
93,3666,4093,1,138
94,3163,4080,1,143
95,2870,4079,1,143
96,2604,4057,1,145
97,3207,4026,1,125
98,2472,3986,1,136
99,2871,3980,1,146
100,2102,3976,1,140
101,2530,3966,1,127
102,2566,3932,1,132
103,2921,3913,1,150
104,2513,3909,1,139
105,2924,3868,1,137
106,1930,3838,1,132
107,2174,3823,1,149
108,3390,3812,1,126
109,2759,3806,1,127
110,3743,3804,1,137
111,2169,3741,1,136
112,2308,3705,1,130
113,3623,3691,1,130
114,2932,3689,1,125
115,2727,3640,1,143
116,1937,3619,1,135
117,3611,3588,1,149
118,2004,3586,1,133
119,2979,3583,1,127
120,1963,3582,1,136
121,2628,3578,1,125
122,3538,3566,1,143
123,2858,3560,1,128
124,2141,3418,1,132
125,3210,3410,1,146
126,2463,3395,1,141
127,2558,3396,1,141
128,2976,3355,1,147
129,3237,3350,1,139
130,3058,3346,1,150
131,3241,3337,1,134
132,2584,3324,1,131
133,3513,3286,1,132
134,2600,3277,1,134
135,3020,3272,1,143
136,3383,3238,1,137
137,3235,3227,1,127
138,3645,3191,1,125
139,2053,3189,1,126
140,2573,3181,1,143
141,3399,3169,1,132
142,3465,3164,1,133
143,3329,3150,1,150
144,2984,3138,1,146
145,3650,3137,1,134
146,3742,3084,1,126
147,2564,3070,1,136
148,3344,3063,1,140
149,2620,3060,1,135
150,3697,3020,1,144
151,2786,3002,1,129
152,3314,2965,1,142
153,3864,2953,1,129
154,2231,2947,1,130
155,2420,2939,1,148
156,3133,2924,1,145
157,3354,2911,1,142
158,2122,2912,1,140
159,3208,2844,1,128
160,2354,2844,1,129
161,3698,2833,1,142
162,2281,2796,1,146
163,2959,2780,1,134
164,2180,2762,1,142
165,3821,2733,1,139
166,2382,2716,1,135
167,2876,2714,1,134
168,3033,2675,1,150
169,2217,2665,1,139
170,2699,2651,1,133
171,2349,2576,1,144
172,2992,2555,1,145
173,2702,2509,1,135
174,3240,2492,1,131
175,3380,2469,1,137
176,3250,2463,1,131
177,3374,2397,1,129
178,3826,2394,1,139
179,3632,2380,1,141
180,3235,2373,1,130
181,3442,2368,1,141
182,2946,2364,1,150
183,2875,2356,1,149
184,2934,2352,1,127
185,3484,2357,1,132
186,3251,2355,1,132
187,2589,2330,1,144
188,2322,2319,1,129
189,3755,2308,1,126
190,3682,2310,1,134
191,3256,2303,1,132
192,3514,2284,1,134
193,3959,2278,1,148
194,2485,2279,1,130
195,2301,2276,1,150
196,4008,2258,1,127
197,2429,2247,1,137
198,2840,2219,1,126
199,2897,2216,1,128
200,3589,2210,1,144
201,2382,2195,1,143
202,3636,2172,1,148
203,3405,2158,1,134
204,3724,2150,1,130
205,2389,2147,1,141
206,3079,2142,1,138
207,3836,2138,1,141
208,2377,2134,1,128
209,3470,2114,1,130
210,3512,2079,1,127
211,2673,2073,1,135
212,4007,2062,1,144
213,3620,2061,1,137
214,2770,2060,1,146
215,3758,1994,1,131
216,2557,1989,1,145
217,3378,1956,1,148
218,2772,1916,1,150
219,2635,1913,1,138
220,2891,1914,1,148
221,3129,1877,1,137
222,3646,1874,1,141
223,3927,1840,1,131
224,2856,1824,1,146
225,3501,1789,1,136
226,3925,1769,1,132
227,3377,1758,1,128
228,2707,1751,1,126
229,3564,1682,1,139
230,2724,1675,1,130
231,3057,1670,1,126
232,3656,1632,1,135
233,3632,1625,1,126
234,2935,1524,1,140
235,2690,1461,1,150
236,2923,1416,1,144
237,2991,1376,1,136
238,3163,1346,1,130
239,3925,1324,1,139
240,2945,1315,1,138
241,2929,1299,1,140
242,3067,1277,1,130
243,3640,1265,1,125
244,3524,1255,1,137
245,3142,1242,1,133
246,2971,1112,1,133
247,2947,1093,1,135
248,2907,1087,1,135
249,3597,996,1,148
250,2894,987,1,146
251,3222,874,1,141
252,3335,846,1,147
253,3312,777,1,149
254,3323,741,1,144
255,3240,559,1,126
256,3191,553,1,136
