cell,x,y,slice,radius
0,0,5642,0,0
1,2497,5593,1,133
2,2716,5588,1,130
3,3115,5565,1,144
4,2065,5516,1,144
5,3165,5487,1,144
6,2495,5480,1,127
7,2398,5470,1,132
8,1999,5446,1,126
9,2927,5437,1,133
10,2120,5415,1,141
11,2807,5413,1,125
12,1886,5406,1,137
13,2110,5399,1,129
14,2637,5379,1,131
15,3521,5361,1,126
16,1752,5355,1,142
17,2497,5356,1,145
18,3428,5346,1,128
19,2122,5326,1,129
20,2597,5312,1,126
21,3279,5295,1,140
22,3407,5290,1,136
23,2504,5291,1,137
24,1959,5289,1,135
25,3251,5278,1,145
26,2726,5272,1,139
27,3487,5259,1,138
28,2914,5245,1,131
29,3062,5243,1,128
30,2076,5242,1,144
31,1838,5222,1,144
32,1745,5198,1,132
33,2641,5192,1,135
34,2321,5187,1,143
35,2634,5156,1,147
36,2357,5154,1,130
37,1931,5126,1,141
38,2558,5117,1,129
39,2021,5117,1,146
40,1956,5112,1,150
41,3188,5088,1,141
42,2243,5080,1,127
43,2639,5055,1,149
44,1879,5046,1,150
45,2523,5033,1,134
46,1875,5023,1,125
47,2574,5017,1,144
48,3454,4984,1,150
49,2346,4913,1,135
50,3090,4910,1,138
51,1957,4887,1,149
52,3392,4885,1,137
53,2335,4860,1,148
54,3301,4844,1,142
55,1989,4832,1,128
56,3696,4789,1,139
57,1881,4771,1,144
58,2423,4730,1,129
59,2130,4715,1,138
60,3747,4686,1,137
61,2765,4677,1,147
62,1865,4654,1,141
63,2561,4646,1,132
64,2355,4643,1,131
65,2172,4641,1,134
66,3584,4607,1,148
67,2215,4608,1,149
68,2721,4601,1,134
69,3266,4593,1,142
70,2682,4589,1,131
71,1893,4573,1,134
72,2167,4563,1,150
73,3731,4555,1,138
74,3492,4552,1,128
75,3659,4518,1,141
76,3699,4514,1,142
77,3588,4489,1,150
78,3113,4478,1,132
79,3088,4467,1,147
80,2687,4430,1,131
81,3914,4415,1,129
82,3393,4396,1,130
83,2296,4384,1,136
84,1978,4358,1,141
85,2458,4311,1,133
86,2645,4243,1,144
87,3048,4143,1,138
88,2048,4134,1,144
89,3022,4131,1,136
90,2862,4102,1,131
91,2969,4101,1,145
92,1842,4096,1,146
93,3666,4093,1,132
94,3163,4080,1,149
95,2870,4079,1,146
96,2604,4057,1,131
97,3207,4026,1,130
98,2472,3986,1,131
99,2871,3980,1,141
100,2102,3976,1,145
101,2530,3966,1,125
102,2566,3932,1,139
103,2921,3913,1,129
104,2513,3909,1,144
105,2924,3868,1,139
106,1930,3838,1,128
107,2174,3823,1,126
108,3390,3812,1,130
109,2759,3806,1,126
110,3743,3804,1,127
111,2169,3741,1,126
112,2308,3705,1,133
113,3623,3691,1,140
114,2932,3689,1,127
115,2727,3640,1,147
116,1937,3619,1,133
117,3611,3588,1,138
118,2004,3586,1,131
119,2979,3583,1,125
120,1963,3582,1,145
121,2628,3578,1,126
122,3538,3566,1,146
123,2858,3560,1,135
124,2141,3418,1,127
125,3210,3410,1,128
126,2463,3395,1,146
127,2558,3396,1,126
128,2976,3355,1,131
129,3237,3350,1,150
130,3058,3346,1,137
131,3241,3337,1,142
132,2584,3324,1,125
133,3513,3286,1,141
134,2600,3277,1,139
135,3020,3272,1,149
136,3383,3238,1,143
137,3235,3227,1,133
138,3645,3191,1,144
139,2053,3189,1,134
140,2573,3181,1,134
141,3399,3169,1,140
142,3465,3164,1,134
143,3329,3150,1,137
144,2984,3138,1,145
145,3650,3137,1,138
146,3742,3084,1,125
147,2564,3070,1,131
148,3344,3063,1,136
149,2620,3060,1,147
150,3697,3020,1,147
151,2786,3002,1,144
152,3314,2965,1,148
153,3864,2953,1,135
154,2231,2947,1,146
155,2420,2939,1,144
156,3133,2924,1,138
157,3354,2911,1,129
158,2122,2912,1,132
159,3208,2844,1,129
160,2354,2844,1,141
161,3698,2833,1,145
162,2281,2796,1,134
163,2959,2780,1,125
164,2180,2762,1,144
165,3821,2733,1,128
166,2382,2716,1,135
167,2876,2714,1,140
168,3033,2675,1,137
169,2217,2665,1,143
170,2699,2651,1,126
171,2349,2576,1,143
172,2992,2555,1,127
173,2702,2509,1,141
174,3240,2492,1,128
175,3380,2469,1,144
176,3250,2463,1,129
177,3374,2397,1,134
178,3826,2394,1,127
179,3632,2380,1,138
180,3235,2373,1,130
181,3442,2368,1,150
182,2946,2364,1,146
183,2875,2356,1,150
184,2934,2352,1,129
185,3484,2357,1,129
186,3251,2355,1,150
187,2589,2330,1,137
188,2322,2319,1,146
189,3755,2308,1,146
190,3682,2310,1,137
191,3256,2303,1,137
192,3514,2284,1,146
193,3959,2278,1,128
194,2485,2279,1,133
195,2301,2276,1,146
196,4008,2258,1,149
197,2429,2247,1,126
198,2840,2219,1,131
199,2897,2216,1,129
200,3589,2210,1,143
201,2382,2195,1,125
202,3636,2172,1,148
203,3405,2158,1,138
204,3724,2150,1,148
205,2389,2147,1,148
206,3079,2142,1,142
207,3836,2138,1,127
208,2377,2134,1,130
209,3470,2114,1,137
210,3512,2079,1,145
211,2673,2073,1,138
212,4007,2062,1,130
213,3620,2061,1,128
214,2770,2060,1,126
215,3758,1994,1,138
216,2557,1989,1,143
217,3378,1956,1,133
218,2772,1916,1,139
219,2635,1913,1,136
220,2891,1914,1,128
221,3129,1877,1,137
222,3646,1874,1,141
223,3927,1840,1,135
224,2856,1824,1,134
225,3501,1789,1,149
226,3925,1769,1,131
227,3377,1758,1,140
228,2707,1751,1,141
229,3564,1682,1,132
230,2724,1675,1,131
231,3057,1670,1,146
232,3656,1632,1,126
233,3632,1625,1,136
234,2935,1524,1,137
235,2690,1461,1,140
236,2923,1416,1,144
237,2991,1376,1,133
238,3163,1346,1,128
239,3925,1324,1,133
240,2945,1315,1,135
241,2929,1299,1,146
242,3067,1277,1,145
243,3640,1265,1,142
244,3524,1255,1,139
245,3142,1242,1,145
246,2971,1112,1,146
247,2947,1093,1,132
248,2907,1087,1,141
249,3597,996,1,150
250,2894,987,1,136
251,3222,874,1,128
252,3335,846,1,136
253,3312,777,1,136
254,3323,741,1,128
255,3240,559,1,128
256,3191,553,1,133
257,1701,5395,3,139
258,1534,5313,3,144
259,1617,5255,3,145
260,1612,5174,3,141
261,1632,5138,3,146
262,1628,5054,3,145
263,1162,5028,3,125
264,1231,5024,3,128
265,1596,4981,3,139
266,1377,4918,3,125
267,1571,4865,3,134
268,1351,4819,3,131
269,1278,4806,3,142
270,1013,4773,3,126
271,943,4735,3,147
272,1425,4703,3,142
273,963,4662,3,128
274,1106,4645,3,148
275,936,4634,3,127
276,1263,4613,3,135
277,1094,4585,3,126
278,1390,4570,3,137
279,689,4554,3,130
280,1162,4529,3,128
281,576,4461,3,130
282,1145,4459,3,140
283,733,4455,3,135
284,1454,4370,3,144
285,583,4361,3,147
286,1549,4347,3,127
287,1035,4319,3,140
288,803,4292,3,146
289,970,4280,3,146
290,840,4245,3,142
291,1326,4233,3,133
292,674,4201,3,125
293,1041,4186,3,145
294,504,4169,3,149
295,1760,4168,3,148
296,821,4159,3,138
297,783,4130,3,133
298,379,4104,3,142
299,1114,4095,3,129
300,554,4078,3,126
301,365,4051,3,144
302,434,4000,3,148
303,1496,3992,3,142
304,1348,3964,3,137
305,1522,3951,3,133
306,1178,3946,3,127
307,1432,3935,3,143
308,1638,3870,3,138
309,913,3840,3,129
310,606,3796,3,125
311,505,3756,3,130
312,672,3729,3,145
313,1113,3687,3,128
314,1711,3661,3,128
315,1295,3647,3,136
316,1437,3647,3,130
317,1867,3572,3,129
318,377,3536,3,148
319,1426,3530,3,125
320,443,3528,3,128
321,651,3529,3,126
322,1740,3492,3,146
323,1376,3490,3,144
324,1335,3464,3,139
325,1476,3422,3,148
326,1857,3386,3,142
327,447,3360,3,146
328,721,3312,3,150
329,1710,3201,3,144
330,1010,3160,3,141
331,1630,3069,3,134
332,988,3048,3,132
333,691,3015,3,149
334,44,2987,3,133
335,1115,2940,3,147
336,993,2820,3,125
337,1780,2810,3,132
