comp,bumber of nodes,global clustering coefficient,transitivity
1,2,0.0,0.0
2,3,1.0,1.0
3,2,0.0,0.0
4,3,1.0,1.0
5,2,0.0,0.0
6,2,0.0,0.0
7,2,0.0,0.0
8,2,0.0,0.0
9,2,0.0,0.0
10,2,0.0,0.0
11,4,0.0,0.0
12,2,0.0,0.0
13,2,0.0,0.0
14,2,0.0,0.0
15,2,0.0,0.0
16,2,0.0,0.0
17,2,0.0,0.0
18,2,0.0,0.0
19,2,0.0,0.0
20,2,0.0,0.0
21,2,0.0,0.0
22,2,0.0,0.0
23,2,0.0,0.0
24,4,0.0,0.0
25,2,0.0,0.0
26,2,0.0,0.0
27,2,0.0,0.0
28,2,0.0,0.0
29,2,0.0,0.0
30,2,0.0,0.0
31,3,0.0,0.0
32,3,1.0,1.0
33,2,0.0,0.0
34,2,0.0,0.0
35,3,0.0,0.0
36,3,0.0,0.0
37,2,0.0,0.0
38,3,0.0,0.0
39,2,0.0,0.0
40,2,0.0,0.0
41,2,0.0,0.0
42,2,0.0,0.0
43,3,0.0,0.0
44,3,0.0,0.0
45,2,0.0,0.0
46,3,0.0,0.0
47,2,0.0,0.0
48,10,0.26666666666666666,0.375
49,3,1.0,1.0
50,2,0.0,0.0
51,3,1.0,1.0
52,2,0.0,0.0
53,2,0.0,0.0
54,2,0.0,0.0
55,3,0.0,0.0
56,2,0.0,0.0
57,3,0.0,0.0
58,2,0.0,0.0
59,2,0.0,0.0
60,2,0.0,0.0
61,2,0.0,0.0
62,2,0.0,0.0
63,2,0.0,0.0
64,4,0.5833333333333333,0.6
65,2,0.0,0.0
66,2,0.0,0.0
