cell,x,y,slice,radius
0,0,5374,0,0
1,2290,5341,1,150
2,2285,5323,1,136
3,2264,5252,1,147
4,2169,5197,1,145
5,2515,5192,1,133
6,2424,5161,1,127
7,2176,5140,1,146
8,2383,5049,1,141
9,2187,5037,1,133
10,2260,5017,1,131
11,2532,5016,1,125
12,1947,5000,1,143
13,1694,4974,1,126
14,1859,4916,1,127
15,2490,4895,1,136
16,2170,4862,1,140
17,2402,4835,1,136
18,1604,4829,1,139
19,2314,4816,1,136
20,1639,4788,1,140
21,2003,4777,1,129
22,1745,4763,1,127
23,2398,4758,1,135
24,1690,4718,1,146
25,2514,4711,1,127
26,1410,4675,1,147
27,2073,4644,1,144
28,2040,4618,1,125
29,1878,4590,1,130
30,1362,4572,1,147
31,2064,4552,1,144
32,1712,4528,1,135
33,2361,4501,1,139
34,2406,4496,1,127
35,1851,4496,1,145
36,934,4490,1,128
37,2294,4479,1,150
38,1111,4430,1,127
39,2151,4430,1,149
40,2397,4427,1,136
41,2211,4424,1,139
42,999,4398,1,139
43,1374,4392,1,139
44,2453,4388,1,137
45,1606,4372,1,141
46,2005,4369,1,138
47,2392,4355,1,126
48,2128,4332,1,147
49,1364,4329,1,141
50,1767,4319,1,125
51,1722,4278,1,148
52,2436,4260,1,147
53,1752,4224,1,131
54,2434,4179,1,133
55,1076,4161,1,127
56,2394,4128,1,142
57,730,4102,1,140
58,2006,4098,1,149
59,1727,4090,1,133
60,1623,4044,1,135
61,2296,4040,1,133
62,2319,4035,1,148
63,1611,4021,1,128
64,2482,4009,1,134
65,959,4005,1,135
66,2335,3985,1,134
67,864,3970,1,140
68,1787,3964,1,133
69,1939,3950,1,143
70,1231,3944,1,134
71,2005,3934,1,136
72,1261,3895,1,137
73,1876,3885,1,132
74,1428,3872,1,128
75,2364,3790,1,143
76,1573,3789,1,148
77,2345,3758,1,149
78,1354,3717,1,131
79,1505,3715,1,130
80,1092,3711,1,134
81,2169,3702,1,127
82,2158,3679,1,130
83,2288,3672,1,139
84,1529,3608,1,130
85,1987,3604,1,135
86,1800,3596,1,135
87,826,3590,1,138
88,619,3585,1,150
89,1562,3579,1,133
90,1211,3570,1,150
91,1617,3568,1,148
92,1820,3565,1,142
93,1972,3554,1,130
94,1653,3487,1,148
95,2311,3471,1,138
96,1607,3442,1,143
97,1076,3439,1,135
98,920,3434,1,142
99,2279,3424,1,140
100,1513,3424,1,145
101,2045,3371,1,125
102,1359,3344,1,134
103,712,3321,1,135
104,603,3316,1,137
105,2083,3310,1,128
106,1655,3299,1,137
107,1106,3291,1,139
108,1602,3233,1,130
109,2290,3229,1,135
110,1737,3197,1,127
111,951,3193,1,126
112,1554,3189,1,141
113,1865,3166,1,142
114,1730,3164,1,149
115,1490,3096,1,125
116,975,3092,1,134
117,2238,3085,1,137
118,2187,3077,1,126
119,1993,3005,1,134
120,1573,2997,1,139
121,1612,2986,1,126
122,1461,2984,1,134
123,1792,2969,1,150
124,1698,2847,1,137
125,2027,2816,1,134
126,1672,2813,1,147
127,1286,2787,1,135
128,2102,2777,1,149
129,1669,2770,1,127
130,1921,2738,1,130
131,988,2736,1,137
132,2045,2641,1,137
133,2014,2595,1,138
134,1902,2546,1,147
135,833,2444,1,133
136,895,2296,1,144
137,1902,2289,1,128
138,1494,2260,1,132
139,1683,2167,1,141
140,1794,2082,1,130
141,1160,1890,1,132
142,1631,1778,1,145
143,527,1868,2,126
144,466,1814,2,135
145,201,1673,2,125
146,1069,1619,2,127
147,695,1606,2,147
148,195,1579,2,137
149,790,1563,2,127
150,530,1529,2,130
151,491,1513,2,150
152,707,1495,2,133
153,443,1431,2,133
154,666,1415,2,141
155,932,1400,2,131
156,462,1384,2,138
157,502,1382,2,126
158,624,1336,2,127
159,1196,1328,2,132
160,668,1306,2,148
161,236,1302,2,135
162,233,1275,2,131
163,687,1261,2,135
164,984,1252,2,132
165,570,1246,2,136
166,491,1232,2,125
167,926,1207,2,149
168,1460,1202,2,134
169,1074,1194,2,146
170,804,1180,2,133
171,1534,1156,2,145
172,1167,1116,2,132
173,421,1108,2,133
174,1643,1078,2,139
175,638,1062,2,147
176,174,1057,2,128
177,79,1053,2,128
178,1047,1037,2,143
179,980,1016,2,131
180,261,1017,2,142
181,481,987,2,134
182,1351,980,2,146
183,1081,979,2,128
184,316,962,2,144
185,108,944,2,138
186,248,924,2,138
187,912,911,2,150
188,1226,907,2,127
189,495,883,2,129
190,248,882,2,141
191,287,847,2,131
192,1068,828,2,132
193,980,816,2,150
194,444,812,2,143
195,756,805,2,135
196,383,772,2,130
197,1824,746,2,125
198,538,740,2,149
199,1265,725,2,132
200,339,717,2,126
201,630,700,2,146
202,806,683,2,128
203,1892,678,2,134
204,281,678,2,146
205,1342,655,2,135
206,253,631,2,135
207,275,612,2,132
208,1338,606,2,135
209,400,603,2,130
210,276,597,2,144
211,1190,591,2,149
212,981,584,2,125
213,1311,583,2,129
214,676,569,2,133
215,497,557,2,127
216,353,529,2,141
217,1216,511,2,136
218,843,495,2,147
219,442,494,2,128
220,546,461,2,138
221,1241,451,2,140
222,792,446,2,135
223,1088,415,2,131
224,1187,410,2,142
225,462,404,2,145
226,484,389,2,139
227,1261,329,2,149
228,619,269,2,129
229,894,258,2,135
230,1011,237,2,142
231,730,223,2,126
232,930,182,2,135
233,1349,174,2,134
234,951,161,2,144
235,848,106,2,136
236,1366,81,2,139
237,1290,0,2,144
238,2622,5282,3,148
239,2578,5229,3,133
240,2802,5205,3,143
241,2887,5184,3,136
242,2967,5065,3,139
243,2723,5062,3,144
244,3136,5011,3,143
245,3334,4976,3,139
246,2602,4958,3,134
247,3246,4958,3,138
248,3197,4950,3,138
249,2611,4936,3,137
250,3000,4845,3,142
251,3468,4843,3,132
252,3422,4836,3,144
253,2881,4822,3,141
254,3190,4814,3,137
255,2862,4774,3,135
256,3143,4747,3,128
257,3075,4711,3,138
258,3797,4685,3,144
259,3619,4547,3,125
260,3469,4542,3,131
261,3290,4514,3,134
262,2960,4491,3,131
263,2595,4479,3,129
264,3775,4461,3,141
265,3439,4448,3,139
266,2802,4426,3,147
267,3976,4421,3,142
268,3123,4400,3,134
269,3037,4398,3,132
270,3411,4382,3,149
271,3676,4361,3,138
272,2738,4359,3,150
273,2927,4350,3,131
274,2880,4328,3,137
275,3141,4324,3,130
276,2640,4307,3,134
277,3188,4304,3,148
278,4004,4303,3,141
279,3372,4271,3,137
280,2980,4254,3,144
281,3817,4252,3,131
282,2561,4244,3,126
283,3021,4218,3,144
284,3739,4210,3,137
285,3916,4211,3,147
286,3048,4194,3,134
287,2814,4183,3,146
288,3816,4168,3,138
289,3642,4135,3,138
290,4094,4121,3,134
291,3324,4091,3,140
292,3001,4088,3,128
293,3270,4069,3,128
294,3077,4070,3,134
295,2602,4054,3,147
296,3988,4049,3,133
297,3799,4050,3,134
298,3818,4046,3,147
299,3672,4005,3,137
300,4028,3988,3,140
301,3730,3960,3,137
302,2755,3951,3,132
303,3507,3942,3,130
304,3802,3944,3,139
305,2656,3937,3,144
306,3092,3936,3,150
307,3882,3921,3,139
308,3424,3910,3,145
309,3242,3901,3,142
310,4072,3872,3,129
311,3443,3850,3,140
312,2533,3840,3,132
313,3244,3815,3,147
314,2750,3796,3,137
315,3016,3792,3,136
316,2666,3765,3,128
317,3310,3755,3,150
318,3640,3733,3,144
319,3992,3657,3,149
320,4055,3657,3,145
321,2449,3637,3,150
322,3940,3619,3,130
323,2886,3610,3,147
324,3927,3588,3,143
325,3324,3586,3,134
326,3755,3573,3,129
327,2559,3549,3,131
328,4032,3482,3,150
329,2421,3466,3,144
330,4188,3447,3,145
331,3182,3434,3,149
332,3162,3408,3,129
333,2689,3309,3,145
334,3745,3316,3,133
335,2888,3304,3,135
336,2986,3238,3,146
337,2433,3212,3,135
338,2358,3210,3,144
339,2634,3176,3,138
340,4079,3165,3,126
341,3524,3157,3,128
342,3312,3141,3,138
343,3480,3135,3,146
344,2344,3118,3,137
345,2449,3099,3,148
346,3925,3088,3,140
347,2602,3090,3,125
348,3905,3065,3,141
349,3309,3059,3,131
350,3618,3042,3,140
351,2337,3040,3,136
352,2741,3037,3,133
353,2871,3033,3,140
354,3042,3013,3,131
355,2279,3010,3,132
356,3296,2977,3,139
357,3459,2947,3,133
358,3227,2946,3,134
359,3419,2933,3,141
360,3244,2927,3,144
361,2766,2909,3,134
362,2293,2901,3,144
363,2561,2866,3,126
364,2278,2862,3,126
365,2642,2854,3,125
366,2980,2843,3,147
367,2263,2811,3,127
368,3656,2804,3,132
369,3685,2788,3,146
370,3569,2779,3,136
371,3069,2775,3,142
372,2316,2770,3,131
373,3192,2758,3,140
374,2281,2748,3,144
375,2757,2714,3,142
376,2163,2650,3,127
377,2867,2591,3,150
378,2394,2590,3,141
379,2518,2554,3,145
380,2519,2525,3,146
381,2167,2482,3,134
382,2752,2412,3,132
383,2671,2408,3,129
384,2008,2378,3,129
385,3390,2373,3,139
386,2254,2321,3,134
387,2490,2312,3,128
388,2764,2263,3,126
389,2990,2252,3,149
390,2991,2234,3,128
391,2580,2217,3,143
392,3162,2206,3,127
393,3144,2164,3,146
394,2041,2155,3,147
395,2741,2112,3,149
396,1937,2038,3,137
397,2797,1973,3,142
398,2716,1949,3,132
399,1933,1902,3,132
400,2889,1906,3,148
401,2510,1846,3,140
402,1911,1830,3,142
403,1758,1832,3,142
404,2069,1780,3,147
405,2320,1767,3,142
406,1788,1748,3,142
407,2189,1677,3,127
408,1984,1624,3,136
409,2465,1609,3,135
410,2457,1589,3,129
411,2332,1592,3,139
412,2517,1508,3,132
413,1526,1478,3,133
414,2178,1475,3,146
415,1459,1454,3,150
416,1563,1390,3,126
417,1563,1344,3,131
418,2078,1314,3,132
419,1885,1309,3,126
420,1723,1287,3,138
421,1660,1283,3,145
422,2329,1251,3,137
423,2348,1234,3,148
424,1932,1200,3,132
425,1757,1189,3,145
426,1903,1171,3,145
427,1816,1085,3,139
428,2269,1008,3,135
429,2146,970,3,145
430,2119,809,3,142
431,2242,780,3,145
432,2241,712,3,133
433,2253,655,3,131
