cell,x,y,slice,radius
0,0,6033,0,0
1,1558,5993,1,137
2,1691,5952,1,128
3,986,5921,1,136
4,1376,5905,1,127
5,946,5903,1,150
6,1594,5895,1,128
7,1252,5891,1,131
8,2013,5870,1,130
9,1984,5785,1,142
10,839,5772,1,142
11,1920,5768,1,128
12,1203,5739,1,128
13,900,5729,1,139
14,743,5679,1,144
15,1823,5669,1,133
16,1420,5656,1,150
17,1147,5655,1,126
18,1242,5655,1,126
19,1927,5647,1,126
20,965,5642,1,125
21,2053,5622,1,144
22,1822,5609,1,144
23,1434,5604,1,142
24,840,5563,1,125
25,1292,5557,1,146
26,998,5546,1,125
27,402,5521,1,144
28,1575,5511,1,141
29,1128,5512,1,138
30,650,5496,1,129
31,1160,5462,1,148
32,1602,5439,1,142
33,1734,5436,1,144
34,1292,5372,1,141
35,1584,5370,1,141
36,757,5353,1,129
37,1454,5329,1,137
38,1602,5284,1,128
39,2088,5273,1,132
40,1044,5277,1,129
41,969,5265,1,137
42,1747,5244,1,132
43,731,5235,1,130
44,756,5156,1,138
45,1215,5096,1,146
46,1669,5087,1,133
47,860,5083,1,145
48,493,5059,1,141
49,1505,5012,1,147
50,697,4991,1,126
51,1990,4960,1,146
52,1193,4962,1,139
53,2004,4939,1,150
54,1347,4933,1,127
55,2142,4914,1,126
56,546,4915,1,144
57,2181,4898,1,140
58,938,4898,1,130
59,1849,4898,1,130
60,669,4894,1,132
61,336,4890,1,138
62,1411,4874,1,132
63,337,4866,1,127
64,266,4856,1,149
65,1503,4827,1,143
66,361,4812,1,150
67,1014,4802,1,134
68,1560,4773,1,132
69,1622,4774,1,134
70,441,4761,1,134
71,553,4749,1,147
72,1248,4739,1,132
73,1430,4727,1,139
74,1893,4725,1,128
75,1619,4700,1,133
76,1989,4682,1,128
77,2154,4668,1,143
78,324,4653,1,126
79,1905,4644,1,132
80,663,4633,1,147
81,1638,4628,1,133
82,959,4588,1,126
83,662,4580,1,135
84,595,4554,1,145
85,519,4551,1,126
86,792,4515,1,126
87,1843,4514,1,126
88,1072,4495,1,137
89,755,4458,1,142
90,688,4420,1,136
91,882,4417,1,135
92,950,4413,1,144
93,1353,4404,1,132
94,1627,4409,1,142
95,1060,4382,1,146
96,1605,4326,1,130
97,2073,4315,1,141
98,1491,4316,1,130
99,1089,4307,1,139
100,819,4264,1,138
101,1712,4245,1,132
102,1527,4227,1,150
103,959,4228,1,140
104,2012,4221,1,149
105,1031,4220,1,143
106,882,4189,1,145
107,215,4179,1,135
108,539,4142,1,126
109,1524,4130,1,131
110,336,4131,1,147
111,1698,4121,1,143
112,953,4120,1,136
113,839,4082,1,142
114,2059,4084,1,131
115,1635,3992,1,145
116,516,3992,1,133
117,1068,3984,1,134
118,1931,3980,1,137
119,948,3970,1,128
120,1667,3966,1,145
121,375,3958,1,143
122,1880,3938,1,142
123,713,3932,1,141
124,275,3920,1,145
125,1451,3915,1,147
126,510,3910,1,133
127,457,3908,1,138
128,564,3880,1,147
129,1424,3875,1,133
130,938,3874,1,142
131,772,3867,1,149
132,1534,3852,1,130
133,307,3855,1,128
134,371,3851,1,147
135,2191,3848,1,131
136,1024,3824,1,150
137,1087,3790,1,125
138,375,3772,1,126
139,1505,3705,1,147
140,2037,3697,1,129
141,1691,3689,1,144
142,588,3653,1,141
143,483,3652,1,147
144,1317,3653,1,138
145,1357,3642,1,145
146,1874,3625,1,140
147,817,3606,1,145
148,1247,3584,1,142
149,1313,3579,1,125
150,1262,3575,1,132
151,1905,3544,1,142
152,1270,3513,1,132
153,1377,3509,1,130
154,1884,3496,1,148
155,1633,3494,1,138
156,546,3492,1,138
157,1009,3489,1,142
158,274,3469,1,140
159,2135,3466,1,147
160,941,3441,1,150
161,1095,3425,1,135
162,339,3424,1,149
163,2048,3415,1,132
164,2232,3408,1,145
165,1357,3397,1,127
166,721,3336,1,133
167,1609,3328,1,146
168,1857,3326,1,150
169,1351,3317,1,150
170,2246,3314,1,128
171,235,3271,1,145
172,1260,3260,1,131
173,2192,3254,1,129
174,1199,3255,1,131
175,2160,3256,1,142
176,1428,3235,1,133
177,1719,3232,1,144
