comp,bumber of nodes,global clustering coefficient,transitivity
1,34,0.4656862745098039,0.46875
2,24,0.48333333333333334,0.5806451612903226
3,6,0.3333333333333333,0.4
4,36,0.46825396825396814,0.5076923076923077
5,49,0.3868804664723032,0.47115384615384615
6,2,0.0,0.0
7,9,0.574074074074074,0.5833333333333334
8,19,0.6619047619047618,0.5725190839694656
9,11,0.5818181818181819,0.7083333333333334
10,13,0.6815018315018315,0.6521739130434783
11,20,0.5688095238095239,0.5546218487394958
12,3,0.0,0.0
13,2,0.0,0.0
14,6,0.8444444444444444,0.7894736842105263
15,5,0.4666666666666666,0.5
16,3,0.0,0.0
17,3,1.0,1.0
18,4,0.5833333333333333,0.6
19,2,0.0,0.0
20,3,1.0,1.0
21,2,0.0,0.0
