cell,x,y,slice,radius
0,0,0,0,0
1,119,481,1,134
2,758,444,1,138
3,1153,1146,1,127
4,807,1107,1,126
5,1413,236,1,128
6,1901,286,1,129
7,562,997,1,134
8,147,524,1,139
9,885,824,1,145
10,1627,434,1,145
11,1439,374,1,144
12,2367,466,1,129
13,1806,556,1,140
14,1034,186,1,145
15,2433,422,1,141
16,1682,443,1,138
17,2165,745,1,138
18,2094,914,1,150
19,305,471,1,130
20,1581,987,1,134
21,1948,123,1,144
22,633,495,1,141
23,776,934,1,141
24,983,688,1,134
25,1021,128,1,143
26,2188,809,1,130
27,1167,111,1,125
28,877,1206,1,150
29,1075,831,1,134
30,1500,1061,1,135
31,1879,1029,1,150
32,143,572,1,143
33,2007,903,1,137
34,2157,594,1,149
35,590,108,1,150
36,1291,1225,1,146
37,2281,717,1,143
38,1061,375,1,143
39,1020,1077,1,133
40,2190,674,1,131
41,1751,162,1,145
42,1382,261,1,129
43,1909,980,1,143
44,1508,544,1,131
45,1909,178,1,143
46,427,499,1,137
47,2317,929,1,128
48,70,565,1,131
49,1242,55,1,150
50,1988,475,1,139
51,1537,416,1,129
52,2261,666,1,132
53,1166,193,1,136
54,1576,493,1,142
55,2101,397,1,141
56,1273,1213,1,142
57,1443,869,1,145
58,740,160,1,146
59,1097,486,1,125
60,687,958,1,144
61,1709,106,1,146
62,545,291,1,146
63,1133,850,1,147
64,1403,643,1,148
65,2234,605,1,143
66,2174,377,1,126
67,1591,598,1,131
68,2120,361,1,125
69,1943,1104,1,140
70,1221,127,1,145
71,649,806,1,145
72,1654,96,1,134
73,18,679,1,137
74,1856,1008,1,137
75,500,483,1,126
76,421,816,1,126
77,1054,41,1,132
78,1442,706,1,143
79,854,220,1,148
80,1761,459,1,150
81,1815,453,1,133
82,479,695,1,135
83,2004,1010,1,138
84,669,324,1,143
85,162,514,1,143
86,436,418,1,146
87,53,774,1,126
88,1567,105,1,131
89,842,1076,1,137
90,751,242,1,143
91,1463,872,1,135
92,60,442,1,144
93,1698,655,1,128
94,1517,1009,1,137
95,1393,1129,1,144
96,1338,1229,1,135
97,922,1041,1,132
98,1401,624,1,140
99,1044,1025,1,131
100,2412,568,1,136
101,228,855,1,134
102,1880,870,1,133
103,1416,719,1,145
104,2238,299,1,130
