cell,x,y,slice,radius
0,0,0,0,0
1,2351,1666,1,140
2,762,468,1,125
3,1357,2675,1,145
4,2051,625,1,133
5,1827,1242,1,138
6,164,1836,1,143
7,1838,188,1,145
8,987,1661,1,144
9,1785,1495,1,139
10,413,1233,1,128
11,600,881,1,143
12,1383,2707,1,148
13,440,2047,1,149
14,1228,1684,1,140
15,1111,804,1,139
16,1480,1892,1,135
17,331,1891,1,125
18,1030,1733,1,143
19,1266,478,1,128
20,1247,1662,1,145
21,934,603,1,139
22,529,1702,1,140
23,1451,74,1,129
24,1263,1911,1,135
25,1092,2278,1,144
26,191,1786,1,129
27,601,2084,1,137
28,1059,1908,1,130
29,1481,750,1,130
30,1899,1350,1,145
31,1996,2214,1,128
32,503,2338,1,145
33,1357,1219,1,150
34,1145,1930,1,149
35,1265,1952,1,137
36,1217,1317,1,147
37,445,1121,1,143
38,1703,627,1,139
39,1065,124,1,130
40,2130,664,1,134
41,1659,1509,1,150
42,767,1106,1,131
43,1477,1702,1,129
44,1657,1547,1,139
45,610,2275,1,149
46,1390,574,1,138
47,1619,2465,1,148
48,1241,2394,1,143
49,1336,2536,1,128
50,939,1332,1,138
51,1987,2376,1,144
52,1272,1646,1,134
53,1882,2554,1,148
54,831,1831,1,139
55,614,2711,1,135
56,2011,316,1,139
57,1897,1903,1,127
58,862,532,1,132
59,634,1335,1,128
60,984,1766,1,142
61,764,655,1,145
62,836,2561,1,134
63,2139,2278,1,134
64,1768,2660,1,149
65,382,1901,1,145
66,284,625,1,137
67,485,378,1,148
68,1086,1349,1,125
69,1301,1008,1,133
70,586,1581,1,148
71,685,2133,1,128
72,2193,1754,1,133
73,1106,602,1,144
74,1440,505,1,141
75,1320,1110,1,146
76,1435,2214,1,150
77,2419,1529,1,138
78,1555,1310,1,149
79,1757,593,1,127
80,1201,221,1,141
81,1405,650,1,140
82,2413,1135,1,146
83,1027,2691,1,131
84,905,1071,1,147
85,653,1369,1,147
86,1245,1803,1,135
87,472,1000,1,142
88,1325,570,1,126
89,1201,659,1,148
90,64,1065,1,132
91,1617,2503,1,126
92,2109,931,1,126
93,1877,1236,1,144
94,854,118,1,147
95,1253,2917,1,134
96,1495,2918,1,147
97,963,86,1,132
98,2388,1938,1,134
99,1338,1398,1,140
100,1646,2744,1,141
