node,degree,centrality,clustering
0,0.0,0.0,0.0
1,3.0,8.0,0.6666666666666666
2,5.0,17.166666666666668,0.6
3,1.0,0.0,0.0
4,1.0,0.0,0.0
5,5.0,8.166666666666666,0.5
6,0.0,0.0,0.0
7,1.0,0.0,0.0
8,0.0,0.0,0.0
9,1.0,0.0,0.0
10,0.0,0.0,0.0
11,1.0,0.0,0.0
12,0.0,0.0,0.0
13,3.0,0.0,1.0
14,1.0,0.0,0.0
15,1.0,0.0,0.0
16,3.0,0.0,1.0
17,2.0,0.0,1.0
18,3.0,9.0,0.6666666666666666
19,1.0,0.0,0.0
20,2.0,14.0,0.0
21,1.0,0.0,0.0
22,1.0,0.0,0.0
23,2.0,0.0,1.0
24,2.0,0.0,1.0
25,1.0,0.0,0.0
26,3.0,0.0,1.0
27,1.0,0.0,0.0
28,1.0,0.0,0.0
29,0.0,0.0,0.0
30,2.0,6.0,0.0
31,3.0,20.0,0.3333333333333333
32,2.0,24.0,0.0
33,0.0,0.0,0.0
34,2.0,2.0,0.0
35,2.0,6.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,2.0,4.0,0.0
39,0.0,0.0,0.0
40,3.0,24.0,0.3333333333333333
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,2.0,0.0,1.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,1.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,3.0,0.0,1.0
50,2.0,0.0,1.0
51,0.0,0.0,0.0
52,4.0,25.0,0.3333333333333333
53,1.0,0.0,0.0
54,2.0,0.0,1.0
55,1.0,0.0,0.0
56,0.0,0.0,0.0
57,1.0,0.0,0.0
58,2.0,0.0,1.0
59,2.0,0.0,1.0
60,1.0,0.0,0.0
61,1.0,0.0,0.0
62,1.0,0.0,0.0
63,3.0,8.0,0.6666666666666666
64,0.0,0.0,0.0
65,3.0,4.0,0.3333333333333333
66,4.0,18.0,0.5
67,2.0,0.0,1.0
68,1.0,0.0,0.0
69,0.0,0.0,0.0
70,3.0,0.0,1.0
71,1.0,0.0,0.0
72,1.0,0.0,0.0
73,0.0,0.0,0.0
74,3.0,64.0,0.3333333333333333
75,0.0,0.0,0.0
76,4.0,24.0,0.5
