comp,bumber of nodes,global clustering coefficient,transitivity
1,6,0.9,0.7142857142857143
2,2,0.0,0.0
3,4,0.5833333333333333,0.6
4,4,0.5833333333333333,0.6
5,2,0.0,0.0
6,3,0.0,0.0
7,3,1.0,1.0
8,3,0.0,0.0
9,7,0.7142857142857143,0.7959183673469388
10,3,0.0,0.0
11,3,1.0,1.0
12,3,0.0,0.0
13,2,0.0,0.0
14,5,0.0,0.0
15,8,0.5625,0.5217391304347826
16,2,0.0,0.0
17,10,0.36666666666666664,0.4090909090909091
18,2,0.0,0.0
19,3,1.0,1.0
20,5,0.7,0.8
21,3,0.0,0.0
22,7,0.38095238095238093,0.5
23,5,0.0,0.0
24,2,0.0,0.0
25,10,0.16666666666666666,0.25
26,2,0.0,0.0
27,4,0.8333333333333333,0.75
28,3,0.0,0.0
29,3,0.0,0.0
30,2,0.0,0.0
31,3,0.0,0.0
32,2,0.0,0.0
33,3,0.0,0.0
34,3,0.0,0.0
35,3,0.0,0.0
36,2,0.0,0.0
37,4,0.5833333333333333,0.6
38,3,0.0,0.0
39,2,0.0,0.0
40,3,0.0,0.0
41,3,0.0,0.0
42,4,0.5833333333333333,0.6
43,2,0.0,0.0
44,2,0.0,0.0
45,3,0.0,0.0
46,4,0.5833333333333333,0.6
47,2,0.0,0.0
48,3,1.0,1.0
49,2,0.0,0.0
50,4,0.0,0.0
51,2,0.0,0.0
52,3,0.0,0.0
53,2,0.0,0.0
54,2,0.0,0.0
